seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12371,2024,FIFA.FRIENDLY.W,2750,37803,2,0,0,1,0,0,0,0,1,0,0,0,6,2,0,2024-07-08 02:43:40
12371,2024,FIFA.FRIENDLY.W,2765,43770,4,1,1,3,0,0,0,1,4,8,16,2,0,0,0,2024-10-13 05:04:41
12371,2024,FIFA.FRIENDLY.W,2754,91330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:04:39
12371,2024,FIFA.FRIENDLY.W,2753,95131,3,2,1,3,0,0,0,0,1,0,0,0,0,0,2,2024-04-25 03:23:49
12371,2024,FIFA.FRIENDLY.W,2753,95135,5,3,1,3,0,0,0,0,1,1,2,0,0,0,2,2024-04-25 03:23:49
12371,2024,FIFA.FRIENDLY.W,7151,95226,5,2,3,1,1,0,0,0,2,2,7,1,0,0,4,2024-09-25 05:03:44
12371,2024,FIFA.FRIENDLY.W,7536,97447,3,0,0,0,0,0,0,0,0,0,0,0,27,6,3,2024-02-03 04:40:35
12371,2024,FIFA.FRIENDLY.W,11337,108824,4,0,0,0,0,0,0,0,0,0,0,0,23,8,6,2024-02-15 04:48:29
12371,2024,FIFA.FRIENDLY.W,2751,108912,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2024-07-14 07:47:24
12371,2024,FIFA.FRIENDLY.W,4153,109134,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:04:46
12371,2024,FIFA.FRIENDLY.W,2753,119954,3,0,2,4,1,0,0,0,0,0,1,0,0,0,2,2024-10-13 05:04:48
12371,2024,FIFA.FRIENDLY.W,2896,140056,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2024-02-01 04:48:21
12371,2024,FIFA.FRIENDLY.W,2758,144829,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2024-10-13 05:04:45
12371,2024,FIFA.FRIENDLY.W,2812,148404,4,1,1,5,0,0,0,0,0,0,0,0,0,0,2,2024-10-13 05:04:48
12371,2024,FIFA.FRIENDLY.W,2751,158671,2,1,1,0,0,0,0,0,0,0,0,0,0,1,5,2024-02-13 04:44:36
12371,2024,FIFA.FRIENDLY.W,2751,158675,4,1,2,0,0,0,0,0,0,1,4,1,0,0,2,2024-10-13 05:04:47
12371,2024,FIFA.FRIENDLY.W,2751,158678,2,1,2,0,0,0,0,1,0,1,2,1,0,0,0,2024-10-13 05:04:47
12371,2024,FIFA.FRIENDLY.W,2751,158688,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2024-10-13 05:04:47
12371,2024,FIFA.FRIENDLY.W,2751,158689,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,2024-10-13 05:04:47
12371,2024,FIFA.FRIENDLY.W,2751,158693,4,1,5,2,1,0,0,0,1,0,1,0,0,0,2,2024-10-13 05:04:47
12371,2024,FIFA.FRIENDLY.W,2752,158699,5,2,5,3,0,0,0,0,2,7,14,2,0,0,2,2024-05-01 03:20:51
12371,2024,FIFA.FRIENDLY.W,2752,158712,2,1,0,1,0,0,0,0,2,3,5,3,0,0,0,2024-10-05 05:04:10
12371,2024,FIFA.FRIENDLY.W,2752,158720,2,0,1,0,0,0,0,1,1,1,3,0,0,0,0,2024-10-05 05:04:10
12371,2024,FIFA.FRIENDLY.W,2756,158735,4,1,5,6,0,0,0,0,3,1,6,1,0,1,5,2024-07-13 02:44:00
12371,2024,FIFA.FRIENDLY.W,2765,158774,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2024-06-29 02:49:44
12371,2024,FIFA.FRIENDLY.W,4153,158787,5,0,3,2,0,0,0,0,1,0,1,0,0,3,7,2024-10-13 05:04:46
12371,2024,FIFA.FRIENDLY.W,4153,158788,10,0,7,9,0,0,0,0,0,0,4,0,0,0,19,2024-02-08 04:45:52
12371,2024,FIFA.FRIENDLY.W,4153,158791,4,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2024-07-28 11:18:29
12371,2024,FIFA.FRIENDLY.W,2755,158816,4,0,6,0,0,0,0,0,0,3,5,0,0,0,4,2024-09-21 05:08:37
12371,2024,FIFA.FRIENDLY.W,2755,158820,4,0,3,3,1,0,0,0,2,5,10,3,0,0,4,2024-09-21 05:08:37
12371,2024,FIFA.FRIENDLY.W,2812,158845,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2024-07-09 02:41:09
12371,2024,FIFA.FRIENDLY.W,11337,158872,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:04:45
12371,2024,FIFA.FRIENDLY.W,11337,158875,1,0,2,1,0,0,0,0,1,0,1,0,0,0,0,2024-10-13 05:04:45
12371,2024,FIFA.FRIENDLY.W,11337,158878,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2024-10-13 05:04:45
12371,2024,FIFA.FRIENDLY.W,11337,158882,1,0,1,0,0,0,0,0,0,1,3,1,0,0,0,2024-10-13 05:04:45
12371,2024,FIFA.FRIENDLY.W,11337,159082,5,4,2,1,0,0,0,0,0,1,2,0,0,0,3,2024-02-15 04:48:29
12371,2024,FIFA.FRIENDLY.W,11337,159090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:04:45
12371,2024,FIFA.FRIENDLY.W,2894,168043,5,1,2,1,1,0,0,0,0,2,2,1,0,1,5,2024-10-13 05:04:40
12371,2024,FIFA.FRIENDLY.W,4153,175238,3,0,3,4,0,0,0,0,0,0,0,0,0,0,3,2024-10-13 05:04:46
12371,2024,FIFA.FRIENDLY.W,13313,176020,1,0,0,1,0,0,0,0,0,0,0,0,18,3,2,2024-07-13 02:44:14
12371,2024,FIFA.FRIENDLY.W,13313,176028,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2024-07-13 02:44:14
12371,2024,FIFA.FRIENDLY.W,13313,176035,1,0,1,1,1,0,0,0,1,1,1,0,0,0,3,2024-07-13 02:44:14
12371,2024,FIFA.FRIENDLY.W,2756,188013,4,0,2,5,1,0,0,1,0,0,0,0,0,0,5,2024-07-13 02:44:00
12371,2024,FIFA.FRIENDLY.W,2755,188069,2,1,1,1,0,0,0,0,0,0,2,0,0,0,1,2024-09-21 05:08:37
12371,2024,FIFA.FRIENDLY.W,5159,188448,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:04:43
12371,2024,FIFA.FRIENDLY.W,5159,204659,2,0,0,1,0,0,0,1,0,0,1,0,0,0,2,2024-10-13 05:04:43
12371,2024,FIFA.FRIENDLY.W,7151,209165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-25 05:03:44
12371,2024,FIFA.FRIENDLY.W,4178,209174,4,0,0,1,0,0,0,0,0,0,0,0,50,17,6,2024-01-23 04:25:43
12371,2024,FIFA.FRIENDLY.W,2753,209278,2,0,0,0,0,0,0,0,0,0,0,0,9,2,1,2024-10-13 05:04:48
12371,2024,FIFA.FRIENDLY.W,2753,209364,1,0,0,0,0,0,0,0,0,0,0,0,7,2,1,2024-10-13 05:04:48
12371,2024,FIFA.FRIENDLY.W,2752,209655,6,0,0,2,0,0,0,0,1,0,0,0,40,16,8,2024-05-01 03:20:51
12371,2024,FIFA.FRIENDLY.W,2812,209660,3,0,3,1,1,0,0,0,2,0,0,0,0,1,5,2024-10-13 05:04:48
12371,2024,FIFA.FRIENDLY.W,2753,209687,2,0,0,1,0,0,0,0,0,0,3,0,0,3,1,2024-10-13 05:04:48
12371,2024,FIFA.FRIENDLY.W,2765,209771,1,0,0,0,0,0,0,0,0,0,0,0,6,3,0,2024-10-13 05:04:41
12371,2024,FIFA.FRIENDLY.W,2753,209937,3,0,0,4,0,0,0,0,0,2,2,1,0,0,2,2024-10-13 05:04:48
12371,2024,FIFA.FRIENDLY.W,2765,209984,3,1,0,3,0,0,0,1,0,1,3,0,0,0,0,2024-10-13 05:04:41
12371,2024,FIFA.FRIENDLY.W,2765,210318,6,4,1,3,0,0,0,0,2,4,11,1,0,0,1,2024-03-06 04:47:10
12371,2024,FIFA.FRIENDLY.W,2812,210325,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2024-10-13 05:04:48
12371,2024,FIFA.FRIENDLY.W,19345,210367,4,3,2,1,0,0,0,0,0,1,5,0,0,0,1,2024-01-28 04:36:15
12371,2024,FIFA.FRIENDLY.W,12633,210382,4,0,1,4,0,0,0,0,0,0,1,0,0,6,1,2024-07-13 02:44:01
12371,2024,FIFA.FRIENDLY.W,2765,211034,3,2,0,0,0,0,0,0,0,0,3,0,0,0,0,2024-10-13 05:04:41
12371,2024,FIFA.FRIENDLY.W,2753,211160,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:04:48
12371,2024,FIFA.FRIENDLY.W,7536,211616,4,0,5,11,1,0,0,1,3,2,5,0,0,2,3,2024-02-03 04:40:35
12371,2024,FIFA.FRIENDLY.W,2765,211968,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,2024-10-13 05:04:41
