seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12488,2024,FIFA.OLYMPICS,20303,20975,4,0,3,6,0,0,0,1,0,2,16,1,0,1,5,2024-10-13 04:51:11
12488,2024,FIFA.OLYMPICS,20303,42583,4,3,5,3,1,0,0,0,2,0,0,0,0,1,6,2024-10-13 04:51:11
12488,2024,FIFA.OLYMPICS,18224,101934,3,0,0,1,0,0,0,0,0,0,3,0,0,0,8,2024-10-13 04:51:12
12488,2024,FIFA.OLYMPICS,18232,119289,4,0,5,0,0,0,0,0,3,1,5,0,0,3,4,2024-10-13 04:51:07
12488,2024,FIFA.OLYMPICS,18220,128714,5,0,4,2,1,0,0,0,0,0,1,0,0,2,6,2024-10-13 04:51:09
12488,2024,FIFA.OLYMPICS,20947,131752,5,0,7,5,1,0,0,1,0,2,7,1,0,0,4,2024-10-13 04:51:13
12488,2024,FIFA.OLYMPICS,22239,142743,3,0,0,1,0,0,0,0,0,0,0,0,33,6,2,2024-10-13 04:51:14
12488,2024,FIFA.OLYMPICS,22267,145229,3,0,6,4,0,0,0,1,0,3,6,0,0,0,6,2024-10-13 04:51:13
12488,2024,FIFA.OLYMPICS,20303,154853,3,2,5,1,2,0,0,0,0,1,4,0,0,0,3,2024-10-13 04:51:11
12488,2024,FIFA.OLYMPICS,22267,157190,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2024-10-13 04:51:13
12488,2024,FIFA.OLYMPICS,20303,164262,4,0,0,1,1,0,0,0,2,0,0,0,37,14,8,2024-10-13 04:51:11
12488,2024,FIFA.OLYMPICS,18232,167192,4,0,0,0,0,0,0,0,1,0,0,0,31,8,4,2024-10-13 04:51:07
12488,2024,FIFA.OLYMPICS,2829,183529,4,0,2,17,1,0,0,1,1,3,3,2,0,0,6,2024-10-13 04:51:12
12488,2024,FIFA.OLYMPICS,2829,183764,4,0,4,1,0,0,0,0,1,1,1,1,0,1,8,2024-10-13 04:51:12
12488,2024,FIFA.OLYMPICS,18216,183896,6,0,6,4,0,0,0,0,0,1,6,0,0,2,11,2024-10-13 04:51:11
12488,2024,FIFA.OLYMPICS,22267,185685,3,0,1,2,0,0,0,0,0,3,5,0,0,0,5,2024-10-13 04:51:13
12488,2024,FIFA.OLYMPICS,20303,192278,4,0,10,2,1,0,0,2,0,4,13,1,0,0,7,2024-10-13 04:51:11
12488,2024,FIFA.OLYMPICS,22239,192457,3,0,0,1,0,0,0,0,0,0,3,0,0,2,2,2024-10-13 04:51:14
12488,2024,FIFA.OLYMPICS,18216,195154,6,0,3,7,2,0,0,2,1,3,12,0,0,1,5,2024-10-13 04:51:11
12488,2024,FIFA.OLYMPICS,22267,196567,2,0,4,4,1,0,0,0,0,0,0,0,0,0,3,2024-10-13 04:51:13
12488,2024,FIFA.OLYMPICS,20303,199101,4,0,0,3,0,0,0,0,0,1,2,1,0,3,8,2024-10-13 04:51:11
12488,2024,FIFA.OLYMPICS,20303,200565,4,1,9,7,2,0,0,1,1,5,13,0,0,0,7,2024-10-13 04:51:11
12488,2024,FIFA.OLYMPICS,21931,206232,6,0,0,5,1,0,0,0,0,0,0,0,53,15,5,2024-10-13 04:51:10
12488,2024,FIFA.OLYMPICS,18224,212779,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2024-10-13 04:51:12
12488,2024,FIFA.OLYMPICS,18232,213346,3,0,5,2,2,0,0,0,0,0,1,0,0,0,4,2024-10-13 04:51:07
12488,2024,FIFA.OLYMPICS,22266,216937,3,1,4,1,0,0,0,1,1,3,6,1,0,0,3,2024-10-13 04:51:10
