seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12414,2024,FIFA.WORLDQ.CONCACAF,2650,3950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-04 05:14:31
12414,2024,FIFA.WORLDQ.CONCACAF,13584,13103,2,0,2,0,1,0,0,0,1,0,0,0,0,0,6,2024-10-13 05:11:40
12414,2024,FIFA.WORLDQ.CONCACAF,2653,18230,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2024-10-13 05:11:46
12414,2024,FIFA.WORLDQ.CONCACAF,2652,19562,2,0,2,0,0,0,0,0,0,1,1,1,0,1,0,2024-10-13 05:11:45
12414,2024,FIFA.WORLDQ.CONCACAF,215,28127,2,0,1,2,0,0,0,0,0,1,1,1,0,0,2,2024-10-13 05:11:43
12414,2024,FIFA.WORLDQ.CONCACAF,2661,29773,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,2024-09-04 05:14:34
12414,2024,FIFA.WORLDQ.CONCACAF,2649,39741,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2024-09-05 05:15:29
12414,2024,FIFA.WORLDQ.CONCACAF,2652,45032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-31 05:12:38
12414,2024,FIFA.WORLDQ.CONCACAF,2649,47551,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 05:11:46
12414,2024,FIFA.WORLDQ.CONCACAF,2640,65976,1,0,0,1,0,0,0,0,0,0,0,0,22,8,1,2024-10-13 05:11:39
12414,2024,FIFA.WORLDQ.CONCACAF,11766,67285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-04 05:14:37
12414,2024,FIFA.WORLDQ.CONCACAF,2650,71067,2,0,0,0,0,0,0,0,0,0,0,0,13,3,1,2024-10-13 05:11:41
12414,2024,FIFA.WORLDQ.CONCACAF,215,72152,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2024-10-13 05:11:43
12414,2024,FIFA.WORLDQ.CONCACAF,11678,77226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-04 05:14:34
12414,2024,FIFA.WORLDQ.CONCACAF,2654,89090,2,0,0,0,0,0,0,0,0,0,0,0,7,3,2,2024-10-13 05:11:42
12414,2024,FIFA.WORLDQ.CONCACAF,2665,98056,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2024-07-13 03:10:30
12414,2024,FIFA.WORLDQ.CONCACAF,2651,98512,2,0,5,4,0,0,0,0,0,0,1,0,0,0,5,2024-10-09 05:17:19
12414,2024,FIFA.WORLDQ.CONCACAF,2655,105390,2,0,4,1,0,0,0,0,1,0,0,0,0,0,6,2024-10-13 05:11:40
12414,2024,FIFA.WORLDQ.CONCACAF,2655,111351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:11:40
