seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12695,2024,FRA.2,171,4365,9,9,3,2,0,0,0,1,0,1,4,1,0,0,2,2025-02-22 05:45:29
12695,2024,FRA.2,173,30173,20,4,23,66,0,0,0,1,0,23,53,6,0,0,16,2025-02-22 05:45:28
12695,2024,FRA.2,7732,41549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:45:28
12695,2024,FRA.2,11312,45177,3,2,1,0,0,0,0,0,0,1,2,1,0,0,1,2025-02-22 05:45:30
12695,2024,FRA.2,7732,56820,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-02-22 05:45:28
12695,2024,FRA.2,3266,73342,18,4,26,17,3,0,0,1,0,11,25,5,0,0,14,2025-02-22 05:45:32
12695,2024,FRA.2,7721,73342,36,11,0,0,4,0,0,0,0,6,6,6,0,0,33,2024-07-13 02:55:01
12695,2024,FRA.2,7721,84624,10,7,0,0,1,0,0,0,0,0,0,0,0,0,2,2024-07-13 02:55:01
12695,2024,FRA.2,3266,84982,22,0,1,8,2,0,0,0,0,0,0,0,0,78,23,2025-02-22 05:45:32
12695,2024,FRA.2,2503,85080,13,8,11,11,4,0,0,0,0,0,0,0,0,0,9,2025-02-22 05:45:27
12695,2024,FRA.2,6851,86255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:45:30
12695,2024,FRA.2,173,88781,14,4,23,15,3,0,1,1,0,1,8,0,0,0,15,2025-02-22 05:45:28
12695,2024,FRA.2,3171,89015,21,0,12,13,1,0,0,1,0,1,7,1,0,0,24,2025-02-22 05:45:28
12695,2024,FRA.2,173,89090,23,0,0,4,2,0,0,0,0,0,0,0,0,48,21,2025-02-22 05:45:28
12695,2024,FRA.2,3335,91478,4,3,5,8,1,0,0,0,0,3,5,0,0,0,3,2024-10-11 05:01:02
12695,2024,FRA.2,11312,98409,12,1,0,1,1,0,0,0,0,0,0,0,0,37,25,2024-12-07 06:01:29
12695,2024,FRA.2,177,98965,15,0,9,3,1,0,0,1,0,4,7,2,0,0,13,2025-02-22 05:45:30
12695,2024,FRA.2,3335,101451,23,0,0,5,0,0,0,0,0,0,0,0,0,67,35,2025-02-22 05:45:31
12695,2024,FRA.2,3171,102397,14,0,7,11,0,0,0,1,0,5,16,2,0,0,14,2025-02-22 05:45:28
12695,2024,FRA.2,177,104028,16,1,0,5,0,0,1,0,0,0,0,0,0,46,13,2025-02-22 05:45:30
12695,2024,FRA.2,2503,105036,15,3,15,22,3,0,0,0,0,1,8,0,0,0,15,2025-02-22 05:45:27
12695,2024,FRA.2,6732,105237,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:54:58
12695,2024,FRA.2,2927,105373,20,1,17,12,1,0,0,0,0,3,13,1,0,0,27,2025-02-22 05:45:28
12695,2024,FRA.2,2927,110057,21,1,25,27,3,0,0,1,0,22,51,8,0,0,31,2025-02-22 05:45:28
12695,2024,FRA.2,6994,112549,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2025-02-22 05:45:29
12695,2024,FRA.2,170,112988,23,0,12,21,4,0,0,1,0,2,6,0,0,0,25,2025-02-22 05:45:32
12695,2024,FRA.2,2927,113577,11,3,9,7,3,0,0,1,0,1,6,0,0,0,16,2025-02-22 05:45:28
12695,2024,FRA.2,3171,118091,20,3,19,21,6,0,0,0,0,3,12,1,0,0,22,2025-02-22 05:45:28
12695,2024,FRA.2,7718,118251,35,14,0,0,2,0,0,0,0,0,0,0,0,0,36,2024-07-13 02:55:00
12695,2024,FRA.2,6994,120496,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2024-08-22 04:57:48
