seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12821,2024,FRA.W.1,19256,158816,11,1,5,6,1,0,0,0,0,8,16,2,0,0,2,2025-02-22 05:48:30
12821,2024,FRA.W.1,21635,158818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:48:29
12821,2024,FRA.W.1,19256,158820,11,7,5,2,1,0,0,1,0,9,19,2,0,0,0,2025-02-22 05:48:30
12821,2024,FRA.W.1,21640,158829,15,1,11,4,1,0,0,5,0,14,24,4,0,0,5,2025-02-22 05:48:31
12821,2024,FRA.W.1,21637,176015,14,0,10,10,3,0,0,2,0,2,9,1,0,0,19,2025-02-22 05:48:29
12821,2024,FRA.W.1,19256,188014,2,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2025-02-22 05:48:30
12821,2024,FRA.W.1,19256,188067,9,9,1,0,0,0,0,0,0,5,12,1,0,0,0,2025-02-22 05:48:30
12821,2024,FRA.W.1,21963,209173,11,2,11,15,1,0,0,1,0,7,17,1,0,0,28,2025-02-22 05:48:31
12821,2024,FRA.W.1,19256,209687,14,1,2,7,1,0,0,1,0,9,23,5,0,0,4,2025-02-22 05:48:30
12821,2024,FRA.W.1,21643,210367,9,3,6,7,0,0,0,0,0,2,5,0,0,0,14,2025-02-22 05:48:32
12821,2024,FRA.W.1,22328,211746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-07 05:41:46
12821,2024,FRA.W.1,21638,213939,15,0,7,2,0,0,0,0,0,0,4,0,0,0,26,2025-02-22 05:48:30
12821,2024,FRA.W.1,21638,213954,13,0,10,9,1,0,0,1,0,11,23,6,0,0,22,2025-02-22 05:48:30
12821,2024,FRA.W.1,19256,219116,11,7,0,5,0,0,0,0,0,5,15,5,0,0,1,2025-02-22 05:48:30
12821,2024,FRA.W.1,19256,219121,14,3,9,1,1,0,0,5,0,20,37,9,0,0,4,2025-02-22 05:48:30
12821,2024,FRA.W.1,19256,219775,15,5,4,3,1,0,0,4,0,3,9,0,0,0,4,2025-02-22 05:48:30
12821,2024,FRA.W.1,21637,219898,6,1,5,0,2,1,0,0,0,0,0,0,0,0,13,2025-01-21 05:30:40
12821,2024,FRA.W.1,19258,219934,4,3,0,0,0,0,0,0,0,1,2,0,0,0,3,2025-02-22 05:48:31
12821,2024,FRA.W.1,21637,219935,4,0,4,6,0,0,0,0,0,0,0,0,0,0,1,2025-02-22 05:48:29
12821,2024,FRA.W.1,19256,219938,12,6,9,5,1,0,0,1,0,11,23,3,0,0,1,2025-02-22 05:48:30
12821,2024,FRA.W.1,19256,219946,13,4,4,14,0,0,0,3,0,6,23,5,0,0,2,2025-02-22 05:48:30
12821,2024,FRA.W.1,22328,224883,14,6,3,8,0,0,0,0,0,6,11,1,0,0,7,2025-02-22 05:48:30
12821,2024,FRA.W.1,21638,225064,15,0,15,9,2,0,0,2,0,4,9,1,0,0,28,2025-02-22 05:48:30
12821,2024,FRA.W.1,21637,227378,15,4,14,15,1,0,0,0,0,17,30,8,0,0,10,2025-02-22 05:48:29
12821,2024,FRA.W.1,19258,227388,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2025-02-22 05:48:31
12821,2024,FRA.W.1,19256,228716,12,0,8,11,0,0,0,5,0,21,52,11,0,0,4,2025-02-22 05:48:30
12821,2024,FRA.W.1,21639,230966,12,2,3,4,1,0,1,1,0,1,2,0,0,0,12,2025-02-22 05:48:28
12821,2024,FRA.W.1,21638,234760,9,1,12,9,3,0,0,3,0,3,6,0,0,0,9,2025-02-22 05:48:30
12821,2024,FRA.W.1,19258,235658,13,3,6,2,1,0,0,1,0,1,8,0,0,0,8,2025-02-22 05:48:31
12821,2024,FRA.W.1,19256,236710,13,1,5,6,1,0,0,2,0,4,5,0,0,0,4,2025-02-22 05:48:30
12821,2024,FRA.W.1,19258,240297,11,0,16,34,1,0,0,2,0,10,19,4,0,0,7,2025-02-22 05:48:31
12821,2024,FRA.W.1,21643,242958,11,2,5,7,3,0,0,0,0,0,0,0,0,0,16,2025-02-22 05:48:32
12821,2024,FRA.W.1,21639,246852,12,6,10,10,1,0,0,0,0,8,16,3,0,0,16,2025-02-22 05:48:28
12821,2024,FRA.W.1,21643,248728,15,4,9,2,1,0,0,1,0,3,12,2,0,0,20,2025-02-22 05:48:32
12821,2024,FRA.W.1,19258,248768,13,0,0,3,0,0,0,0,0,0,0,0,0,28,10,2025-02-22 05:48:31
12821,2024,FRA.W.1,22329,248834,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2025-02-22 05:48:32
12821,2024,FRA.W.1,19258,248835,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-14 06:58:01
12821,2024,FRA.W.1,21637,248835,7,3,2,0,1,0,0,0,0,0,1,0,0,0,4,2025-02-22 05:48:29
