seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12513,2024,GLOBAL.TOULON,2888,23761,3,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2024-07-13 03:09:31
12513,2024,GLOBAL.TOULON,2837,40920,5,4,0,2,0,0,0,0,0,0,1,0,0,0,1,2024-07-13 03:09:32
12513,2024,GLOBAL.TOULON,2888,49306,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2024-07-13 03:09:31
12513,2024,GLOBAL.TOULON,2874,92181,4,1,4,7,1,0,0,0,0,2,2,0,0,0,5,2024-07-13 03:09:32
12513,2024,GLOBAL.TOULON,2874,102807,3,1,2,3,0,0,0,0,0,0,0,0,0,0,3,2024-07-13 03:09:32
12513,2024,GLOBAL.TOULON,2888,136124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:09:31
12513,2024,GLOBAL.TOULON,2888,140817,2,0,1,2,0,0,0,0,0,0,0,0,0,0,2,2024-07-13 03:09:31
12513,2024,GLOBAL.TOULON,2874,141631,3,2,2,1,1,0,0,0,0,1,2,0,0,0,0,2024-07-13 03:09:32
12513,2024,GLOBAL.TOULON,2888,206158,2,0,3,1,2,1,0,0,0,0,1,0,0,0,5,2024-07-13 03:09:31
12513,2024,GLOBAL.TOULON,12062,207878,4,1,2,2,1,0,0,0,0,1,2,1,0,0,3,2024-07-13 03:09:33
12513,2024,GLOBAL.TOULON,2837,219460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:09:32
12513,2024,GLOBAL.TOULON,10343,251776,3,0,6,2,2,0,0,0,0,2,2,0,0,0,3,2024-07-13 03:09:33
12513,2024,GLOBAL.TOULON,2888,259971,5,2,4,3,0,0,0,0,0,5,8,1,0,0,5,2024-07-13 03:09:31
12513,2024,GLOBAL.TOULON,2888,260173,5,2,1,1,1,0,0,1,0,0,2,0,0,0,8,2024-07-13 03:09:31
12513,2024,GLOBAL.TOULON,2874,260342,2,2,0,2,0,0,0,0,0,1,2,0,0,0,0,2024-07-13 03:09:32
12513,2024,GLOBAL.TOULON,2874,280518,5,1,3,9,0,0,0,1,0,4,12,3,0,0,5,2024-07-13 03:09:32
12513,2024,GLOBAL.TOULON,2874,286671,3,0,0,1,0,0,0,0,0,0,0,0,0,6,3,2024-07-13 03:09:32
12513,2024,GLOBAL.TOULON,10343,286929,4,2,11,4,1,0,0,2,0,0,0,0,0,0,7,2024-07-13 03:09:33
12513,2024,GLOBAL.TOULON,22240,288490,4,1,7,4,0,0,0,2,0,2,4,1,0,0,1,2024-07-13 03:09:34
12513,2024,GLOBAL.TOULON,2874,290961,3,2,2,0,0,0,0,1,0,1,1,0,0,0,1,2024-07-13 03:09:32
12513,2024,GLOBAL.TOULON,10343,297219,5,3,10,9,1,0,0,0,0,0,2,0,0,0,6,2024-07-13 03:09:33
12513,2024,GLOBAL.TOULON,10343,297232,3,0,2,2,0,0,0,0,0,0,1,0,0,0,5,2024-07-13 03:09:33
12513,2024,GLOBAL.TOULON,19212,297262,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2024-07-13 03:09:30
12513,2024,GLOBAL.TOULON,19212,297264,5,2,6,1,1,0,0,0,0,2,3,0,0,0,4,2024-07-13 03:09:30
