seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12815,2024,GRE.1,5276,28927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-18 05:40:45
12815,2024,GRE.1,887,30302,4,2,0,0,0,0,0,0,0,1,1,1,0,0,2,2024-07-18 05:40:40
12815,2024,GRE.1,5276,40874,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-07-18 05:40:45
12815,2024,GRE.1,11431,44776,21,1,23,31,7,1,0,1,0,6,14,2,0,0,13,2025-02-22 05:45:36
12815,2024,GRE.1,22325,49909,20,0,0,3,1,0,1,0,0,0,0,0,0,67,26,2025-02-22 05:45:33
12815,2024,GRE.1,11553,70530,6,6,0,0,0,0,0,0,0,1,1,1,0,0,3,2024-07-18 05:40:43
12815,2024,GRE.1,22325,86265,21,7,17,23,1,0,0,4,0,5,18,3,0,0,19,2025-02-22 05:45:33
12815,2024,GRE.1,605,86532,7,5,5,3,2,0,0,2,0,1,1,0,0,0,1,2025-02-22 05:45:35
12815,2024,GRE.1,11431,93381,13,5,6,16,3,0,0,0,0,4,15,1,0,0,4,2025-02-22 05:45:36
12815,2024,GRE.1,5276,93805,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2024-07-18 05:40:45
12815,2024,GRE.1,5276,96570,8,0,0,0,1,0,0,0,0,0,0,0,0,22,15,2025-02-06 05:40:59
12815,2024,GRE.1,435,107000,17,1,0,0,5,0,0,0,0,1,1,1,0,0,14,2024-07-18 05:40:43
12815,2024,GRE.1,605,107000,21,10,31,14,7,0,0,1,0,8,22,6,0,0,15,2025-02-22 05:45:35
12815,2024,GRE.1,5276,112544,8,0,12,7,3,0,0,0,0,1,4,0,0,0,12,2024-12-23 05:49:12
12815,2024,GRE.1,18814,112544,2,0,0,0,0,0,1,0,0,1,1,0,0,0,6,2024-07-18 05:40:42
12815,2024,GRE.1,605,117239,19,5,20,13,3,0,0,1,0,4,15,1,0,0,15,2025-02-22 05:45:35
12815,2024,GRE.1,435,119612,6,3,0,0,0,0,0,0,0,2,2,2,0,0,3,2024-07-18 05:40:43
12815,2024,GRE.1,887,121505,3,3,1,0,0,0,0,0,0,1,4,1,0,0,0,2024-12-12 05:49:43
12815,2024,GRE.1,18814,121756,12,0,13,26,4,0,0,1,0,5,10,0,0,0,15,2024-12-22 05:48:47
12815,2024,GRE.1,5276,121993,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2024-07-18 05:40:45
12815,2024,GRE.1,605,123560,7,0,8,2,2,0,0,0,0,1,6,0,0,0,9,2025-02-22 05:45:35
12815,2024,GRE.1,8354,123651,17,2,27,20,4,0,0,3,0,12,27,6,0,0,12,2025-02-22 05:45:33
12815,2024,GRE.1,887,124891,6,3,7,1,1,0,0,1,0,3,5,1,0,0,1,2025-01-18 05:35:28
12815,2024,GRE.1,435,125206,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,2024-07-18 05:40:43
12815,2024,GRE.1,20043,127362,14,8,16,15,3,2,0,1,0,2,5,0,0,0,8,2025-01-10 05:34:41
12815,2024,GRE.1,887,129806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-18 05:40:40
12815,2024,GRE.1,6790,129806,19,11,9,12,1,0,0,1,0,5,13,2,0,0,12,2025-02-22 05:45:34
12815,2024,GRE.1,435,129859,6,6,0,0,1,0,0,0,0,1,1,1,0,0,2,2024-07-18 05:40:43
12815,2024,GRE.1,18814,130179,7,7,0,0,0,0,0,0,0,1,1,1,0,0,8,2024-07-18 05:40:42
12815,2024,GRE.1,887,130870,16,9,20,6,6,1,0,3,0,10,28,3,0,0,7,2025-02-22 05:45:32
12815,2024,GRE.1,8354,131346,21,0,0,0,5,0,2,0,0,5,5,3,0,0,30,2024-07-18 05:40:41
12815,2024,GRE.1,443,131766,5,2,0,0,1,0,0,0,0,0,0,0,0,0,8,2024-07-18 05:40:46
12815,2024,GRE.1,11553,131983,15,3,12,5,3,1,0,0,0,1,5,0,0,0,15,2025-02-22 05:45:33
12815,2024,GRE.1,435,133852,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2025-02-22 05:45:35
12815,2024,GRE.1,20043,133934,7,3,0,0,1,0,0,0,0,0,0,0,0,0,3,2024-07-18 05:40:41
12815,2024,GRE.1,22325,133967,20,6,19,22,7,0,0,2,0,4,16,1,0,0,23,2025-02-22 05:45:33
12815,2024,GRE.1,5276,135241,10,2,10,4,2,1,1,0,0,3,3,1,0,0,6,2025-02-22 05:45:34
12815,2024,GRE.1,605,135943,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2024-07-18 05:40:46
12815,2024,GRE.1,443,137076,21,5,22,33,8,0,0,1,0,10,36,5,0,0,9,2025-02-22 05:45:36
12815,2024,GRE.1,5276,137344,10,3,16,10,2,0,0,1,0,0,0,0,0,0,4,2025-02-22 05:45:34
12815,2024,GRE.1,11553,137425,17,4,30,10,5,1,0,2,0,1,4,0,0,0,17,2025-02-22 05:45:33
