seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12781,2024,ITA.2,4050,26202,3,1,6,2,1,0,0,0,0,0,0,0,0,0,5,2025-02-21 05:49:18
12781,2024,ITA.2,11139,41781,10,0,11,4,4,0,0,1,0,1,3,0,0,0,20,2025-02-21 05:49:22
12781,2024,ITA.2,3337,65451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-21 05:49:18
12781,2024,ITA.2,2923,68067,3,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2025-02-21 05:49:20
12781,2024,ITA.2,3942,68242,7,7,5,0,2,0,0,0,0,0,2,0,0,0,2,2025-02-21 05:49:20
12781,2024,ITA.2,115,68522,16,11,0,0,0,0,0,0,0,0,0,0,0,0,4,2024-07-13 02:50:57
12781,2024,ITA.2,108,72945,17,14,15,10,3,0,0,1,0,7,12,4,0,0,9,2025-02-21 05:49:17
12781,2024,ITA.2,3991,91645,17,0,33,30,9,0,0,2,0,7,20,1,0,0,24,2025-02-21 05:49:19
12781,2024,ITA.2,3991,92096,9,3,12,5,2,0,0,0,0,0,1,0,0,0,9,2025-02-21 05:49:19
12781,2024,ITA.2,3240,94817,7,1,1,1,0,1,0,0,0,0,0,0,0,8,12,2025-02-16 05:44:20
12781,2024,ITA.2,3988,94817,8,1,1,1,0,1,0,0,0,0,0,0,0,11,14,2025-02-21 05:49:17
12781,2024,ITA.2,3346,96794,30,1,0,0,12,3,1,0,0,3,3,2,0,0,26,2024-07-13 02:51:00
12781,2024,ITA.2,2573,107010,5,2,5,0,0,0,0,0,0,0,2,0,0,0,5,2025-02-21 05:49:20
12781,2024,ITA.2,3346,107010,25,2,0,0,4,0,0,0,0,4,4,4,0,0,29,2024-07-13 02:51:00
12781,2024,ITA.2,2572,107105,29,9,0,0,2,0,0,0,0,0,0,0,0,0,20,2024-07-13 02:50:57
12781,2024,ITA.2,3975,113507,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2025-02-21 05:49:19
12781,2024,ITA.2,2572,115025,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2024-07-13 02:50:57
