seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12553,2024,JPN.WORLD_CHALLENGE,367,6327,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,7477,133286,1,0,0,0,0,0,0,0,0,2,2,1,0,0,1,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,367,149945,1,0,1,0,0,0,0,0,0,2,3,1,0,0,1,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,7477,153739,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,7477,184849,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,367,194450,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,7477,202090,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,7477,202096,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,367,204082,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,7477,224053,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,367,232810,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,7477,237065,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,7477,237102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,367,246844,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,7477,253648,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,367,257256,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,367,259942,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,367,261448,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,367,267711,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,7477,267844,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,367,268533,1,0,0,1,0,0,0,0,0,1,2,1,0,0,2,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,7477,271391,1,1,1,0,0,0,0,1,0,1,1,0,0,0,2,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,367,272695,1,0,1,1,0,0,0,1,0,1,3,0,0,0,2,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,367,273628,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,7477,274276,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,7477,275753,1,1,0,0,0,0,0,0,0,1,1,1,0,0,2,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,367,291307,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,7477,297241,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,367,297337,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,7477,302696,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,7477,302698,1,0,2,1,1,0,0,0,0,0,0,0,0,0,3,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,367,306012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,367,306013,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,7477,313263,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,367,318291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,367,328050,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,7477,339744,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,7477,346727,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,367,347313,1,1,0,1,0,0,0,1,0,1,2,0,0,0,1,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,7477,347543,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,367,348265,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,367,349181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,367,356379,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,367,359158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,7477,362957,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,367,365332,1,1,0,0,0,0,0,0,0,2,3,1,0,0,1,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,367,374109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,7477,379613,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,7477,379762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,7477,383992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 04:52:58
12553,2024,JPN.WORLD_CHALLENGE,7477,388059,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2024-10-13 04:52:58
