seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12826,2024,KSA.1,817,22774,19,0,9,16,2,0,0,3,0,39,83,16,0,0,14,2025-02-22 05:46:45
12826,2024,KSA.1,21966,41549,14,3,22,10,5,1,0,1,0,7,26,3,0,0,16,2025-02-22 05:46:45
12826,2024,KSA.1,2276,46858,17,0,7,6,1,0,0,7,0,35,71,15,0,0,19,2025-02-22 05:46:44
12826,2024,KSA.1,2276,76717,13,1,5,6,3,0,0,0,0,0,6,0,0,0,15,2025-02-22 05:46:44
12826,2024,KSA.1,21834,87043,3,0,0,0,1,0,0,0,0,0,0,0,0,11,5,2025-02-22 05:46:46
12826,2024,KSA.1,8363,98342,20,0,6,18,0,0,0,3,0,13,23,7,0,0,30,2025-02-22 05:46:43
12826,2024,KSA.1,793,113667,18,0,19,34,3,0,0,1,0,8,27,0,0,0,19,2025-02-22 05:46:47
12826,2024,KSA.1,22022,122260,19,0,14,16,1,1,0,2,0,30,65,10,0,0,14,2025-02-22 05:46:46
12826,2024,KSA.1,21827,123605,18,0,16,4,3,1,1,0,0,3,7,0,0,0,23,2025-02-22 05:46:43
12826,2024,KSA.1,13033,123988,4,0,4,0,1,0,0,0,0,0,2,0,0,0,4,2025-02-22 05:46:43
12826,2024,KSA.1,21835,129195,19,0,11,24,1,0,0,0,0,13,32,4,0,0,36,2025-02-22 05:46:47
12826,2024,KSA.1,22029,132709,17,3,7,5,1,0,0,2,0,13,35,5,0,0,20,2025-02-22 05:46:46
12826,2024,KSA.1,21834,133818,10,3,3,4,2,0,0,0,0,1,2,1,0,0,14,2025-02-22 05:46:46
12826,2024,KSA.1,22029,134205,17,0,17,14,6,0,0,4,0,8,18,2,0,0,26,2025-02-22 05:46:46
12826,2024,KSA.1,21966,138157,18,6,21,7,0,0,0,1,0,6,35,4,0,0,19,2025-02-22 05:46:45
12826,2024,KSA.1,22022,140079,20,0,0,3,0,0,0,0,0,0,0,0,0,57,15,2025-02-22 05:46:46
12826,2024,KSA.1,8346,147234,17,4,18,10,0,0,0,3,0,18,36,5,0,0,8,2025-02-22 05:46:42
12826,2024,KSA.1,21829,148180,20,0,0,3,1,0,0,0,0,0,0,0,0,58,26,2025-02-22 05:46:44
12826,2024,KSA.1,22022,148189,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-03 05:02:55
12826,2024,KSA.1,793,149938,20,0,9,9,0,0,0,4,0,15,37,3,0,0,24,2025-02-22 05:46:47
12826,2024,KSA.1,929,150312,17,0,17,3,1,1,0,0,0,3,7,2,0,0,15,2025-02-22 05:46:44
12826,2024,KSA.1,21965,157292,21,0,1,5,2,0,0,0,0,0,0,0,0,74,32,2025-02-22 05:46:46
12826,2024,KSA.1,22022,157710,20,0,10,11,3,0,0,0,0,6,15,0,0,0,15,2025-02-22 05:46:46
12826,2024,KSA.1,21827,158604,17,3,12,19,2,0,0,1,0,8,16,4,0,0,19,2025-02-22 05:46:43
12826,2024,KSA.1,817,159317,14,0,2,6,2,0,0,0,0,7,15,3,0,0,13,2025-02-22 05:46:45
12826,2024,KSA.1,22029,159319,8,0,4,0,0,0,0,0,0,0,3,0,0,0,12,2025-02-22 05:46:46
12826,2024,KSA.1,21829,160020,19,1,11,37,2,0,0,4,0,21,47,3,0,0,25,2025-02-22 05:46:44
12826,2024,KSA.1,21834,160114,18,1,39,24,7,0,0,0,0,1,10,0,0,0,27,2025-02-22 05:46:46
12826,2024,KSA.1,18459,163121,18,2,17,18,2,0,0,4,0,0,5,0,0,0,12,2025-02-22 05:46:47
12826,2024,KSA.1,21965,163213,19,5,25,15,1,0,0,1,0,12,26,4,0,0,26,2025-02-22 05:46:46
12826,2024,KSA.1,929,163850,19,0,14,30,2,0,0,8,0,19,50,4,0,0,17,2025-02-22 05:46:44
12826,2024,KSA.1,21835,163852,17,2,8,7,1,0,0,0,0,0,2,0,0,0,39,2025-02-22 05:46:47
12826,2024,KSA.1,8346,163940,20,0,21,22,3,0,0,5,0,14,39,5,0,0,14,2025-02-22 05:46:42
12826,2024,KSA.1,13033,165167,18,2,16,20,3,0,0,0,0,16,32,4,0,0,30,2025-02-22 05:46:43
12826,2024,KSA.1,21966,169591,2,0,1,0,0,0,0,0,0,1,4,0,0,0,2,2025-02-22 05:46:45
12826,2024,KSA.1,817,169797,20,0,24,44,3,0,0,7,0,22,56,5,0,0,19,2025-02-22 05:46:45
12826,2024,KSA.1,21835,170754,19,1,9,18,0,0,0,6,0,10,25,5,0,0,41,2025-02-22 05:46:47
12826,2024,KSA.1,8363,171652,18,5,21,20,1,0,0,5,0,8,22,3,0,0,19,2025-02-22 05:46:43
12826,2024,KSA.1,929,171877,6,3,4,0,0,0,0,0,0,0,0,0,0,0,2,2025-02-22 05:46:44
12826,2024,KSA.1,22022,171878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:46:46
12826,2024,KSA.1,21965,172190,18,0,10,13,5,1,0,0,0,2,9,1,0,0,26,2025-02-22 05:46:46
12826,2024,KSA.1,13033,172267,11,0,4,27,1,0,0,2,0,10,25,1,0,0,20,2025-01-03 05:41:06
12826,2024,KSA.1,817,172933,9,8,5,1,1,0,0,0,0,0,1,0,0,0,4,2025-02-22 05:46:45
12826,2024,KSA.1,2276,173556,18,0,18,6,3,0,0,1,0,4,8,2,0,0,17,2025-02-22 05:46:44
12826,2024,KSA.1,793,174893,7,2,2,10,1,0,0,0,0,5,17,1,0,0,3,2025-02-22 05:46:47
12826,2024,KSA.1,21966,174978,17,1,17,28,6,0,0,0,0,2,9,0,0,0,19,2025-02-22 05:46:45
12826,2024,KSA.1,793,175064,2,0,1,3,0,0,0,0,0,0,0,0,0,0,4,2025-02-22 05:46:47
12826,2024,KSA.1,929,175149,18,0,1,0,1,0,0,0,0,0,0,0,0,29,20,2025-02-22 05:46:44
