seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12632,2024,MEX.1,219,3313,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,2025-02-22 05:44:11
12632,2024,MEX.1,234,12425,4,3,1,3,0,0,0,0,0,1,3,0,0,0,1,2025-02-22 05:44:13
12632,2024,MEX.1,225,21738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-18 05:37:30
12632,2024,MEX.1,220,23761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:44:12
12632,2024,MEX.1,15720,26703,2,2,0,2,0,0,0,0,0,0,1,0,0,0,1,2025-02-07 05:38:02
12632,2024,MEX.1,219,37249,5,0,8,1,2,1,0,1,0,0,1,0,0,1,6,2025-02-22 05:44:11
12632,2024,MEX.1,222,42182,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,2025-02-22 05:44:14
12632,2024,MEX.1,234,44473,11,0,4,3,3,1,0,0,1,0,3,0,0,1,20,2025-02-22 05:44:13
12632,2024,MEX.1,20702,48484,6,1,3,6,1,0,0,2,1,3,12,1,0,2,6,2025-02-22 05:44:12
12632,2024,MEX.1,232,49306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:44:15
12632,2024,MEX.1,17851,66955,7,2,3,5,1,0,0,0,0,0,0,0,0,1,7,2025-02-22 05:44:11
12632,2024,MEX.1,232,68340,7,0,0,2,1,0,0,0,0,0,0,0,93,25,6,2025-02-22 05:44:15
12632,2024,MEX.1,228,70610,4,4,1,1,0,0,0,0,0,0,1,0,0,0,3,2025-02-22 05:44:12
12632,2024,MEX.1,227,70983,3,3,0,2,0,0,0,0,0,0,1,0,0,0,2,2025-02-22 05:44:10
12632,2024,MEX.1,10125,72266,1,0,0,0,0,0,0,0,0,0,0,0,11,4,2,2025-02-22 05:44:15
12632,2024,MEX.1,222,72904,7,1,1,3,0,0,0,0,2,2,7,2,0,0,9,2025-02-22 05:44:14
12632,2024,MEX.1,218,74070,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:44:11
12632,2024,MEX.1,228,76932,7,6,5,3,1,0,0,0,1,1,1,0,0,1,1,2025-02-22 05:44:12
12632,2024,MEX.1,15720,77934,3,1,2,0,0,0,0,0,0,2,2,0,0,2,5,2025-02-22 05:44:10
12632,2024,MEX.1,15720,78772,2,1,0,0,0,0,0,0,0,0,0,0,7,4,4,2025-02-22 05:44:10
12632,2024,MEX.1,220,79608,7,0,7,4,1,0,0,0,0,2,7,1,0,5,11,2025-02-22 05:44:12
12632,2024,MEX.1,10125,80359,2,0,1,2,0,0,0,0,2,0,0,0,0,0,1,2025-02-13 05:45:16
12632,2024,MEX.1,228,82816,7,1,6,18,0,0,0,4,2,2,11,2,0,1,7,2025-02-22 05:44:12
12632,2024,MEX.1,232,83869,4,1,5,0,0,0,0,0,0,0,1,0,0,4,3,2025-02-22 05:44:15
12632,2024,MEX.1,232,84854,2,2,0,1,1,0,0,0,0,1,5,0,0,0,1,2025-02-22 05:44:15
12632,2024,MEX.1,17851,92561,4,1,5,0,2,0,0,0,0,0,0,0,0,3,6,2025-02-22 05:44:11
12632,2024,MEX.1,227,93184,4,2,2,7,0,0,0,3,1,2,2,1,0,0,3,2025-02-22 05:44:10
12632,2024,MEX.1,227,95752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:44:10
12632,2024,MEX.1,225,96526,2,0,4,2,1,0,0,0,0,0,1,0,0,0,4,2025-02-22 05:44:14
12632,2024,MEX.1,15720,98573,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2025-02-22 05:44:10
12632,2024,MEX.1,228,101912,4,0,0,0,1,0,0,0,0,0,0,0,50,18,4,2025-02-22 05:44:12
12632,2024,MEX.1,232,103714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:44:15
12632,2024,MEX.1,227,103729,2,0,0,0,0,0,0,0,0,0,0,0,17,4,1,2025-02-22 05:44:10
12632,2024,MEX.1,234,104428,6,5,1,4,1,0,0,0,2,0,3,0,0,0,3,2025-02-22 05:44:13
12632,2024,MEX.1,225,110987,4,1,0,1,0,0,0,0,1,0,0,0,0,2,4,2025-02-22 05:44:14
12632,2024,MEX.1,231,111297,14,8,5,7,1,0,0,0,1,4,12,0,0,0,13,2025-01-18 05:37:29
12632,2024,MEX.1,227,115044,2,0,3,3,0,0,0,0,1,1,4,0,0,0,1,2025-02-22 05:44:10
12632,2024,MEX.1,15720,115294,6,3,2,5,1,0,0,0,1,0,2,0,0,0,6,2025-02-22 05:44:10
12632,2024,MEX.1,218,115447,7,5,6,10,1,0,0,0,0,2,10,1,0,0,4,2025-02-22 05:44:11
12632,2024,MEX.1,220,117977,7,2,2,7,0,0,0,3,0,1,7,1,0,0,8,2025-02-22 05:44:12
12632,2024,MEX.1,222,120791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-18 05:37:30
12632,2024,MEX.1,216,120798,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-02-22 05:44:10
12632,2024,MEX.1,227,122146,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2025-02-22 05:44:10
12632,2024,MEX.1,220,125300,4,1,4,1,1,0,0,0,0,0,0,0,0,2,6,2025-02-22 05:44:12
12632,2024,MEX.1,220,125383,7,0,4,16,1,0,0,2,2,10,26,3,0,1,12,2025-02-22 05:44:12
12632,2024,MEX.1,233,125805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:44:14
12632,2024,MEX.1,234,127570,7,1,7,8,1,0,0,1,4,9,20,3,0,0,8,2025-02-22 05:44:13
12632,2024,MEX.1,222,127873,6,2,6,6,1,0,0,0,0,0,2,0,0,4,6,2025-02-22 05:44:14
12632,2024,MEX.1,223,128179,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-02-22 05:44:15
12632,2024,MEX.1,219,128268,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-02-22 05:44:11
12632,2024,MEX.1,223,128422,5,0,3,4,2,0,0,0,0,0,1,0,0,2,7,2025-02-22 05:44:15
12632,2024,MEX.1,232,129167,7,0,9,7,2,0,0,0,1,0,1,0,0,5,6,2025-02-22 05:44:15
12632,2024,MEX.1,227,129421,7,1,7,8,1,0,0,0,2,6,13,2,0,0,4,2025-02-22 05:44:10
12632,2024,MEX.1,231,129732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:44:13
12632,2024,MEX.1,231,130428,6,1,9,1,1,1,0,1,5,0,4,0,0,0,5,2025-02-22 05:44:13
12632,2024,MEX.1,17851,131612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:44:11
12632,2024,MEX.1,219,131697,7,3,7,5,0,0,0,0,0,0,4,0,0,3,7,2025-02-22 05:44:11
12632,2024,MEX.1,231,131733,5,2,3,3,2,0,0,3,0,2,5,0,0,0,2,2025-02-22 05:44:13
12632,2024,MEX.1,223,132098,6,0,4,1,1,0,0,0,2,1,3,0,0,2,8,2025-02-22 05:44:15
12632,2024,MEX.1,216,132219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:44:10
12632,2024,MEX.1,227,132676,4,1,2,3,0,0,0,0,0,0,2,0,0,0,4,2025-02-22 05:44:10
12632,2024,MEX.1,219,133111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:44:11
12632,2024,MEX.1,216,133922,5,0,1,2,0,0,0,0,0,0,0,0,0,2,11,2025-02-22 05:44:10
12632,2024,MEX.1,218,136124,3,1,1,5,0,0,0,0,0,0,1,0,0,0,3,2025-02-22 05:44:11
12632,2024,MEX.1,219,136135,2,0,1,2,0,0,0,0,2,2,2,1,0,0,2,2025-02-22 05:44:11
12632,2024,MEX.1,227,137439,2,0,2,2,0,0,0,0,1,0,1,0,0,0,0,2025-02-22 05:44:10
12632,2024,MEX.1,220,138328,4,0,0,0,0,0,0,0,0,0,0,0,35,11,8,2025-02-22 05:44:12
12632,2024,MEX.1,232,138333,5,0,6,2,1,1,0,0,0,1,2,1,0,2,5,2025-02-22 05:44:15
12632,2024,MEX.1,225,140817,7,1,4,9,1,0,0,0,2,2,4,0,0,2,9,2025-02-22 05:44:14
12632,2024,MEX.1,227,141086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-18 05:37:25
12632,2024,MEX.1,233,143362,4,3,4,0,0,0,0,1,0,0,2,0,0,0,1,2025-02-22 05:44:14
12632,2024,MEX.1,227,144325,5,0,1,5,0,0,0,2,1,4,7,2,0,0,4,2025-02-22 05:44:10
12632,2024,MEX.1,223,145092,2,0,0,1,0,0,0,0,0,0,0,0,27,7,3,2025-01-28 15:04:28
12632,2024,MEX.1,219,145875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:44:11
12632,2024,MEX.1,219,146419,4,2,3,0,0,0,0,0,0,0,3,0,0,1,3,2025-02-22 05:44:11
12632,2024,MEX.1,223,146866,4,4,2,2,0,0,0,0,0,0,2,0,0,0,0,2025-02-22 05:44:15
12632,2024,MEX.1,220,146989,7,0,7,6,2,0,0,0,0,1,4,0,0,1,12,2025-02-22 05:44:12
12632,2024,MEX.1,234,147082,7,2,5,3,0,0,0,0,0,0,6,0,0,3,5,2025-02-08 05:48:46
12632,2024,MEX.1,219,147715,5,2,2,1,0,0,0,0,0,1,3,0,0,3,5,2025-02-22 05:44:11
12632,2024,MEX.1,228,148356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:44:12
12632,2024,MEX.1,222,149407,7,0,1,1,2,0,0,0,0,0,0,0,103,25,11,2025-02-22 05:44:14
12632,2024,MEX.1,219,149708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-18 05:37:27
12632,2024,MEX.1,225,149859,2,1,1,0,1,0,1,0,1,1,1,0,0,0,3,2025-02-22 05:44:14
12632,2024,MEX.1,218,151850,6,4,6,4,2,0,0,0,0,4,8,1,0,0,3,2025-02-22 05:44:11
12632,2024,MEX.1,10125,151993,5,2,4,3,0,0,0,0,1,0,3,0,0,0,7,2025-02-22 05:44:15
12632,2024,MEX.1,233,152371,2,0,0,0,0,0,0,0,1,0,0,0,14,0,6,2025-02-02 14:47:49
12632,2024,MEX.1,15720,154456,2,0,1,1,0,0,0,0,0,0,0,0,0,0,4,2025-02-18 05:43:50
12632,2024,MEX.1,218,154517,8,3,10,4,1,0,0,0,2,2,6,2,0,1,7,2025-02-22 05:44:11
12632,2024,MEX.1,232,156520,3,2,0,4,0,0,0,0,0,0,0,0,0,0,1,2025-02-22 05:44:15
12632,2024,MEX.1,231,156570,7,7,0,0,0,0,0,0,0,0,1,0,0,0,3,2025-02-22 05:44:13
12632,2024,MEX.1,223,158275,7,1,6,6,1,0,0,0,0,2,2,0,0,3,10,2025-02-22 05:44:15
12632,2024,MEX.1,228,158304,15,2,13,14,3,1,0,3,4,1,8,1,0,2,14,2025-01-18 05:37:27
12632,2024,MEX.1,227,159042,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2025-02-22 05:44:10
12632,2024,MEX.1,15720,159057,3,1,2,2,0,0,0,1,1,0,2,0,0,0,4,2025-02-22 05:44:10
12632,2024,MEX.1,220,159263,4,0,2,1,0,0,0,0,0,1,4,1,0,0,5,2025-02-22 05:44:12
12632,2024,MEX.1,219,159279,1,0,3,0,1,1,0,0,0,0,0,0,0,0,1,2025-01-15 05:35:25
12632,2024,MEX.1,223,159279,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:44:15
12632,2024,MEX.1,222,159284,6,1,8,2,0,0,0,0,1,0,4,0,0,4,8,2025-02-22 05:44:14
12632,2024,MEX.1,216,159906,6,3,3,0,0,0,0,0,0,0,2,0,0,0,7,2025-02-22 05:44:10
12632,2024,MEX.1,223,159906,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-18 05:37:31
12632,2024,MEX.1,20702,161965,13,3,3,5,1,0,0,0,1,1,11,0,0,1,6,2025-02-22 05:44:12
12632,2024,MEX.1,218,162654,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-18 05:37:26
12632,2024,MEX.1,20702,163150,7,0,0,2,2,0,1,0,0,1,1,0,79,18,7,2025-02-22 05:44:12
12632,2024,MEX.1,227,164331,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:44:10
12632,2024,MEX.1,229,164334,3,0,2,0,2,0,0,0,0,0,2,0,0,0,5,2025-02-22 05:44:13
12632,2024,MEX.1,231,164334,17,0,13,5,2,0,0,0,2,5,18,1,0,12,32,2025-01-24 16:55:19
12632,2024,MEX.1,222,167048,5,4,3,4,1,1,0,0,0,2,3,1,0,0,2,2025-01-24 16:55:19
12632,2024,MEX.1,227,167681,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2025-02-22 05:44:10
12632,2024,MEX.1,15720,170506,7,0,16,11,0,0,0,0,1,4,5,1,0,2,16,2025-02-22 05:44:10
12632,2024,MEX.1,17851,170562,13,10,6,5,0,0,0,1,2,6,19,1,0,1,11,2025-01-18 05:37:26
12632,2024,MEX.1,228,172073,8,0,6,5,3,0,0,0,1,0,6,0,0,7,9,2025-02-22 05:44:12
12632,2024,MEX.1,222,172090,7,1,9,8,2,0,0,1,3,0,1,0,0,4,11,2025-02-22 05:44:14
12632,2024,MEX.1,231,172596,4,0,9,7,1,0,0,0,0,8,17,4,0,1,8,2025-02-22 05:44:13
12632,2024,MEX.1,225,172599,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2025-02-22 05:44:14
12632,2024,MEX.1,15720,172680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:44:10
12632,2024,MEX.1,225,173063,8,0,5,10,0,0,0,0,3,0,1,0,0,5,14,2025-02-22 05:44:14
12632,2024,MEX.1,17851,173063,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2025-01-15 05:35:24
12632,2024,MEX.1,220,173233,7,1,5,3,0,0,0,0,2,3,4,2,0,1,9,2025-02-22 05:44:12
