seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12673,2024,NED.1,5291,4804,14,5,7,4,0,0,1,0,0,1,3,0,0,3,21,2025-02-22 05:44:36
12673,2024,NED.1,2727,67334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:53:19
12673,2024,NED.1,151,69579,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:44:40
12673,2024,NED.1,139,78836,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2024-08-31 04:53:11
12673,2024,NED.1,153,83494,14,6,8,20,3,0,0,2,0,7,25,2,0,0,9,2025-02-22 05:44:37
12673,2024,NED.1,139,83802,21,0,0,2,0,0,1,1,2,1,1,0,208,58,17,2025-02-22 05:44:36
12673,2024,NED.1,2727,84843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:53:19
12673,2024,NED.1,148,103485,17,5,8,5,2,0,0,5,1,5,19,1,0,2,19,2025-02-22 05:44:40
12673,2024,NED.1,155,105351,13,12,4,3,2,1,0,0,0,1,4,0,0,0,4,2025-02-22 05:44:40
12673,2024,NED.1,2727,121850,23,0,11,15,3,0,0,2,6,0,8,0,0,13,54,2024-07-13 02:53:19
12673,2024,NED.1,156,122636,21,14,36,11,5,1,0,0,0,7,20,2,0,1,13,2025-02-22 05:44:41
12673,2024,NED.1,147,122954,4,3,3,1,0,0,0,0,1,3,7,1,0,1,3,2025-02-22 05:44:39
12673,2024,NED.1,152,124932,17,8,25,12,3,0,0,0,2,14,23,5,0,3,15,2025-02-22 05:44:37
12673,2024,NED.1,152,125136,2,0,0,0,0,0,0,0,0,0,0,0,23,8,8,2025-02-22 05:44:37
12673,2024,NED.1,147,125165,12,11,1,2,0,0,0,0,0,1,2,0,0,2,2,2025-02-22 05:44:39
12673,2024,NED.1,155,125279,13,5,5,8,1,1,0,0,1,0,2,0,0,4,22,2025-02-22 05:44:40
12673,2024,NED.1,3708,126248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:44:38
12673,2024,NED.1,2565,127053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:44:39
12673,2024,NED.1,139,127262,19,5,7,4,4,0,0,4,8,1,7,0,0,6,10,2025-02-22 05:44:36
12673,2024,NED.1,148,127420,20,2,5,10,3,0,0,5,0,16,55,10,0,2,19,2025-02-22 05:44:40
12673,2024,NED.1,154,127444,34,0,1,2,1,0,0,0,4,0,0,0,449,151,73,2024-07-13 02:53:13
12673,2024,NED.1,142,129285,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-08-29 04:53:50
12673,2024,NED.1,140,130177,5,0,0,0,0,0,0,0,0,0,0,0,38,10,2,2025-02-22 05:44:35
12673,2024,NED.1,153,131354,22,0,9,7,1,1,0,0,1,6,12,3,0,22,34,2025-02-22 05:44:37
12673,2024,NED.1,143,132666,19,1,10,9,2,0,0,2,1,0,3,0,0,3,28,2025-02-22 05:44:37
12673,2024,NED.1,2565,134515,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-24 04:48:32
