seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12677,2024,NED.SUPERCUP,148,125275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-06-20 03:09:08
12677,2024,NED.SUPERCUP,148,127420,1,0,0,0,0,0,0,0,0,3,3,2,0,0,4,2024-10-13 05:11:35
12677,2024,NED.SUPERCUP,142,129285,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,2024-06-20 03:09:09
12677,2024,NED.SUPERCUP,148,138746,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2024-06-20 03:09:08
12677,2024,NED.SUPERCUP,142,151053,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2024-10-13 05:11:36
12677,2024,NED.SUPERCUP,142,182424,1,0,1,0,1,0,0,0,0,0,0,0,0,3,4,2024-10-13 05:11:36
12677,2024,NED.SUPERCUP,142,188055,1,0,0,0,0,0,0,0,1,0,3,0,0,0,1,2024-06-20 03:09:09
12677,2024,NED.SUPERCUP,148,194090,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2024-06-20 03:09:08
12677,2024,NED.SUPERCUP,148,195738,1,0,1,0,1,0,0,0,0,0,0,0,0,7,4,2024-10-13 05:11:35
12677,2024,NED.SUPERCUP,148,200161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:11:35
12677,2024,NED.SUPERCUP,142,205653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:11:36
12677,2024,NED.SUPERCUP,148,207174,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2024-06-20 03:09:08
12677,2024,NED.SUPERCUP,148,207780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-13 05:11:35
12677,2024,NED.SUPERCUP,148,213718,1,0,1,2,0,0,0,0,0,0,0,0,0,3,0,2024-06-20 03:09:08
12677,2024,NED.SUPERCUP,142,215172,1,0,2,0,1,0,0,0,0,3,4,1,0,0,3,2024-10-13 05:11:36
