seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12827,2024,NED.W.1,20796,95226,14,0,6,10,1,0,0,2,7,5,21,1,0,4,10,2025-02-22 05:47:26
12827,2024,NED.W.1,20984,209166,15,0,7,14,0,0,0,3,1,2,7,1,0,1,18,2025-02-22 05:47:28
12827,2024,NED.W.1,21977,219955,15,0,16,9,1,0,0,4,13,24,58,6,0,0,22,2025-02-22 05:47:26
12827,2024,NED.W.1,20796,235656,6,5,0,1,0,0,0,1,2,3,5,0,0,0,3,2025-02-22 05:47:26
12827,2024,NED.W.1,20802,235660,2,1,2,0,0,0,0,0,1,0,3,0,0,0,0,2025-02-22 05:47:29
12827,2024,NED.W.1,20797,242307,16,4,3,12,0,0,0,1,8,20,42,3,0,0,24,2025-02-22 05:47:29
12827,2024,NED.W.1,20802,246055,9,9,1,1,0,0,0,1,0,0,3,0,0,0,1,2025-02-22 05:47:29
12827,2024,NED.W.1,20802,250645,11,0,4,8,0,0,0,1,1,6,14,3,0,4,3,2025-02-22 05:47:29
12827,2024,NED.W.1,20802,252364,15,0,5,7,0,0,0,7,4,23,43,7,0,0,6,2025-02-22 05:47:29
12827,2024,NED.W.1,20798,257446,15,0,0,1,0,0,0,0,1,0,0,0,85,45,32,2025-02-22 05:47:26
12827,2024,NED.W.1,20802,257550,15,0,0,3,0,0,1,0,0,1,1,0,56,31,6,2025-02-22 05:47:29
12827,2024,NED.W.1,20114,257565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:47:27
12827,2024,NED.W.1,21978,264732,14,0,10,7,0,0,0,1,2,2,4,0,0,0,15,2025-02-22 05:47:27
12827,2024,NED.W.1,20984,270057,14,0,11,13,4,0,0,0,10,15,26,9,0,0,18,2025-02-22 05:47:28
12827,2024,NED.W.1,20798,285104,15,0,13,5,3,0,1,2,3,8,16,0,0,0,27,2025-02-22 05:47:26
12827,2024,NED.W.1,20984,287380,15,0,29,13,4,0,0,2,6,25,51,13,0,0,17,2025-02-22 05:47:28
