seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12330,2024,NOR.1,510,9167,28,12,15,17,1,0,0,1,0,15,36,6,0,0,23,2024-12-22 05:52:02
12330,2024,NOR.1,987,12281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-31 05:39:45
12330,2024,NOR.1,2715,12281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-15 04:50:17
12330,2024,NOR.1,602,45172,21,2,12,3,6,0,0,2,0,2,6,0,0,0,23,2024-12-31 05:39:46
12330,2024,NOR.1,3278,113172,14,3,0,0,2,0,0,0,0,0,0,0,0,0,19,2024-07-13 03:05:44
12330,2024,NOR.1,3327,114205,27,5,8,28,5,0,0,0,0,10,26,3,0,0,21,2024-12-22 05:51:58
12330,2024,NOR.1,22165,115897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-17 05:32:08
12330,2024,NOR.1,3039,121827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-19 05:35:14
12330,2024,NOR.1,5270,129208,27,0,5,14,2,0,0,0,0,2,7,2,0,0,35,2024-12-22 05:52:02
12330,2024,NOR.1,22165,129211,23,8,7,7,2,0,0,1,0,2,7,1,0,0,12,2024-12-22 05:51:58
12330,2024,NOR.1,5002,129234,16,9,7,4,1,0,0,0,0,6,7,3,0,0,9,2024-12-22 05:52:01
12330,2024,NOR.1,987,129258,11,7,1,1,2,0,0,0,0,1,2,1,0,0,7,2024-12-31 05:39:45
12330,2024,NOR.1,2791,129267,12,1,0,0,2,1,0,0,0,0,0,0,0,0,21,2024-07-13 03:05:45
12330,2024,NOR.1,3278,129281,29,0,0,0,0,0,0,0,0,0,0,0,1,0,61,2024-07-13 03:05:44
12330,2024,NOR.1,5002,129284,28,4,26,11,5,0,0,3,0,8,22,6,0,0,36,2024-12-22 05:52:01
12330,2024,NOR.1,5002,129292,18,7,17,11,2,0,0,2,0,8,23,4,0,0,13,2024-12-22 05:52:01
12330,2024,NOR.1,987,129296,9,9,4,1,0,0,0,0,0,1,1,0,0,0,6,2024-12-31 05:39:45
12330,2024,NOR.1,602,133097,17,0,0,0,0,0,2,0,0,2,2,0,1,19,24,2024-12-31 05:39:46
12330,2024,NOR.1,987,133099,29,0,10,11,5,0,0,0,0,6,13,3,0,0,60,2024-12-31 05:39:45
