seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12247,2024,PAR.1,4820,2897,2,1,2,0,0,0,0,0,0,1,3,0,0,0,5,2024-12-26 05:46:28
12247,2024,PAR.1,6097,3360,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2024-12-11 05:48:44
12247,2024,PAR.1,2670,12663,6,1,1,1,0,0,0,0,0,3,4,1,0,0,3,2024-12-11 05:48:45
12247,2024,PAR.1,5583,14527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-19 05:36:56
12247,2024,PAR.1,7466,34184,9,8,4,2,3,0,0,0,0,0,2,0,0,0,5,2024-12-11 05:48:48
12247,2024,PAR.1,7466,42583,5,3,0,0,0,0,0,0,0,1,2,0,0,0,3,2024-12-11 05:48:48
12247,2024,PAR.1,2675,47086,12,0,0,0,1,0,1,0,0,1,1,0,0,0,5,2024-07-06 02:50:40
12247,2024,PAR.1,21313,47784,4,3,0,0,2,0,0,0,0,0,0,0,0,0,2,2024-07-13 02:52:10
12247,2024,PAR.1,7465,48063,11,5,13,4,3,0,0,0,0,3,20,1,0,0,11,2024-12-26 05:46:27
12247,2024,PAR.1,20292,48085,12,0,0,0,2,1,0,0,0,0,0,0,0,0,21,2024-07-13 02:52:09
12247,2024,PAR.1,2670,48651,3,1,1,0,0,0,0,1,0,1,1,0,0,0,3,2024-12-11 05:48:45
12247,2024,PAR.1,6097,57017,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2024-12-11 05:48:44
12247,2024,PAR.1,2671,66180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-11 05:48:44
12247,2024,PAR.1,4820,67627,14,8,0,0,1,0,0,0,0,1,1,1,0,0,18,2024-07-03 02:51:26
12247,2024,PAR.1,2670,67919,12,1,0,3,0,0,0,0,0,0,0,0,0,26,12,2024-12-11 05:48:45
12247,2024,PAR.1,5584,72664,21,0,0,0,1,0,0,0,0,0,0,0,1,0,29,2024-07-18 05:35:46
12247,2024,PAR.1,5583,72753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-11 05:48:47
12247,2024,PAR.1,4820,73162,8,3,6,5,0,0,0,0,0,3,18,1,0,0,6,2024-12-26 05:46:28
12247,2024,PAR.1,5583,73162,19,10,0,0,3,0,0,0,0,2,2,2,0,0,12,2024-08-02 08:43:12
12247,2024,PAR.1,21316,75821,10,6,0,0,0,0,0,0,0,0,0,0,0,0,8,2024-07-15 05:31:24
12247,2024,PAR.1,6097,76604,13,1,8,10,1,0,0,0,0,1,4,1,0,0,11,2024-12-11 05:48:44
12247,2024,PAR.1,7466,77092,9,0,4,1,1,0,0,0,0,2,3,2,0,0,11,2024-12-11 05:48:48
12247,2024,PAR.1,4820,77577,10,5,11,1,2,0,1,0,0,0,2,0,0,0,9,2024-12-26 05:46:28
12247,2024,PAR.1,7466,79022,7,5,0,0,0,0,0,0,0,0,0,0,0,0,3,2024-07-18 05:35:46
12247,2024,PAR.1,20292,79022,10,8,0,0,0,0,0,0,0,1,1,1,0,0,9,2024-07-13 02:52:09
12247,2024,PAR.1,2671,79747,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2024-12-11 05:48:44
12247,2024,PAR.1,7465,79908,10,6,0,0,2,0,0,0,0,0,0,0,0,0,7,2024-07-19 05:36:56
12247,2024,PAR.1,20292,79908,14,0,0,0,1,0,0,0,0,1,1,1,0,0,29,2024-07-13 02:52:09
12247,2024,PAR.1,5583,82670,9,4,2,9,0,1,0,0,0,8,16,2,0,0,9,2024-12-11 05:48:47
12247,2024,PAR.1,4820,83056,7,0,3,5,1,1,0,0,0,0,2,0,0,0,8,2024-12-26 05:46:28
12247,2024,PAR.1,6097,83659,12,1,16,10,2,0,0,0,0,2,8,0,0,0,9,2024-12-11 05:48:44
12247,2024,PAR.1,6097,84273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-12-11 05:48:44
12247,2024,PAR.1,7465,84295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-19 05:36:56
12247,2024,PAR.1,5584,87314,8,2,11,7,0,0,0,0,0,5,10,1,0,0,0,2024-12-11 05:48:46
12247,2024,PAR.1,5583,87315,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,2024-07-19 05:36:56
12247,2024,PAR.1,7465,92848,5,0,1,0,1,0,0,0,0,1,1,0,0,0,4,2024-12-26 05:46:27
12247,2024,PAR.1,2670,93274,13,0,3,5,0,0,0,0,0,1,7,0,0,0,15,2024-12-11 05:48:45
12247,2024,PAR.1,7385,93507,12,1,12,14,3,0,0,1,0,1,5,0,0,0,8,2024-12-11 05:48:45
12247,2024,PAR.1,20292,93591,13,7,0,0,2,0,0,0,0,0,0,0,0,0,12,2024-07-13 02:52:09
12247,2024,PAR.1,4820,95633,8,2,11,1,1,0,0,0,0,2,8,1,0,0,8,2024-12-26 05:46:28
12247,2024,PAR.1,7465,96591,9,8,5,11,0,0,0,1,0,2,6,0,0,0,4,2024-12-26 05:46:27
12247,2024,PAR.1,4820,98497,8,1,5,5,3,0,0,0,0,0,1,0,0,0,6,2024-12-26 05:46:28
12247,2024,PAR.1,5583,100627,13,0,1,1,2,0,0,0,0,0,0,0,0,43,24,2024-12-11 05:48:47
12247,2024,PAR.1,4820,101536,3,2,4,0,1,0,0,0,0,1,2,0,0,0,2,2024-12-26 05:46:28
12247,2024,PAR.1,5584,102495,14,6,0,0,3,0,0,0,0,0,0,0,0,0,15,2024-07-04 02:54:11
12247,2024,PAR.1,7465,102495,5,0,8,0,1,1,0,0,0,0,2,0,0,0,6,2024-12-26 05:46:27
12247,2024,PAR.1,2670,108226,9,5,5,1,0,1,0,1,0,6,12,2,0,0,5,2024-12-11 05:48:45
