seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12761,2024,POR.1,21610,28261,2,0,0,1,0,0,0,0,0,0,0,0,26,4,1,2025-02-20 05:44:34
12761,2024,POR.1,21581,46976,1,0,1,0,0,1,0,0,1,0,0,0,6,1,1,2025-02-20 05:44:34
12761,2024,POR.1,2994,50959,11,3,16,8,2,0,0,0,1,1,7,1,0,2,9,2025-02-20 05:44:33
12761,2024,POR.1,20740,52727,3,3,4,0,0,0,0,0,0,2,5,0,0,0,3,2025-02-20 05:44:37
12761,2024,POR.1,21610,67716,9,5,5,14,3,0,0,0,2,1,5,1,0,2,10,2024-12-07 06:00:38
12761,2024,POR.1,12698,71067,16,13,2,7,0,0,0,2,0,5,11,2,0,0,8,2025-02-13 05:45:50
12761,2024,POR.1,3699,77266,21,9,15,17,2,1,0,2,1,5,18,3,0,1,15,2025-02-20 05:44:36
12761,2024,POR.1,5309,82009,16,13,9,11,0,0,0,1,2,6,23,2,0,1,3,2025-02-20 05:44:36
12761,2024,POR.1,22064,82720,20,0,12,11,5,0,0,1,2,2,7,1,0,8,29,2025-02-20 05:44:32
12761,2024,POR.1,437,88865,15,5,18,17,4,0,0,3,1,5,24,1,0,2,8,2025-02-20 05:44:35
12761,2024,POR.1,2994,92335,10,0,12,3,2,0,0,0,0,3,10,1,0,9,8,2025-02-20 05:44:33
12761,2024,POR.1,15784,92994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-20 05:44:32
12761,2024,POR.1,3696,98407,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2024-09-01 04:55:15
12761,2024,POR.1,2994,98573,20,10,14,21,4,0,0,2,2,13,22,3,0,0,14,2025-02-20 05:44:33
12761,2024,POR.1,437,102368,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-16 08:45:19
12761,2024,POR.1,21581,104172,16,1,9,6,3,0,0,0,1,2,6,0,0,14,18,2025-02-20 05:44:34
12761,2024,POR.1,12698,105237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-20 05:44:35
12761,2024,POR.1,20995,105756,15,4,22,8,7,0,0,0,4,0,1,0,0,4,8,2024-07-13 02:50:09
12761,2024,POR.1,12705,107995,30,6,24,25,8,0,0,1,1,10,34,3,0,10,52,2024-07-13 02:50:06
12761,2024,POR.1,1929,108223,18,3,11,22,4,0,0,3,6,15,52,7,0,0,13,2025-02-20 05:44:33
12761,2024,POR.1,20740,116745,16,5,17,24,2,0,0,0,2,1,4,0,0,3,12,2025-02-20 05:44:37
12761,2024,POR.1,1929,119289,19,1,13,10,2,0,0,2,3,9,21,3,0,10,15,2025-02-20 05:44:33
12761,2024,POR.1,15784,119440,20,1,32,20,7,0,0,0,2,2,9,1,0,5,23,2025-02-20 05:44:32
12761,2024,POR.1,12705,123865,32,0,18,32,2,0,0,0,0,27,69,14,0,4,60,2024-07-13 02:50:06
12761,2024,POR.1,5309,123988,6,1,3,1,0,0,0,0,0,0,1,0,0,1,7,2025-02-01 14:45:02
12761,2024,POR.1,3472,124019,9,8,4,4,0,0,0,0,0,1,2,1,0,2,5,2025-02-20 05:44:34
12761,2024,POR.1,22064,124021,12,7,12,10,2,0,0,1,0,5,24,2,0,0,6,2025-02-20 05:44:32
12761,2024,POR.1,12705,124085,27,0,25,23,8,0,0,0,5,0,6,0,0,15,40,2024-07-13 02:50:06
12761,2024,POR.1,21610,124161,9,1,6,12,2,0,0,0,2,0,2,0,0,8,9,2025-02-20 05:44:34
12761,2024,POR.1,2250,124204,7,3,3,3,0,0,0,0,0,1,7,0,0,0,0,2025-02-20 05:44:37
12761,2024,POR.1,15784,124228,14,8,10,4,3,0,0,0,1,1,8,0,0,4,13,2025-02-20 05:44:32
12761,2024,POR.1,12216,127479,8,4,14,0,4,0,0,0,1,0,0,0,0,6,5,2025-02-20 05:44:34
12761,2024,POR.1,5309,127575,19,6,24,28,4,0,0,3,0,7,25,3,0,1,11,2025-02-20 05:44:36
12761,2024,POR.1,22064,137038,12,0,0,1,2,0,0,0,1,0,0,0,147,34,19,2025-02-20 05:44:32
12761,2024,POR.1,3719,137337,32,0,36,42,11,0,1,6,5,24,82,10,0,3,60,2024-07-13 02:50:07
12761,2024,POR.1,22064,138975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-20 05:44:32
12761,2024,POR.1,437,139008,16,8,17,14,5,0,0,3,2,1,11,0,0,0,10,2025-02-20 05:44:35
12761,2024,POR.1,21610,139023,17,3,12,17,2,0,0,1,3,1,3,0,0,7,21,2025-02-20 05:44:34
12761,2024,POR.1,3696,140009,18,10,14,30,1,0,0,1,2,5,17,3,0,1,13,2025-01-29 14:43:43
12761,2024,POR.1,22064,140164,9,4,6,3,2,1,0,0,0,1,8,0,0,4,8,2025-02-20 05:44:32
12761,2024,POR.1,12216,141624,21,0,0,2,3,0,0,0,1,0,0,0,257,69,30,2025-02-20 05:44:34
12761,2024,POR.1,437,142670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-20 05:44:35
12761,2024,POR.1,3696,144905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-20 05:44:36
12761,2024,POR.1,2256,146519,1,1,2,0,0,0,0,0,0,0,2,0,0,0,1,2025-02-20 05:44:33
12761,2024,POR.1,22064,148151,13,6,3,10,0,0,0,0,0,2,11,0,0,2,8,2025-02-20 05:44:32
12761,2024,POR.1,21581,149660,19,10,9,9,2,0,0,1,3,1,3,0,0,3,11,2025-02-20 05:44:34
12761,2024,POR.1,2994,151272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-20 05:44:33
12761,2024,POR.1,20740,151321,13,5,13,22,1,0,0,0,2,4,14,2,0,1,16,2025-02-20 05:44:37
12761,2024,POR.1,2256,152582,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,2025-02-20 05:44:33
12761,2024,POR.1,21610,154912,17,7,16,21,6,0,0,2,2,1,13,0,0,1,9,2025-02-20 05:44:34
12761,2024,POR.1,2256,156818,19,3,13,38,5,2,0,0,3,3,8,0,0,7,30,2025-02-20 05:44:33
12761,2024,POR.1,2256,157206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-20 05:44:33
12761,2024,POR.1,21581,158004,5,2,1,1,1,0,0,0,0,1,6,1,0,1,6,2025-01-09 05:40:54
12761,2024,POR.1,3822,158104,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,2025-02-20 05:44:37
12761,2024,POR.1,3699,158120,21,0,9,8,3,1,0,1,1,4,15,1,0,14,31,2025-02-20 05:44:36
12761,2024,POR.1,2994,158174,17,0,0,5,1,0,0,0,0,0,0,0,162,49,18,2025-02-06 05:41:44
12761,2024,POR.1,3696,158211,1,0,0,1,0,0,0,0,0,0,0,0,13,5,2,2025-02-20 05:44:36
12761,2024,POR.1,3719,159332,20,0,0,2,1,0,1,0,3,1,1,0,239,61,36,2024-07-13 02:50:07
12761,2024,POR.1,3719,159754,26,3,37,13,11,0,0,2,3,6,15,1,0,4,31,2024-07-13 02:50:07
12761,2024,POR.1,15784,163796,1,0,1,0,0,0,0,0,0,0,0,0,0,2,3,2025-02-20 05:44:32
12761,2024,POR.1,20995,164386,7,7,0,0,0,0,0,0,0,1,1,0,0,0,2,2024-07-13 02:50:09
12761,2024,POR.1,2256,165083,21,1,19,34,5,0,0,1,9,5,27,1,0,1,30,2025-02-20 05:44:33
12761,2024,POR.1,3472,165576,9,9,8,3,3,0,0,0,0,0,0,0,0,2,5,2025-02-20 05:44:34
12761,2024,POR.1,5309,165799,22,0,0,7,3,0,0,0,2,0,1,0,168,38,25,2025-02-20 05:44:36
12761,2024,POR.1,2250,169400,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-20 05:44:37
12761,2024,POR.1,1929,169402,2,0,1,2,1,0,0,0,0,2,2,0,0,0,2,2024-09-05 04:54:15
12761,2024,POR.1,20740,169992,16,2,27,4,7,0,0,0,4,1,8,1,0,6,14,2025-02-20 05:44:37
12761,2024,POR.1,22064,170646,21,2,18,27,3,0,0,2,1,4,20,0,0,2,27,2025-02-20 05:44:32
12761,2024,POR.1,1929,170755,2,1,1,4,0,0,0,0,0,1,3,0,0,0,1,2025-02-20 05:44:33
12761,2024,POR.1,3472,173228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-20 05:44:34
12761,2024,POR.1,20740,174288,20,0,47,8,7,1,0,0,3,5,24,1,0,20,27,2025-02-20 05:44:37
12761,2024,POR.1,22064,175220,8,6,0,1,1,0,0,0,0,0,4,0,0,2,7,2025-01-07 05:37:03
12761,2024,POR.1,20740,176423,2,0,1,1,1,0,0,0,2,1,3,0,0,0,1,2025-02-20 05:44:37
12761,2024,POR.1,2256,177456,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,2025-02-20 05:44:33
12761,2024,POR.1,12705,177456,20,5,15,5,4,1,0,0,7,4,15,1,0,16,42,2024-07-13 02:50:06
12761,2024,POR.1,3696,177563,21,0,27,17,5,0,0,0,1,1,4,0,0,27,31,2025-02-20 05:44:36
12761,2024,POR.1,20740,177746,15,3,17,28,1,0,0,2,1,5,10,2,0,1,9,2025-02-20 05:44:37
12761,2024,POR.1,12705,177791,23,4,25,37,6,1,0,1,3,6,20,1,0,0,37,2024-07-13 02:50:06
12761,2024,POR.1,2250,177898,5,0,0,1,1,0,1,0,0,1,1,0,40,9,3,2025-02-20 05:44:37
12761,2024,POR.1,12215,177918,18,4,7,1,2,0,0,0,1,2,5,0,0,2,15,2025-02-20 05:44:37
12761,2024,POR.1,3822,180051,9,9,3,1,2,0,0,0,0,3,4,1,0,0,2,2025-01-15 05:30:37
12761,2024,POR.1,2256,180587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-20 05:44:33
12761,2024,POR.1,5309,180698,13,2,7,7,5,0,0,0,2,2,6,0,0,2,10,2025-02-20 05:44:36
12761,2024,POR.1,12215,181290,19,0,25,9,6,0,0,0,3,2,9,0,0,13,20,2025-02-20 05:44:37
12761,2024,POR.1,437,181757,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2024-08-28 04:50:12
12761,2024,POR.1,3699,181862,14,3,7,7,2,0,0,0,4,2,5,1,0,11,13,2025-02-20 05:44:36
12761,2024,POR.1,3699,183070,12,1,10,6,0,0,0,1,0,0,5,0,0,14,20,2025-02-20 05:44:36
12761,2024,POR.1,1929,183640,19,5,10,16,1,0,0,5,7,15,48,8,0,1,13,2025-02-20 05:44:33
12761,2024,POR.1,2994,183640,17,4,8,12,1,0,0,5,6,14,42,7,0,1,12,2025-02-03 14:45:32
12761,2024,POR.1,20740,183972,12,8,4,7,2,0,0,0,0,0,5,0,0,1,7,2025-02-20 05:44:37
12761,2024,POR.1,3822,184036,18,0,16,4,3,0,2,0,7,4,14,0,0,13,28,2025-01-23 05:32:20
