seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12726,2024,SCO.4,416,4903,22,2,19,22,8,0,0,0,0,8,12,3,0,0,26,2025-02-22 05:47:19
12726,2024,SCO.4,255,5664,15,4,8,5,1,0,0,0,2,1,2,1,0,0,24,2024-07-11 03:03:32
12726,2024,SCO.4,405,6965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:56:56
12726,2024,SCO.4,407,7017,36,8,27,42,1,0,0,5,6,18,39,5,0,0,43,2024-07-11 03:03:35
12726,2024,SCO.4,419,7257,23,0,29,32,6,0,0,4,0,10,28,3,0,0,22,2025-02-22 05:47:18
12726,2024,SCO.4,421,9599,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:47:18
12726,2024,SCO.4,405,12821,26,14,13,26,8,1,0,2,2,9,16,2,0,0,10,2024-07-13 02:56:56
12726,2024,SCO.4,405,13199,34,2,42,33,4,1,0,4,2,7,30,1,0,0,24,2024-07-13 02:56:56
12726,2024,SCO.4,408,16106,23,0,2,0,3,0,0,1,0,1,2,0,0,49,34,2025-02-22 05:47:19
12726,2024,SCO.4,421,16812,4,0,0,1,0,0,0,0,0,0,0,0,0,10,0,2025-02-22 05:47:18
12726,2024,SCO.4,10605,18784,22,2,34,21,8,1,0,1,0,2,5,0,0,0,36,2025-02-22 05:47:17
12726,2024,SCO.4,255,23877,10,6,3,2,1,0,0,0,0,0,1,0,0,0,6,2024-07-11 03:03:32
12726,2024,SCO.4,255,24518,25,0,18,17,3,0,0,1,0,3,4,1,0,0,37,2025-02-22 05:47:17
12726,2024,SCO.4,416,26027,15,9,9,2,0,1,0,3,0,2,7,1,0,0,7,2024-07-11 03:03:32
12726,2024,SCO.4,419,26883,27,14,35,11,5,0,0,0,13,10,23,3,0,0,16,2024-07-11 03:03:30
12726,2024,SCO.4,407,27945,13,2,13,6,1,0,0,0,0,0,7,0,0,0,12,2025-02-22 05:47:20
12726,2024,SCO.4,421,30013,23,1,23,33,4,0,0,4,0,23,33,19,0,0,18,2025-02-22 05:47:18
12726,2024,SCO.4,417,32332,23,0,16,21,5,0,1,0,0,2,5,0,0,0,38,2025-02-22 05:47:20
12726,2024,SCO.4,255,33921,4,0,0,1,0,0,0,0,0,0,0,0,0,11,6,2024-07-11 03:03:32
12726,2024,SCO.4,407,34836,5,4,3,2,1,0,0,0,0,0,0,0,0,0,3,2024-12-07 06:03:44
12726,2024,SCO.4,18015,39535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-22 05:47:19
12726,2024,SCO.4,408,39801,6,1,5,4,1,0,0,0,0,1,4,0,0,0,12,2024-07-11 03:03:32
12726,2024,SCO.4,407,40479,24,0,15,31,7,0,0,0,0,4,12,0,0,0,28,2025-02-22 05:47:20
12726,2024,SCO.4,416,40489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-11 03:03:32
12726,2024,SCO.4,415,42211,11,7,6,3,2,0,0,0,0,3,7,1,0,0,7,2024-07-13 02:56:59
12726,2024,SCO.4,405,42871,15,7,16,5,1,0,0,0,0,0,4,0,0,0,15,2024-07-13 02:56:56
12726,2024,SCO.4,416,46740,6,1,3,2,0,0,0,0,0,2,4,2,0,0,3,2025-02-22 05:47:19
12726,2024,SCO.4,405,57725,35,11,8,17,2,1,0,8,4,17,49,5,0,0,22,2024-07-13 02:56:56
12726,2024,SCO.4,417,57725,21,0,19,11,6,0,0,7,0,21,39,9,0,0,36,2025-02-22 05:47:20
12726,2024,SCO.4,416,57727,21,16,18,6,0,0,0,0,0,6,17,4,0,0,5,2025-02-22 05:47:19
12726,2024,SCO.4,416,73650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-11 03:03:32
12726,2024,SCO.4,407,76521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-11 03:03:35
12726,2024,SCO.4,407,77132,12,3,12,6,0,0,0,0,0,1,4,0,0,0,13,2025-02-22 05:47:20
12726,2024,SCO.4,421,84408,18,0,14,10,2,0,0,1,0,2,3,0,0,0,17,2025-02-22 05:47:18
12726,2024,SCO.4,10605,85337,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2025-02-22 05:47:17
12726,2024,SCO.4,419,93369,15,2,11,2,2,0,0,0,1,2,6,0,0,0,18,2024-07-11 03:03:30
