seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12726,2024,SCO.4,416,4903,16,2,17,17,7,0,0,0,0,5,8,1,0,0,16,2025-01-15 05:32:17
12726,2024,SCO.4,255,5664,15,4,8,5,1,0,0,0,2,1,2,1,0,0,24,2024-07-11 03:03:32
12726,2024,SCO.4,405,6965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:56:56
12726,2024,SCO.4,407,7017,36,8,27,42,1,0,0,5,6,18,39,5,0,0,43,2024-07-11 03:03:35
12726,2024,SCO.4,419,7257,18,0,24,24,4,0,0,2,0,6,19,3,0,0,18,2025-01-15 05:32:16
12726,2024,SCO.4,405,12821,26,14,13,26,8,1,0,2,2,9,16,2,0,0,10,2024-07-13 02:56:56
12726,2024,SCO.4,405,13199,34,2,42,33,4,1,0,4,2,7,30,1,0,0,24,2024-07-13 02:56:56
12726,2024,SCO.4,408,16106,19,0,2,0,3,0,0,1,0,1,2,0,0,35,27,2025-01-15 05:32:17
12726,2024,SCO.4,421,16812,4,0,0,1,0,0,0,0,0,0,0,0,0,10,0,2025-01-15 05:32:16
12726,2024,SCO.4,10605,18784,15,1,23,12,7,1,0,0,0,1,3,0,0,0,23,2025-01-15 05:32:15
12726,2024,SCO.4,255,23877,10,6,3,2,1,0,0,0,0,0,1,0,0,0,6,2024-07-11 03:03:32
12726,2024,SCO.4,255,24518,20,0,15,14,3,0,0,0,0,1,2,1,0,0,31,2025-01-15 05:32:15
12726,2024,SCO.4,416,26027,15,9,9,2,0,1,0,3,0,2,7,1,0,0,7,2024-07-11 03:03:32
12726,2024,SCO.4,419,26883,27,14,35,11,5,0,0,0,13,10,23,3,0,0,16,2024-07-11 03:03:30
12726,2024,SCO.4,407,27945,7,2,7,5,0,0,0,0,0,0,4,0,0,0,6,2025-01-15 05:32:18
12726,2024,SCO.4,421,30013,18,1,18,26,3,0,0,2,0,19,26,15,0,0,15,2025-01-15 05:32:16
12726,2024,SCO.4,417,32332,17,0,15,19,4,0,1,0,0,1,2,0,0,0,27,2025-01-15 05:32:18
12726,2024,SCO.4,255,33921,4,0,0,1,0,0,0,0,0,0,0,0,0,11,6,2024-07-11 03:03:32
12726,2024,SCO.4,407,34836,5,4,3,2,1,0,0,0,0,0,0,0,0,0,3,2024-12-07 06:03:44
12726,2024,SCO.4,18015,39535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-15 05:32:18
12726,2024,SCO.4,408,39801,6,1,5,4,1,0,0,0,0,1,4,0,0,0,12,2024-07-11 03:03:32
12726,2024,SCO.4,407,40479,17,0,6,24,5,0,0,0,0,4,10,0,0,0,20,2025-01-15 05:32:18
12726,2024,SCO.4,416,40489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-11 03:03:32
12726,2024,SCO.4,415,42211,11,7,6,3,2,0,0,0,0,3,7,1,0,0,7,2024-07-13 02:56:59
12726,2024,SCO.4,405,42871,15,7,16,5,1,0,0,0,0,0,4,0,0,0,15,2024-07-13 02:56:56
12726,2024,SCO.4,416,46740,6,1,3,2,0,0,0,0,0,2,4,2,0,0,3,2025-01-15 05:32:17
12726,2024,SCO.4,405,57725,35,11,8,17,2,1,0,8,4,17,49,5,0,0,22,2024-07-13 02:56:56
12726,2024,SCO.4,417,57725,15,0,12,9,5,0,0,3,0,17,28,6,0,0,25,2025-01-15 05:32:18
12726,2024,SCO.4,416,57727,16,11,16,6,0,0,0,0,0,5,14,4,0,0,4,2025-01-15 05:32:17
12726,2024,SCO.4,416,73650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-11 03:03:32
12726,2024,SCO.4,407,76521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-11 03:03:35
12726,2024,SCO.4,407,77132,9,1,12,5,0,0,0,0,0,1,3,0,0,0,10,2025-01-15 05:32:18
12726,2024,SCO.4,421,84408,13,0,10,6,2,0,0,1,0,1,2,0,0,0,14,2025-01-15 05:32:16
12726,2024,SCO.4,10605,85337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-15 05:32:15
12726,2024,SCO.4,419,93369,15,2,11,2,2,0,0,0,1,2,6,0,0,0,18,2024-07-11 03:03:30
