seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12606,2024,SCO.CIS,416,4903,3,0,2,2,1,0,0,0,1,2,2,2,0,0,7,2024-07-28 11:10:14
12606,2024,SCO.CIS,255,5664,4,2,0,1,0,0,0,0,0,0,1,0,0,0,9,2024-06-02 03:04:19
12606,2024,SCO.CIS,247,5938,3,1,1,2,0,0,1,1,0,0,3,0,0,0,4,2024-07-28 11:10:20
12606,2024,SCO.CIS,261,5938,4,0,1,2,0,0,0,0,2,0,2,0,0,0,2,2024-06-02 03:04:18
12606,2024,SCO.CIS,414,6213,3,1,0,3,0,0,0,2,0,1,1,0,0,0,4,2024-07-28 11:10:10
12606,2024,SCO.CIS,403,6351,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2024-07-28 11:10:13
12606,2024,SCO.CIS,403,6857,3,0,1,1,0,0,0,0,0,0,0,0,0,0,3,2024-07-28 11:10:13
12606,2024,SCO.CIS,407,7017,4,1,2,4,0,0,0,2,1,1,3,0,0,0,8,2024-06-03 03:00:01
12606,2024,SCO.CIS,7166,7191,4,1,2,6,0,0,0,0,0,0,2,0,0,0,3,2024-07-28 11:10:18
12606,2024,SCO.CIS,419,7257,4,0,7,6,0,0,0,1,0,3,6,1,0,0,8,2024-06-02 03:04:24
12606,2024,SCO.CIS,2613,7257,2,2,0,0,0,0,0,0,0,1,1,0,0,0,2,2024-07-28 11:10:12
12606,2024,SCO.CIS,264,7331,4,0,1,1,0,0,0,0,0,1,1,0,0,0,5,2024-07-28 11:10:22
12606,2024,SCO.CIS,249,7977,3,1,2,1,0,0,0,0,0,0,0,0,0,0,3,2024-07-28 11:10:16
12606,2024,SCO.CIS,405,12821,3,1,3,4,0,0,0,1,3,3,5,2,0,0,5,2024-07-28 11:10:13
12606,2024,SCO.CIS,405,13199,3,0,3,3,0,0,0,0,0,3,4,2,0,0,7,2024-07-28 11:10:13
12606,2024,SCO.CIS,259,15327,5,0,4,3,0,0,0,0,0,1,2,0,0,0,1,2024-06-02 03:04:13
12606,2024,SCO.CIS,408,16106,4,0,0,1,0,0,0,0,0,0,0,0,0,22,4,2024-07-28 11:10:21
12606,2024,SCO.CIS,267,16154,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2024-07-28 11:10:18
12606,2024,SCO.CIS,266,16264,3,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2024-06-02 03:04:14
12606,2024,SCO.CIS,421,16812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-28 11:10:18
12606,2024,SCO.CIS,411,17575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-28 11:10:13
12606,2024,SCO.CIS,264,17902,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2024-07-28 11:10:22
12606,2024,SCO.CIS,10605,18784,3,0,4,2,1,0,0,0,0,1,1,0,0,0,12,2024-07-28 11:10:09
12606,2024,SCO.CIS,17582,21994,4,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2024-06-02 03:04:31
12606,2024,SCO.CIS,413,22029,4,3,1,0,0,0,0,0,0,0,0,0,0,0,5,2024-07-28 11:10:19
12606,2024,SCO.CIS,409,23877,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2024-06-02 03:04:26
12606,2024,SCO.CIS,255,24518,3,0,2,1,1,0,0,0,0,1,1,1,0,0,5,2024-07-28 11:10:10
12606,2024,SCO.CIS,2832,24518,4,0,2,5,1,0,0,0,1,0,0,0,0,0,14,2024-06-03 03:00:10
