seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12665,2024,UEFA.CHAMPIONS_QUAL,576,8759,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2024-08-01 08:40:35
12665,2024,UEFA.CHAMPIONS_QUAL,2790,15605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-01 08:40:25
12665,2024,UEFA.CHAMPIONS_QUAL,2720,22706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-01 08:40:37
12665,2024,UEFA.CHAMPIONS_QUAL,2720,35887,4,1,0,0,1,0,0,0,0,0,0,0,0,0,6,2024-07-19 05:44:39
12665,2024,UEFA.CHAMPIONS_QUAL,22292,36842,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-08-01 08:40:43
12665,2024,UEFA.CHAMPIONS_QUAL,11441,40864,2,0,0,1,0,0,0,0,0,0,0,0,14,6,4,2024-08-01 08:40:29
12665,2024,UEFA.CHAMPIONS_QUAL,22292,44695,2,0,0,0,1,0,0,0,0,0,0,0,0,0,11,2024-08-01 08:40:43
12665,2024,UEFA.CHAMPIONS_QUAL,22292,67726,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2024-08-01 08:40:43
12665,2024,UEFA.CHAMPIONS_QUAL,11505,68802,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2024-08-01 08:40:30
12665,2024,UEFA.CHAMPIONS_QUAL,2790,69553,2,0,1,1,0,0,0,0,1,0,5,0,0,0,2,2024-08-01 08:40:25
12665,2024,UEFA.CHAMPIONS_QUAL,605,73207,3,0,3,1,1,0,0,0,0,2,3,0,0,0,3,2024-07-19 05:44:37
12665,2024,UEFA.CHAMPIONS_QUAL,7759,75126,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2024-08-01 08:40:38
12665,2024,UEFA.CHAMPIONS_QUAL,2720,75987,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2024-08-01 08:40:37
12665,2024,UEFA.CHAMPIONS_QUAL,21004,76743,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-08-01 08:40:31
12665,2024,UEFA.CHAMPIONS_QUAL,521,81706,4,0,0,0,2,0,0,2,0,2,2,2,0,0,3,2024-08-01 08:40:36
12665,2024,UEFA.CHAMPIONS_QUAL,12146,85250,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-08-01 08:40:40
12665,2024,UEFA.CHAMPIONS_QUAL,572,86436,2,0,2,2,0,0,0,0,0,1,5,0,0,0,1,2024-07-19 05:44:32
12665,2024,UEFA.CHAMPIONS_QUAL,605,86532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-01 08:40:32
12665,2024,UEFA.CHAMPIONS_QUAL,20039,89372,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2024-08-01 08:40:39
12665,2024,UEFA.CHAMPIONS_QUAL,541,92842,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2024-08-01 08:40:30
12665,2024,UEFA.CHAMPIONS_QUAL,524,93631,3,1,0,0,1,0,0,0,0,3,3,3,0,0,0,2024-07-19 05:44:32
12665,2024,UEFA.CHAMPIONS_QUAL,502,95102,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2024-08-01 08:40:41
12665,2024,UEFA.CHAMPIONS_QUAL,2497,98161,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2024-08-01 08:40:34
12665,2024,UEFA.CHAMPIONS_QUAL,21526,98328,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2024-08-01 08:40:42
12665,2024,UEFA.CHAMPIONS_QUAL,2790,99632,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-01 08:40:25
12665,2024,UEFA.CHAMPIONS_QUAL,2720,99923,2,1,0,0,1,0,0,0,0,1,1,1,0,0,2,2024-08-01 08:40:37
12665,2024,UEFA.CHAMPIONS_QUAL,502,102150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-01 08:40:41
12665,2024,UEFA.CHAMPIONS_QUAL,436,102337,2,0,1,3,1,0,0,0,0,5,7,4,0,0,3,2024-08-01 08:40:25
12665,2024,UEFA.CHAMPIONS_QUAL,605,107000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-01 08:40:32
12665,2024,UEFA.CHAMPIONS_QUAL,572,109962,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-01 08:40:28
12665,2024,UEFA.CHAMPIONS_QUAL,605,117239,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2024-08-01 08:40:32
12665,2024,UEFA.CHAMPIONS_QUAL,17856,119465,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2024-08-01 08:40:33
12665,2024,UEFA.CHAMPIONS_QUAL,2720,121314,4,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2024-07-19 05:44:39
12665,2024,UEFA.CHAMPIONS_QUAL,2720,121339,4,2,0,0,1,0,0,0,0,1,1,1,0,0,4,2024-07-19 05:44:39
12665,2024,UEFA.CHAMPIONS_QUAL,7759,122307,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2024-08-01 08:40:38
12665,2024,UEFA.CHAMPIONS_QUAL,436,122575,2,0,0,5,1,0,0,2,1,0,1,0,0,0,3,2024-08-01 08:40:25
12665,2024,UEFA.CHAMPIONS_QUAL,502,122667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2024-08-01 08:40:41
12665,2024,UEFA.CHAMPIONS_QUAL,436,124126,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-07-19 05:44:36
12665,2024,UEFA.CHAMPIONS_QUAL,440,124878,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2024-08-01 08:40:27
12665,2024,UEFA.CHAMPIONS_QUAL,13018,126491,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2024-08-01 08:40:32
12665,2024,UEFA.CHAMPIONS_QUAL,605,126845,4,0,5,8,2,0,0,0,0,3,7,1,0,0,6,2024-07-19 05:44:37
12665,2024,UEFA.CHAMPIONS_QUAL,21004,126926,3,0,0,0,1,0,0,0,0,1,1,1,0,0,5,2024-08-01 08:40:31
12665,2024,UEFA.CHAMPIONS_QUAL,22292,127458,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2024-08-01 08:40:43
12665,2024,UEFA.CHAMPIONS_QUAL,7858,127749,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-08-01 08:40:41
12665,2024,UEFA.CHAMPIONS_QUAL,521,127805,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2024-08-01 08:40:36
12665,2024,UEFA.CHAMPIONS_QUAL,436,128643,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-19 05:44:36
12665,2024,UEFA.CHAMPIONS_QUAL,2980,129283,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2024-07-19 05:44:40
12665,2024,UEFA.CHAMPIONS_QUAL,2720,129289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-08-01 08:40:37
12665,2024,UEFA.CHAMPIONS_QUAL,2720,129292,4,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2024-07-19 05:44:39
12665,2024,UEFA.CHAMPIONS_QUAL,572,129715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-19 05:44:32
12665,2024,UEFA.CHAMPIONS_QUAL,2497,129859,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-01 08:40:34
12665,2024,UEFA.CHAMPIONS_QUAL,521,131625,4,0,0,0,0,0,0,0,0,2,2,2,0,0,4,2024-08-01 08:40:36
12665,2024,UEFA.CHAMPIONS_QUAL,2497,132062,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-08-01 08:40:34
12665,2024,UEFA.CHAMPIONS_QUAL,572,133567,4,0,3,6,0,0,0,0,1,3,5,1,0,0,9,2024-07-19 05:44:32
12665,2024,UEFA.CHAMPIONS_QUAL,22292,135147,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2024-08-01 08:40:43
12665,2024,UEFA.CHAMPIONS_QUAL,2720,135579,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2024-08-01 08:40:37
12665,2024,UEFA.CHAMPIONS_QUAL,12146,135711,2,0,0,0,0,0,0,1,0,0,0,0,0,0,6,2024-08-01 08:40:40
12665,2024,UEFA.CHAMPIONS_QUAL,605,135943,4,0,0,0,0,0,0,0,0,0,0,0,0,9,6,2024-07-19 05:44:37
12665,2024,UEFA.CHAMPIONS_QUAL,436,136585,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2024-08-01 08:40:25
12665,2024,UEFA.CHAMPIONS_QUAL,2720,138055,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-08-01 08:40:37
12665,2024,UEFA.CHAMPIONS_QUAL,576,138719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-01 08:40:35
12665,2024,UEFA.CHAMPIONS_QUAL,2720,138802,2,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2024-08-01 08:40:37
12665,2024,UEFA.CHAMPIONS_QUAL,10414,139500,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2024-07-19 05:44:35
12665,2024,UEFA.CHAMPIONS_QUAL,20999,139847,2,0,0,0,0,0,0,0,0,2,2,2,0,0,6,2024-08-01 08:40:38
12665,2024,UEFA.CHAMPIONS_QUAL,13018,140083,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-01 08:40:32
12665,2024,UEFA.CHAMPIONS_QUAL,5807,140195,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2024-08-01 08:40:27
12665,2024,UEFA.CHAMPIONS_QUAL,17856,140295,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2024-08-01 08:40:33
12665,2024,UEFA.CHAMPIONS_QUAL,440,140520,4,4,2,2,3,0,0,0,0,0,1,0,0,0,1,2024-07-19 05:44:34
