seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12526,2024,UEFA.EURO.U19,9779,146679,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2024-07-25 11:13:41
12526,2024,UEFA.EURO.U19,9779,167060,3,0,0,0,0,0,1,0,0,0,0,0,20,8,4,2024-07-25 11:13:41
12526,2024,UEFA.EURO.U19,22256,190007,3,1,3,2,1,0,0,0,0,0,0,0,0,0,5,2024-07-25 11:13:39
12526,2024,UEFA.EURO.U19,22256,229958,3,0,5,5,0,0,0,0,0,0,0,0,0,0,4,2024-07-25 11:13:39
12526,2024,UEFA.EURO.U19,22257,275839,3,0,6,2,2,0,0,0,0,0,1,0,0,0,9,2024-07-25 11:13:40
12526,2024,UEFA.EURO.U19,9779,306516,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2024-07-25 11:13:41
12526,2024,UEFA.EURO.U19,6170,307501,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-25 11:13:41
12526,2024,UEFA.EURO.U19,22256,316819,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2024-07-25 11:13:39
12526,2024,UEFA.EURO.U19,9780,323061,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2024-07-25 11:13:38
12526,2024,UEFA.EURO.U19,19232,325012,3,0,3,7,1,0,0,0,0,0,5,0,0,1,2,2024-07-25 11:13:38
12526,2024,UEFA.EURO.U19,19232,328499,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2,2024-07-25 11:13:38
12526,2024,UEFA.EURO.U19,22257,330039,2,0,0,2,0,0,0,0,0,0,0,0,9,10,6,2024-07-25 11:13:40
12526,2024,UEFA.EURO.U19,9779,330242,3,0,8,4,0,0,0,0,0,1,9,1,0,1,3,2024-07-25 11:13:41
12526,2024,UEFA.EURO.U19,22257,330453,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2024-07-25 11:13:40
12526,2024,UEFA.EURO.U19,6930,331084,3,0,4,4,0,0,0,1,0,0,2,0,0,0,5,2024-07-25 11:13:41
12526,2024,UEFA.EURO.U19,19232,331109,3,2,1,1,0,0,0,0,0,0,0,0,0,0,2,2024-07-25 11:13:38
12526,2024,UEFA.EURO.U19,19232,332568,3,1,6,2,0,0,0,0,0,0,2,0,0,0,0,2024-07-25 11:13:38
12526,2024,UEFA.EURO.U19,19232,333793,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2024-07-25 11:13:38
12526,2024,UEFA.EURO.U19,19232,334075,3,1,8,7,0,0,0,0,0,0,4,0,0,0,0,2024-07-25 11:13:38
12526,2024,UEFA.EURO.U19,22257,336483,3,1,6,3,0,0,0,0,0,3,3,2,0,0,7,2024-07-25 11:13:40
12526,2024,UEFA.EURO.U19,6170,337078,3,0,1,2,0,0,0,0,0,1,1,1,0,2,6,2024-07-25 11:13:41
12526,2024,UEFA.EURO.U19,6170,340184,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2024-07-25 11:13:41
12526,2024,UEFA.EURO.U19,9780,340684,3,1,2,2,0,0,0,2,1,2,9,0,0,0,2,2024-07-25 11:13:38
12526,2024,UEFA.EURO.U19,19232,341307,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2024-07-25 11:13:38
12526,2024,UEFA.EURO.U19,19232,341309,3,2,3,0,0,0,0,0,0,0,4,0,0,0,0,2024-07-25 11:13:38
12526,2024,UEFA.EURO.U19,22256,342623,1,0,1,1,1,0,0,0,0,0,2,0,0,1,0,2024-07-25 11:13:39
12526,2024,UEFA.EURO.U19,19232,343349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-25 11:13:38
12526,2024,UEFA.EURO.U19,22257,344870,3,0,2,1,0,0,0,3,0,2,7,0,0,0,7,2024-07-25 11:13:40
12526,2024,UEFA.EURO.U19,6170,345238,3,0,1,6,0,0,0,0,0,0,0,0,0,0,6,2024-07-25 11:13:41
12526,2024,UEFA.EURO.U19,22257,345568,3,0,11,4,0,0,0,0,0,4,8,1,0,0,9,2024-07-25 11:13:40
12526,2024,UEFA.EURO.U19,9780,345637,3,1,4,1,0,0,0,0,1,0,3,0,0,0,1,2024-07-25 11:13:38
12526,2024,UEFA.EURO.U19,6930,345688,3,1,3,4,0,0,0,0,0,0,0,0,0,0,5,2024-07-25 11:13:41
12526,2024,UEFA.EURO.U19,6930,346520,2,0,4,5,1,0,0,0,0,2,3,0,0,0,1,2024-07-25 11:13:41
