seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12946,2024,UEFA.WCHAMPIONS,19970,119954,6,3,4,2,0,0,0,0,4,1,2,1,0,1,3,2025-01-17 05:48:19
12946,2024,UEFA.WCHAMPIONS,20836,122525,4,0,4,1,1,0,0,0,0,1,2,1,0,3,9,2025-01-17 05:48:23
12946,2024,UEFA.WCHAMPIONS,19970,134349,2,1,1,0,0,0,0,0,0,1,1,1,0,0,0,2024-09-29 05:04:29
12946,2024,UEFA.WCHAMPIONS,21685,144829,6,0,7,2,0,0,0,0,1,0,4,0,0,6,13,2025-01-17 05:48:22
12946,2024,UEFA.WCHAMPIONS,19973,158678,6,0,9,7,2,0,0,3,3,3,5,2,0,0,7,2025-01-17 05:48:18
12946,2024,UEFA.WCHAMPIONS,19970,158683,4,0,0,1,0,0,0,1,2,8,10,5,0,0,4,2024-09-29 05:04:29
12946,2024,UEFA.WCHAMPIONS,20107,158735,5,0,4,5,0,0,0,3,2,7,25,4,0,3,5,2025-01-17 05:48:23
12946,2024,UEFA.WCHAMPIONS,21685,158759,4,1,1,5,0,0,0,1,2,4,12,1,0,1,4,2025-01-17 05:48:22
12946,2024,UEFA.WCHAMPIONS,20103,158762,5,3,3,0,0,0,0,0,0,0,0,0,0,1,2,2025-01-17 05:48:18
12946,2024,UEFA.WCHAMPIONS,19256,158816,6,0,2,1,0,0,0,0,1,3,7,3,0,2,1,2025-01-17 05:48:21
12946,2024,UEFA.WCHAMPIONS,19256,158820,5,5,1,0,0,0,0,0,0,2,4,2,0,0,0,2025-01-17 05:48:21
12946,2024,UEFA.WCHAMPIONS,22406,158882,6,0,4,8,1,0,0,0,4,0,1,0,0,0,19,2025-01-17 05:48:20
12946,2024,UEFA.WCHAMPIONS,19973,176041,5,0,5,3,0,0,0,0,1,1,1,0,0,3,8,2025-01-17 05:48:18
12946,2024,UEFA.WCHAMPIONS,20107,188013,6,0,5,6,1,0,0,2,0,5,12,0,0,0,4,2025-01-17 05:48:23
12946,2024,UEFA.WCHAMPIONS,19256,188014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-17 05:48:21
12946,2024,UEFA.WCHAMPIONS,19256,188067,3,1,2,0,0,0,0,0,1,2,8,1,0,0,0,2025-01-17 05:48:21
12946,2024,UEFA.WCHAMPIONS,19970,188395,4,0,8,1,0,0,0,0,0,0,0,0,0,0,3,2024-09-29 05:04:29
12946,2024,UEFA.WCHAMPIONS,21128,188395,5,0,3,4,0,0,0,1,0,1,5,0,0,0,7,2025-01-17 05:48:22
12946,2024,UEFA.WCHAMPIONS,19970,188448,4,1,1,3,0,0,0,0,2,1,2,1,0,2,3,2025-01-17 05:48:19
12946,2024,UEFA.WCHAMPIONS,19257,204659,5,0,1,4,0,0,0,0,1,1,2,0,0,2,3,2025-01-17 05:48:22
12946,2024,UEFA.WCHAMPIONS,19256,209687,5,0,4,2,1,0,0,1,1,2,5,2,0,7,1,2025-01-17 05:48:21
12946,2024,UEFA.WCHAMPIONS,19970,209937,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2025-01-17 05:48:19
12946,2024,UEFA.WCHAMPIONS,20103,212437,6,0,5,7,0,0,0,0,1,1,6,1,0,2,5,2025-01-17 05:48:18
12946,2024,UEFA.WCHAMPIONS,19973,219079,6,0,4,0,1,0,0,2,2,0,3,0,0,0,6,2025-01-17 05:48:18
12946,2024,UEFA.WCHAMPIONS,19256,219116,4,4,1,0,0,0,0,2,1,0,4,0,0,0,0,2025-01-17 05:48:21
12946,2024,UEFA.WCHAMPIONS,19256,219121,6,1,4,5,0,0,0,2,0,9,20,4,0,1,1,2025-01-17 05:48:21
12946,2024,UEFA.WCHAMPIONS,19970,219773,7,2,0,1,0,0,0,0,2,1,3,1,0,0,3,2024-09-29 05:04:29
12946,2024,UEFA.WCHAMPIONS,19256,219775,5,0,2,0,1,0,0,0,4,2,9,0,0,0,1,2025-01-17 05:48:21
12946,2024,UEFA.WCHAMPIONS,19257,219819,6,1,2,3,1,0,0,0,0,1,2,1,0,4,6,2025-01-17 05:48:22
12946,2024,UEFA.WCHAMPIONS,19973,219822,5,2,1,0,1,0,0,0,2,1,2,0,0,1,5,2025-01-17 05:48:18
12946,2024,UEFA.WCHAMPIONS,19256,219938,6,5,6,2,0,0,0,0,2,1,1,1,0,2,0,2025-01-17 05:48:21
12946,2024,UEFA.WCHAMPIONS,19257,219945,1,0,1,0,0,0,0,0,1,0,3,0,0,1,0,2025-01-17 05:48:22
12946,2024,UEFA.WCHAMPIONS,19256,219946,6,3,2,1,0,0,0,1,0,5,11,2,0,0,0,2025-01-17 05:48:21
12946,2024,UEFA.WCHAMPIONS,19257,219951,4,3,1,1,0,0,0,0,1,0,2,0,0,0,3,2025-01-17 05:48:22
12946,2024,UEFA.WCHAMPIONS,20091,219989,4,2,0,0,0,0,0,0,0,1,5,0,0,0,1,2025-01-17 05:48:18
12946,2024,UEFA.WCHAMPIONS,20091,219995,5,2,1,5,1,0,0,0,3,4,12,3,0,0,3,2025-01-17 05:48:18
12946,2024,UEFA.WCHAMPIONS,20091,219998,5,3,2,2,0,0,0,0,1,0,1,0,0,1,0,2025-01-17 05:48:18
12946,2024,UEFA.WCHAMPIONS,19973,220015,4,0,3,6,0,0,0,0,1,0,0,0,0,0,5,2025-01-17 05:48:18
12946,2024,UEFA.WCHAMPIONS,21685,220028,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2025-01-17 05:48:22
12946,2024,UEFA.WCHAMPIONS,19257,223470,3,0,0,0,0,0,0,0,0,0,0,0,23,7,0,2025-01-17 05:48:22
12946,2024,UEFA.WCHAMPIONS,22407,225671,5,0,0,0,0,0,0,0,0,0,0,0,94,28,14,2025-01-17 05:48:19
12946,2024,UEFA.WCHAMPIONS,19256,228716,6,1,4,4,0,0,0,1,1,3,15,1,0,0,1,2025-01-17 05:48:21
12946,2024,UEFA.WCHAMPIONS,19257,229456,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-17 05:48:22
12946,2024,UEFA.WCHAMPIONS,22408,230864,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2,2025-01-17 05:48:21
12946,2024,UEFA.WCHAMPIONS,22406,230866,3,0,0,1,0,0,1,0,2,2,2,0,0,3,15,2025-01-17 05:48:20
12946,2024,UEFA.WCHAMPIONS,20107,234766,5,1,3,1,0,0,0,0,0,1,2,0,0,1,3,2025-01-17 05:48:23
12946,2024,UEFA.WCHAMPIONS,19256,236710,6,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2025-01-17 05:48:21
12946,2024,UEFA.WCHAMPIONS,19973,240274,6,3,3,3,0,0,0,1,0,4,7,1,0,0,5,2025-01-17 05:48:18
12946,2024,UEFA.WCHAMPIONS,22408,240275,6,0,4,2,2,0,0,1,6,0,1,0,0,4,15,2025-01-17 05:48:21
12946,2024,UEFA.WCHAMPIONS,20103,240276,2,0,2,3,0,0,0,0,1,2,3,2,0,1,2,2025-01-17 05:48:18
12946,2024,UEFA.WCHAMPIONS,20091,240277,4,1,1,2,0,0,0,0,0,1,3,1,0,0,1,2025-01-17 05:48:18
12946,2024,UEFA.WCHAMPIONS,21685,242809,3,1,1,0,0,0,0,0,0,1,4,0,0,0,4,2025-01-17 05:48:22
12946,2024,UEFA.WCHAMPIONS,20107,246056,5,2,2,3,0,0,0,0,0,5,16,1,0,0,4,2025-01-17 05:48:23
12946,2024,UEFA.WCHAMPIONS,22407,246583,3,3,2,0,0,0,0,0,0,1,1,0,0,0,2,2025-01-17 05:48:19
12946,2024,UEFA.WCHAMPIONS,20092,246849,6,0,3,2,0,0,0,0,0,0,1,0,0,4,8,2025-01-17 05:48:21
12946,2024,UEFA.WCHAMPIONS,19970,248770,4,0,2,1,0,0,0,0,2,0,2,0,0,0,4,2025-01-17 05:48:19
12946,2024,UEFA.WCHAMPIONS,21128,248832,4,1,2,1,0,0,0,0,0,0,3,0,0,0,4,2025-01-17 05:48:22
12946,2024,UEFA.WCHAMPIONS,19970,248834,4,1,2,0,0,0,0,0,0,3,3,2,0,0,3,2025-01-17 05:48:19
12946,2024,UEFA.WCHAMPIONS,19257,249105,5,0,2,5,0,0,0,1,0,1,4,0,0,1,6,2025-01-17 05:48:22
12946,2024,UEFA.WCHAMPIONS,19973,252339,2,0,0,0,0,0,0,0,0,0,0,0,18,8,6,2025-01-17 05:48:18
12946,2024,UEFA.WCHAMPIONS,21685,252347,2,1,1,0,0,0,0,2,3,1,4,0,0,0,1,2025-01-17 05:48:22
12946,2024,UEFA.WCHAMPIONS,20103,252353,4,1,5,0,0,0,0,1,0,2,2,0,0,2,2,2025-01-17 05:48:18
12946,2024,UEFA.WCHAMPIONS,20103,252362,6,1,0,1,0,0,0,0,1,1,1,0,0,1,5,2025-01-17 05:48:18
