seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12296,2024,USA.USL.1,18446,5926,32,0,1,9,2,0,0,0,2,0,0,0,391,93,48,2024-10-08 04:49:17
12296,2024,USA.USL.1,19410,17759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-29 05:06:26
12296,2024,USA.USL.1,18446,24020,33,3,63,47,10,0,0,2,2,10,24,2,0,2,40,2024-10-29 05:06:24
12296,2024,USA.USL.1,17361,29517,11,9,4,6,1,0,0,0,0,3,6,1,0,0,7,2024-10-29 05:06:31
12296,2024,USA.USL.1,20300,29517,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,2024-07-13 02:48:01
12296,2024,USA.USL.1,17360,34394,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-12 02:21:40
12296,2024,USA.USL.1,18159,34394,27,11,22,20,3,0,0,2,2,5,14,1,0,0,43,2024-10-29 05:06:27
12296,2024,USA.USL.1,9729,34792,30,27,18,5,4,0,0,2,0,3,5,1,0,0,12,2024-10-29 05:06:23
12296,2024,USA.USL.1,22164,45702,34,3,35,46,6,0,0,3,5,10,44,3,0,1,28,2024-10-29 05:06:30
12296,2024,USA.USL.1,18452,66671,21,9,17,12,4,0,0,0,2,3,10,1,0,1,13,2024-07-13 02:48:00
12296,2024,USA.USL.1,21370,74290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-08 03:16:18
12296,2024,USA.USL.1,21370,77002,9,0,0,1,0,1,0,0,0,0,0,0,0,36,9,2024-10-29 05:06:27
12296,2024,USA.USL.1,17830,81788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-29 05:06:23
12296,2024,USA.USL.1,18265,92410,7,3,11,10,3,0,0,0,0,0,6,0,0,0,6,2024-10-29 05:06:31
12296,2024,USA.USL.1,19405,93084,2,0,0,0,0,0,0,0,1,0,0,0,10,3,3,2024-05-23 03:03:32
12296,2024,USA.USL.1,19407,101127,1,0,4,1,1,0,0,0,0,0,1,0,0,0,1,2024-10-08 04:49:16
12296,2024,USA.USL.1,17850,102091,29,15,25,35,6,0,0,3,4,5,20,0,0,1,14,2024-10-29 05:06:29
12296,2024,USA.USL.1,17828,103806,9,2,6,17,2,0,0,1,1,4,12,2,0,1,4,2024-10-29 05:06:31
12296,2024,USA.USL.1,19179,104223,30,9,24,55,3,0,0,1,0,14,32,3,0,1,16,2024-10-29 05:06:23
12296,2024,USA.USL.1,17828,108222,34,3,54,20,10,0,0,2,1,9,37,1,0,3,28,2024-10-29 05:06:31
12296,2024,USA.USL.1,19179,111864,33,3,37,46,6,0,0,5,0,19,39,10,0,1,24,2024-10-29 05:06:23
12296,2024,USA.USL.1,9729,113439,32,2,31,19,5,1,0,4,2,5,29,0,0,3,32,2024-10-29 05:06:23
12296,2024,USA.USL.1,19408,120224,22,3,5,19,1,0,0,2,1,7,11,3,0,1,22,2024-10-29 05:06:28
12296,2024,USA.USL.1,17361,120602,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-08 04:49:13
12296,2024,USA.USL.1,18452,120617,24,2,45,20,5,1,0,1,5,7,24,1,0,9,32,2024-07-13 02:48:00
12296,2024,USA.USL.1,19179,123674,34,4,21,17,0,0,0,4,1,17,58,10,0,1,26,2024-10-29 05:06:23
12296,2024,USA.USL.1,19407,125759,6,4,1,1,1,0,0,0,1,0,0,0,0,0,4,2024-10-29 05:06:24
12296,2024,USA.USL.1,17827,126416,32,1,37,33,4,0,0,2,4,9,47,4,0,3,25,2024-10-29 05:06:30
12296,2024,USA.USL.1,18265,129084,17,3,28,18,3,0,0,1,0,13,31,6,0,0,20,2024-10-29 05:06:31
12296,2024,USA.USL.1,19407,129084,22,2,25,23,5,0,0,1,3,19,48,9,0,4,31,2024-10-08 04:49:16
12296,2024,USA.USL.1,19411,130499,27,0,0,9,3,1,0,0,2,0,0,0,125,102,32,2024-10-29 05:06:25
12296,2024,USA.USL.1,19179,131007,2,0,1,3,1,0,0,0,0,0,0,0,0,2,4,2024-10-08 04:49:09
12296,2024,USA.USL.1,18452,133649,28,0,0,8,1,0,0,0,4,0,0,0,254,78,37,2024-07-13 02:48:00
