seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12366,2024,ARG.COPA_LPF,10158,2897,7,6,11,3,2,0,0,0,2,0,1,0,0,3,4,2024-07-13 02:55:32
12366,2024,ARG.COPA_LPF,15,3038,14,1,21,8,4,0,0,1,0,14,29,12,0,0,9,2024-07-13 02:55:33
12366,2024,ARG.COPA_LPF,9785,3494,12,1,19,12,3,0,0,0,2,1,3,0,0,2,16,2024-07-13 02:55:34
12366,2024,ARG.COPA_LPF,7764,3518,13,0,10,17,1,1,0,0,1,3,15,0,0,7,13,2024-07-13 02:55:38
12366,2024,ARG.COPA_LPF,17702,35213,8,2,4,2,0,0,0,2,0,0,10,0,0,0,6,2024-07-13 02:55:40
12366,2024,ARG.COPA_LPF,18,40945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:55:32
12366,2024,ARG.COPA_LPF,8950,44391,1,0,0,0,0,0,0,0,0,0,0,0,18,2,2,2024-07-13 02:55:33
12366,2024,ARG.COPA_LPF,10158,51848,8,5,5,3,0,0,0,1,0,0,4,0,0,1,7,2024-07-13 02:55:32
12366,2024,ARG.COPA_LPF,9785,57149,13,5,10,4,2,0,0,0,0,2,15,0,0,1,15,2024-07-13 02:55:34
12366,2024,ARG.COPA_LPF,17702,67312,6,6,5,4,2,0,0,2,0,2,4,0,0,0,1,2024-07-13 02:55:40
12366,2024,ARG.COPA_LPF,17,68093,13,0,0,3,2,0,0,0,0,0,0,0,160,52,16,2024-07-13 02:55:38
12366,2024,ARG.COPA_LPF,10060,68339,9,8,4,3,1,0,0,0,1,0,2,0,0,0,1,2024-07-13 02:55:25
12366,2024,ARG.COPA_LPF,10158,69197,11,5,4,9,0,0,0,0,0,5,9,2,0,0,4,2024-07-13 02:55:32
12366,2024,ARG.COPA_LPF,18,69908,3,2,1,1,0,0,0,0,0,0,0,0,0,0,2,2024-07-13 02:55:32
12366,2024,ARG.COPA_LPF,4,70182,3,1,2,6,1,0,0,0,0,5,8,2,0,0,5,2024-07-13 02:55:39
12366,2024,ARG.COPA_LPF,11,70912,13,7,13,29,2,0,0,0,1,3,20,0,0,2,4,2024-07-13 02:55:26
12366,2024,ARG.COPA_LPF,18,76914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:55:32
12366,2024,ARG.COPA_LPF,20,76915,11,2,6,3,2,0,0,0,0,1,2,0,0,6,9,2024-07-13 02:55:30
12366,2024,ARG.COPA_LPF,2975,77089,11,6,2,7,0,0,0,1,2,1,7,0,0,0,4,2024-07-13 02:55:28
12366,2024,ARG.COPA_LPF,14,82010,14,1,15,8,1,0,0,0,2,14,30,8,0,0,12,2024-07-13 02:55:39
12366,2024,ARG.COPA_LPF,17702,82547,4,2,6,1,0,0,0,0,0,0,0,0,0,1,0,2024-07-13 02:55:40
12366,2024,ARG.COPA_LPF,8950,82782,14,0,9,6,3,0,0,0,1,4,6,3,0,13,14,2024-07-13 02:55:33
12366,2024,ARG.COPA_LPF,2975,83178,11,11,2,6,3,0,0,0,1,5,12,2,0,0,2,2024-07-13 02:55:28
12366,2024,ARG.COPA_LPF,12,84273,14,0,0,1,1,0,0,1,1,0,0,0,147,35,14,2024-07-13 02:55:35
12366,2024,ARG.COPA_LPF,12,84295,10,2,11,7,2,0,0,0,0,0,8,0,0,6,8,2024-07-13 02:55:35
12366,2024,ARG.COPA_LPF,10060,86163,8,8,3,4,0,0,0,0,0,0,1,0,0,3,1,2024-07-13 02:55:25
12366,2024,ARG.COPA_LPF,8,90864,9,9,5,7,1,0,0,3,0,4,7,0,0,2,0,2024-07-13 02:55:29
12366,2024,ARG.COPA_LPF,14,91536,7,6,1,4,1,0,0,0,0,0,0,0,0,1,3,2024-07-13 02:55:39
12366,2024,ARG.COPA_LPF,17702,94544,6,3,7,1,2,0,0,0,0,0,0,0,0,0,4,2024-07-13 02:55:40
12366,2024,ARG.COPA_LPF,19,94976,13,0,15,9,3,0,0,4,2,2,7,1,0,3,14,2024-07-13 02:55:26
12366,2024,ARG.COPA_LPF,8950,95007,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:55:33
12366,2024,ARG.COPA_LPF,5,95469,12,2,14,11,2,0,0,0,0,11,22,7,0,1,10,2024-07-13 02:55:30
12366,2024,ARG.COPA_LPF,9785,96687,13,0,16,8,3,0,0,4,3,7,31,0,0,1,19,2024-07-13 02:55:34
12366,2024,ARG.COPA_LPF,11989,97011,12,5,8,4,3,0,0,0,0,1,3,0,0,5,8,2024-07-13 02:55:31
12366,2024,ARG.COPA_LPF,18,101471,4,0,1,1,0,0,0,0,0,0,3,0,0,3,8,2024-07-13 02:55:32
12366,2024,ARG.COPA_LPF,11,101537,7,3,5,6,1,0,0,0,1,2,7,2,0,0,5,2024-07-13 02:55:26
12366,2024,ARG.COPA_LPF,8,102240,16,3,12,13,1,0,0,2,4,1,12,0,0,1,5,2024-07-13 02:55:29
12366,2024,ARG.COPA_LPF,235,102825,14,0,0,2,0,0,0,0,2,0,0,0,173,44,15,2024-07-13 02:55:37
12366,2024,ARG.COPA_LPF,12,103307,10,9,4,6,2,0,0,2,0,0,9,0,0,1,5,2024-07-13 02:55:35
12366,2024,ARG.COPA_LPF,17,105823,11,1,14,2,3,1,0,0,1,5,10,1,0,8,9,2024-07-13 02:55:38
12366,2024,ARG.COPA_LPF,20,105868,9,4,1,8,0,0,0,0,0,3,11,1,0,1,5,2024-07-13 02:55:30
12366,2024,ARG.COPA_LPF,3,106148,10,3,9,2,2,0,0,0,0,1,2,0,0,3,9,2024-07-13 02:55:25
12366,2024,ARG.COPA_LPF,16,106583,15,3,14,29,4,0,0,6,3,4,14,1,0,3,7,2024-07-13 02:55:29
