seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12915,720908,1,44110526,97,Sasha Grove (Western United) Own Goal at 15',Sasha Grove Own Goal,1,900,15',21133,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,Sasha Grove,2024-11-02 14:41:10
12915,720908,2,44110527,70,Chloe Logarzo (Western United) Goal at 17',Chloe Logarzo Goal,1,1020,17',21666,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,236711.0,Chloe Logarzo,2024-11-02 14:41:10
12915,720908,3,44110528,70,Aimee Medwin (Western United) Goal at 19',Aimee Medwin Goal,1,1140,19',21666,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,293279.0,Aimee Medwin,2024-11-02 14:41:10
12915,720908,4,44110529,70,Kahli Johnson (Western United) Goal at 39',Kahli Johnson Goal,1,2340,39',21666,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,332312.0,Kahli Johnson,2024-11-02 14:41:10
12915,720908,5,44110530,70,Chloe Logarzo (Western United) Goal at 40',Chloe Logarzo Goal,1,2400,40',21666,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,236711.0,Chloe Logarzo,2024-11-05 22:55:06
12915,720908,6,44110532,76,Zoe Mcmeeken (Wellington Phoenix) Substitution at 45',Zoe Mcmeeken Substitution,2,2700,45',21133,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,330653.0,Zoe Mcmeeken,2024-11-02 14:41:10
12915,720908,7,44110533,76,Daisy Brazendale (Wellington Phoenix) Substitution at 45',Daisy Brazendale Substitution,2,2700,45',21133,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,371693.0,Daisy Brazendale,2024-11-02 14:41:10
12915,720908,8,44110534,76,Lara Will (Wellington Phoenix) Substitution at 45',Lara Will Substitution,2,2700,45',21133,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,393518.0,Lara Will,2024-11-02 14:41:10
12915,720908,6,44110532,76,Zoe Mcmeeken (Wellington Phoenix) Substitution at 45',Zoe Mcmeeken Substitution,2,2700,45',21133,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,330654.0,Mackenzie Barry,2024-11-02 14:41:10
12915,720908,7,44110533,76,Daisy Brazendale (Wellington Phoenix) Substitution at 45',Daisy Brazendale Substitution,2,2700,45',21133,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,393519.0,Mebae Tanaka,2024-11-02 14:41:10
12915,720908,8,44110534,76,Lara Will (Wellington Phoenix) Substitution at 45',Lara Will Substitution,2,2700,45',21133,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,300762.0,Tiana Jaber,2024-11-02 14:41:10
12915,720908,9,44110535,76,Melissa Taranto (Western United) Substitution at 56',Melissa Taranto Substitution,2,3360,56',21666,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,353356.0,Melissa Taranto,2024-11-02 14:41:10
12915,720908,10,44110536,76,Sandra Ibarguen (Western United) Substitution at 56',Sandra Ibarguen Substitution,2,3360,56',21666,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,393752.0,Sandra Ibarguen,2024-11-02 14:41:10
12915,720908,9,44110535,76,Melissa Taranto (Western United) Substitution at 56',Melissa Taranto Substitution,2,3360,56',21666,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,353046.0,Emily Roach,2024-11-02 14:41:10
12915,720908,10,44110536,76,Sandra Ibarguen (Western United) Substitution at 56',Sandra Ibarguen Substitution,2,3360,56',21666,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,293279.0,Aimee Medwin,2024-11-02 14:41:10
12915,720908,11,44110538,76,Olivia Ingham (Wellington Phoenix) Substitution at 75',Olivia Ingham Substitution,2,4500,75',21133,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,351932.0,Olivia Ingham,2024-11-02 14:41:10
12915,720908,11,44110538,76,Olivia Ingham (Wellington Phoenix) Substitution at 75',Olivia Ingham Substitution,2,4500,75',21133,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,351926.0,Manaia Elliott,2024-11-02 14:41:10
12915,720908,12,44110540,98,Emma Main (Wellington Phoenix) Penalty - Scored at 82',Emma Main Penalty - Scored,2,4920,82',21133,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,298614.0,Emma Main,2024-11-02 14:41:10
12915,720908,13,44110541,76,Julia Sardo (Western United) Substitution at 83',Julia Sardo Substitution,2,4980,83',21666,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,300571.0,Julia Sardo,2024-11-02 14:41:10
12915,720908,13,44110541,76,Julia Sardo (Western United) Substitution at 83',Julia Sardo Substitution,2,4980,83',21666,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,332312.0,Kahli Johnson,2024-11-02 14:41:10
12915,720908,14,44110542,94,Olivia Ingham (Wellington Phoenix) Yellow Card at 84',Olivia Ingham Yellow Card,2,5040,84',21133,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,351932.0,Olivia Ingham,2024-11-02 14:41:10
12915,720908,15,44110544,76,Avaani Prakash (Western United) Substitution at 92',Avaani Prakash Substitution,2,5400,90'+2',21666,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,376267.0,Avaani Prakash,2024-11-02 14:41:10
12915,720908,15,44110544,76,Avaani Prakash (Western United) Substitution at 92',Avaani Prakash Substitution,2,5400,90'+2',21666,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,312207.0,Catherine Zimmerman,2024-11-02 14:41:10
12915,720909,1,44115001,98,Jade Pennock (Central Coast Mariners) Penalty - Scored at 41',Jade Pennock Penalty - Scored,1,2460,41',21991,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,323320.0,Jade Pennock,2024-11-02 14:41:10
12915,720909,2,44115087,76,Bianca Galic (Central Coast Mariners) Substitution at 45',Bianca Galic Substitution,2,2700,45',21991,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,312234.0,Bianca Galic,2024-11-02 14:41:10
12915,720909,2,44115087,76,Bianca Galic (Central Coast Mariners) Substitution at 45',Bianca Galic Substitution,2,2700,45',21991,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,300578.0,Shadeene Evans,2024-11-02 14:41:10
12915,720909,3,44115153,76,Caley Tallon-Henniker (Sydney FC ) Substitution at 60',Caley Tallon-Henniker Substituti,2,3600,60',20285,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,380543.0,Caley Tallon-Henniker,2024-11-02 14:41:10
12915,720909,4,44115154,76,Madeleine Caspers (Sydney FC ) Substitution at 60',Madeleine Caspers Substitution,2,3600,60',20285,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,377839.0,Madeleine Caspers,2024-11-02 14:41:10
12915,720909,3,44115153,76,Caley Tallon-Henniker (Sydney FC ) Substitution at 60',Caley Tallon-Henniker Substituti,2,3600,60',20285,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,353107.0,Indiana Dos Santos,2024-11-02 14:41:10
12915,720909,4,44115154,76,Madeleine Caspers (Sydney FC ) Substitution at 60',Madeleine Caspers Substitution,2,3600,60',20285,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,334248.0,Shay Hollman,2024-11-02 14:41:10
