seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12226,699730,1,42634836,80,First Half begins.,,1,0,,0,0,0,2024-03-12 10:48:32,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-03-13 05:21:17
12226,699730,2,42634851,66,Germán Cano (Fluminense) wins a free kick in the defensive half.,Erick Pulgar Foul,1,13,1',819,0,0,2024-03-12 10:48:46,0.0,0.0,0.82,0.331,0.0,0.0,202533.0,Erick Pulgar,2024-03-13 05:21:17
12226,699730,2,42634851,66,Germán Cano (Fluminense) wins a free kick in the defensive half.,Erick Pulgar Foul,1,13,1',819,0,0,2024-03-12 10:48:46,0.0,0.0,0.82,0.331,0.0,0.0,,Germán Cano,2024-03-13 05:21:17
12226,699730,3,42634853,66,Pedro (Flamengo) wins a free kick in the defensive half.,Thiago Santos Foul,1,66,2',3445,0,0,2024-03-12 10:48:46,0.0,0.0,0.922,0.526,0.0,0.0,188143.0,Thiago Santos,2024-03-13 05:21:17
12226,699730,3,42634853,66,Pedro (Flamengo) wins a free kick in the defensive half.,Thiago Santos Foul,1,66,2',3445,0,0,2024-03-12 10:48:46,0.0,0.0,0.922,0.526,0.0,0.0,,Pedro,2024-03-13 05:21:17
12226,699730,4,42634855,66,Guga (Fluminense) wins a free kick in the defensive half.,Everton Foul,1,112,2',819,0,0,2024-03-12 10:48:46,0.0,0.0,0.534,0.22,0.0,0.0,198940.0,Everton,2024-03-13 05:21:17
12226,699730,4,42634855,66,Guga (Fluminense) wins a free kick in the defensive half.,Everton Foul,1,112,2',819,0,0,2024-03-12 10:48:46,0.0,0.0,0.534,0.22,0.0,0.0,,Guga,2024-03-13 05:21:17
12226,699730,5,42634879,135,Attempt blocked. Pedro (Flamengo) right footed shot from the centre of the box is blocked. Assisted by Luiz Araújo.,Pedro Shot Blocked,1,179,3',819,0,0,2024-03-12 10:48:46,0.0,0.0,0.244,0.617,0.192,0.601,235017.0,Pedro,2024-03-13 05:21:17
12226,699730,5,42634879,135,Attempt blocked. Pedro (Flamengo) right footed shot from the centre of the box is blocked. Assisted by Luiz Araújo.,Pedro Shot Blocked,1,179,3',819,0,0,2024-03-12 10:48:46,0.0,0.0,0.244,0.617,0.192,0.601,234765.0,Luiz Araújo,2024-03-13 05:21:17
12226,699730,6,42634880,95,"Corner, Flamengo. Conceded by Thiago Santos.",Thiago Santos Corner Kick,1,180,3',3445,0,0,2024-03-10 00:07:04,0.0,0.0,0.228,0.618,0.0,0.0,188143.0,Thiago Santos,2024-03-10 06:42:08
12226,699730,7,42634882,66,Ganso (Fluminense) wins a free kick in the defensive half.,Erick Pulgar Foul,1,210,4',819,0,0,2024-03-12 10:48:46,0.0,0.0,0.22,0.122,0.0,0.0,202533.0,Erick Pulgar,2024-03-13 05:21:17
12226,699730,7,42634882,66,Ganso (Fluminense) wins a free kick in the defensive half.,Erick Pulgar Foul,1,210,4',819,0,0,2024-03-12 10:48:46,0.0,0.0,0.22,0.122,0.0,0.0,,Ganso,2024-03-13 05:21:17
12226,699730,8,42634906,66,Giorgian de Arrascaeta (Flamengo) wins a free kick on the right wing.,Felipe Melo Foul,1,253,5',3445,0,0,2024-03-12 10:48:46,0.0,0.0,0.258,0.917,0.0,0.0,48735.0,Felipe Melo,2024-03-13 05:21:17
12226,699730,8,42634906,66,Giorgian de Arrascaeta (Flamengo) wins a free kick on the right wing.,Felipe Melo Foul,1,253,5',3445,0,0,2024-03-12 10:48:46,0.0,0.0,0.258,0.917,0.0,0.0,,Giorgian de Arrascaeta,2024-03-13 05:21:17
12226,699730,9,42635060,66,Ganso (Fluminense) wins a free kick in the defensive half.,Fabrício Bruno Foul,1,372,7',819,0,0,2024-03-12 10:48:46,0.0,0.0,0.448,0.474,0.0,0.0,236111.0,Fabrício Bruno,2024-03-13 05:21:17
