seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12470,701339,1,42776825,135,Attempt blocked. Gustavo Gomes (Grêmio) right footed shot from outside the box is blocked. Assisted by Fábio with a headed pass.,Gustavo Gomes Shot Blocked,1,178,3',6273,0,0,2024-03-30 20:32:50,0.0,0.0,0.534,0.512,0.462,0.509,366004.0,Gustavo Gomes,2024-03-31 05:19:00
12470,701339,1,42776825,135,Attempt blocked. Gustavo Gomes (Grêmio) right footed shot from outside the box is blocked. Assisted by Fábio with a headed pass.,Gustavo Gomes Shot Blocked,1,178,3',6273,0,0,2024-03-30 20:32:50,0.0,0.0,0.534,0.512,0.462,0.509,122463.0,Fabio ,2024-03-31 05:19:00
12470,701339,2,42777518,66,Foul by Mathías Villasanti (Grêmio).,Mathias Villasanti Foul,1,215,4',6273,0,0,2024-03-30 20:29:54,0.0,0.0,0.184,0.48,0.0,0.0,238449.0,Mathias Villasanti,2024-03-31 05:19:00
12470,701339,2,42777518,66,Foul by Mathías Villasanti (Grêmio).,Mathias Villasanti Foul,1,215,4',6273,0,0,2024-03-30 20:29:54,0.0,0.0,0.184,0.48,0.0,0.0,,Rodrigo Sam,2024-03-31 05:19:00
12470,701339,3,42778204,68,"Offside, Juventude. Edson Carioca is caught offside.",Jean  Offside,1,351,6',6270,0,0,2024-03-30 20:40:08,0.0,0.0,0.35,0.113,0.092,0.264,198580.0,Jean ,2024-03-31 05:19:00
12470,701339,4,42776900,66,Foul by Jádson (Juventude).,Jádson  Foul,1,403,7',6270,0,0,2024-03-30 20:39:24,0.0,0.0,0.944,0.82,0.0,0.0,173351.0,Jádson ,2024-03-31 05:19:00
12470,701339,4,42776900,66,Foul by Jádson (Juventude).,Jádson  Foul,1,403,7',6270,0,0,2024-03-30 20:39:24,0.0,0.0,0.944,0.82,0.0,0.0,,Franco Cristaldo,2024-03-31 05:19:00
12470,701339,5,42776951,135,Attempt blocked. Lucas Barbosa (Juventude) left footed shot from outside the box is blocked. Assisted by Gilberto.,Lucas Barbosa Shot Blocked,1,479,8',6270,0,0,2024-03-30 20:39:24,0.0,0.0,0.576,0.588,0.414,0.558,248584.0,Lucas Barbosa,2024-03-31 05:19:00
12470,701339,5,42776951,135,Attempt blocked. Lucas Barbosa (Juventude) left footed shot from outside the box is blocked. Assisted by Gilberto.,Lucas Barbosa Shot Blocked,1,479,8',6270,0,0,2024-03-30 20:39:24,0.0,0.0,0.576,0.588,0.414,0.558,199679.0,Gilberto ,2024-03-31 05:19:00
12470,701339,6,42776953,95,"Corner, Juventude. Conceded by Fábio.",Fabio  Corner Kick,1,480,8',6273,0,0,2024-03-30 23:24:12,0.0,0.0,0.51,0.581,0.0,0.0,122463.0,Fabio ,2024-03-31 05:19:00
12470,701339,7,42776955,117,"Attempt missed. Rodrigo Sam (Juventude) header from very close range is close, but misses the top right corner. Assisted by Jean Carlos with a cross following a corner.",Rodrigo Sam Shot Off Target,1,509,9',6270,0,0,2024-03-30 20:39:24,0.0,0.0,0.07,0.512,0.0,0.58,205451.0,Rodrigo Sam,2024-03-31 05:19:00
