seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12252,700581,1,42711383,95,"Corner, Santos. Conceded by Tauã Belo.",Hayner  Corner Kick,1,162,3',2674,0,0,2024-03-19 14:55:05,0.0,0.0,0.282,0.9,0.0,0.0,224674.0,Hayner,2024-03-20 05:12:58
12252,700581,2,42711420,117,Attempt missed. Gil (Santos) left footed shot from the centre of the box misses to the left. Assisted by Rómulo Otero with a cross following a corner.,Gil  Shot Off Target,1,195,4',2674,0,0,2024-03-19 14:54:50,0.0,0.0,0.164,0.455,0.036,0.408,165893.0,Gil,2024-03-20 05:12:58
12252,700581,2,42711420,117,Attempt missed. Gil (Santos) left footed shot from the centre of the box misses to the left. Assisted by Rómulo Otero with a cross following a corner.,Gil  Shot Off Target,1,195,4',2674,0,0,2024-03-19 14:54:50,0.0,0.0,0.164,0.455,0.036,0.408,140431.0,Rómulo Otero,2024-03-20 05:12:58
12252,700581,3,42711400,117,Attempt missed. Gil (Santos) header from the left side of the box is just a bit too high following a corner.,Gil  Shot Off Target,1,199,4',2674,0,0,2024-03-19 14:55:05,0.0,0.0,0.21,0.301,0.0,0.519,165893.0,Gil,2024-03-20 05:12:58
12252,700581,4,42711402,66,Rómulo Otero (Santos) wins a free kick on the right wing.,Tauã Belo Foul,1,249,5',4773,0,0,2024-03-19 14:55:05,0.0,0.0,0.972,0.793,0.0,0.0,357187.0,Tauã Belo,2024-03-20 05:12:58
12252,700581,4,42711402,66,Rómulo Otero (Santos) wins a free kick on the right wing.,Tauã Belo Foul,1,249,5',4773,0,0,2024-03-19 14:55:05,0.0,0.0,0.972,0.793,0.0,0.0,,Rómulo Otero,2024-03-20 05:12:58
12252,700581,5,42711422,95,"Corner, Portuguesa. Conceded by Gil.",Gil  Corner Kick,1,364,7',2674,0,0,2024-03-17 23:34:05,0.0,0.0,0.084,0.089,0.0,0.0,165893.0,Gil,2024-03-18 04:58:12
12252,700581,6,42711434,95,"Corner, Portuguesa. Conceded by Felipe Jonatan.",Felipe Jonatan  Corner Kick,1,422,8',2674,0,0,2024-03-17 23:34:05,0.0,0.0,0.012,0.302,0.0,0.0,272437.0,Felipe Jonatan,2024-03-18 04:58:12
12252,700581,7,42711435,106,Attempt saved. Yeferson Quintana (Portuguesa) header from the centre of the box is saved in the centre of the goal. Assisted by Eduardo Diniz with a cross.,Yefferson Quintana Shot On Targe,1,450,8',4773,0,0,2024-03-19 14:55:05,0.0,0.0,0.184,0.528,0.032,0.509,241221.0,Yefferson Quintana,2024-03-20 05:12:58
12252,700581,7,42711435,106,Attempt saved. Yeferson Quintana (Portuguesa) header from the centre of the box is saved in the centre of the goal. Assisted by Eduardo Diniz with a cross.,Yefferson Quintana Shot On Targe,1,450,8',4773,0,0,2024-03-19 14:55:05,0.0,0.0,0.184,0.528,0.032,0.509,94127.0,Eduardo ,2024-03-20 05:12:58
12252,700581,8,42711448,122,Hand ball by Henrique Dourado (Portuguesa).,Henrique Dourado Handball,1,553,10',4773,0,0,2024-03-19 14:55:05,0.0,0.0,0.736,0.19,0.0,0.0,198562.0,Henrique Dourado,2024-03-20 05:12:58
12252,700581,9,42711473,66,Ricardinho (Portuguesa) wins a free kick in the attacking half.,Diego Pituca  Foul,1,684,12',2674,0,0,2024-03-19 14:55:05,0.0,0.0,0.916,0.47,0.0,0.0,233214.0,Diego Pituca,2024-03-20 05:12:58
12252,700581,9,42711473,66,Ricardinho (Portuguesa) wins a free kick in the attacking half.,Diego Pituca  Foul,1,684,12',2674,0,0,2024-03-19 14:55:05,0.0,0.0,0.916,0.47,0.0,0.0,,Ricardinho ,2024-03-20 05:12:58
