seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12240,690679,1,42490861,80,First Half begins.,,1,0,,0,0,0,2024-02-27 18:23:17,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-02-28 06:14:17
12240,690679,2,42490875,66,Marcelo (Fluminense) wins a free kick in the attacking half.,Luis Estupiñan Foul,1,42,1',4816,0,0,2024-02-27 18:23:33,0.0,0.0,0.932,0.474,0.0,0.0,285764.0,Luis Estupiñan,2024-02-28 06:14:17
12240,690679,2,42490875,66,Marcelo (Fluminense) wins a free kick in the attacking half.,Luis Estupiñan Foul,1,42,1',4816,0,0,2024-02-27 18:23:33,0.0,0.0,0.932,0.474,0.0,0.0,,Marcelo,2024-02-28 06:14:17
12240,690679,3,42490888,66,Keno (Fluminense) wins a free kick in the defensive half.,José Quintero Foul,1,143,3',4816,0,0,2024-02-27 18:23:33,0.0,0.0,0.564,0.944,0.0,0.0,215896.0,José Quintero,2024-02-28 06:14:17
12240,690679,3,42490888,66,Keno (Fluminense) wins a free kick in the defensive half.,José Quintero Foul,1,143,3',4816,0,0,2024-02-27 18:23:33,0.0,0.0,0.564,0.944,0.0,0.0,,Keno,2024-02-28 06:14:17
12240,690679,4,42490928,66,Foul by Óscar Zambrano (LDU Quito).,Óscar Zambrano Foul,1,315,6',4816,0,0,2024-02-27 18:23:33,0.0,0.0,0.354,0.823,0.0,0.0,328740.0,Óscar Zambrano,2024-02-28 06:14:17
12240,690679,4,42490928,66,Foul by Óscar Zambrano (LDU Quito).,Óscar Zambrano Foul,1,315,6',4816,0,0,2024-02-27 18:23:33,0.0,0.0,0.354,0.823,0.0,0.0,,Felipe Melo,2024-02-28 06:14:17
12240,690679,5,42490974,171,VAR Decision: No Penalty Fluminense.,Germán Cano VAR - Referee decisi,1,557,10',3445,0,0,2024-02-27 18:23:33,0.0,0.0,0.0,0.0,0.0,0.0,165749.0,Germán Cano,2024-02-28 06:14:17
12240,690679,6,42490991,95,"Corner, LDU Quito. Conceded by Thiago Santos.",Thiago Santos Corner Kick,1,625,11',3445,0,0,2024-02-27 18:23:33,0.0,0.0,0.122,0.561,0.0,0.0,188143.0,Thiago Santos,2024-02-28 06:14:17
12240,690679,7,42491011,66,Thiago Santos (Fluminense) wins a free kick in the defensive half.,Jhojan Julio Foul,1,683,12',4816,0,0,2024-02-27 18:23:33,0.0,0.0,0.064,0.286,0.0,0.0,252405.0,Jhojan Julio,2024-02-28 06:14:17
12240,690679,7,42491011,66,Thiago Santos (Fluminense) wins a free kick in the defensive half.,Jhojan Julio Foul,1,683,12',4816,0,0,2024-02-27 18:23:33,0.0,0.0,0.064,0.286,0.0,0.0,,Thiago Santos,2024-02-28 06:14:17
12240,690679,8,42491038,76,"Substitution, Fluminense. Diogo Barbosa replaces Marcelo because of an injury.",Diogo Barbosa Substitution,1,797,14',3445,0,0,2024-02-27 18:23:33,0.0,0.0,0.0,0.0,0.0,0.0,187032.0,Diogo Barbosa,2024-02-28 06:14:17
12240,690679,8,42491038,76,"Substitution, Fluminense. Diogo Barbosa replaces Marcelo because of an injury.",Diogo Barbosa Substitution,1,797,14',3445,0,0,2024-02-27 18:23:33,0.0,0.0,0.0,0.0,0.0,0.0,77641.0,Marcelo,2024-02-28 06:14:17
12240,690679,9,42491047,95,"Corner, LDU Quito. Conceded by Diogo Barbosa.",Diogo Barbosa Corner Kick,1,890,15',3445,0,0,2024-02-27 18:23:33,0.0,0.0,0.032,0.89,0.0,0.0,187032.0,Diogo Barbosa,2024-02-28 06:14:17
12240,690679,10,42491048,95,"Corner, LDU Quito. Conceded by Keno.",Keno Corner Kick,1,920,16',3445,0,0,2024-02-27 18:23:33,0.0,0.0,0.1,0.586,0.0,0.0,203693.0,Keno,2024-02-28 06:14:17
12240,690679,11,42491066,135,Attempt blocked. Luis Estupiñan (LDU Quito) right footed shot from outside the box is blocked. Assisted by Jhojan Julio.,Luis Estupiñan Shot Blocked,1,940,16',4816,0,0,2024-02-27 18:23:33,0.0,0.0,0.524,0.348,0.32,0.397,285764.0,Luis Estupiñan,2024-02-28 06:14:17
12240,690679,11,42491066,135,Attempt blocked. Luis Estupiñan (LDU Quito) right footed shot from outside the box is blocked. Assisted by Jhojan Julio.,Luis Estupiñan Shot Blocked,1,940,16',4816,0,0,2024-02-27 18:23:33,0.0,0.0,0.524,0.348,0.32,0.397,252405.0,Jhojan Julio,2024-02-28 06:14:17
12240,690679,12,42491069,66,Thiago Santos (Fluminense) wins a free kick in the defensive half.,Jan Hurtado Foul,1,996,17',4816,0,0,2024-02-27 18:23:33,0.0,0.0,0.182,0.1,0.0,0.0,252023.0,Jan Hurtado,2024-02-28 06:14:17
12240,690679,12,42491069,66,Thiago Santos (Fluminense) wins a free kick in the defensive half.,Jan Hurtado Foul,1,996,17',4816,0,0,2024-02-27 18:23:33,0.0,0.0,0.182,0.1,0.0,0.0,,Thiago Santos,2024-02-28 06:14:17
12240,690679,13,42491107,117,Attempt missed. Óscar Zambrano (LDU Quito) right footed shot from outside the box is just a bit too high. Assisted by Jhojan Julio.,Óscar Zambrano Shot Off Target,1,1206,21',4816,0,0,2024-02-27 18:23:33,0.0,0.0,0.588,0.642,0.0,0.461,328740.0,Óscar Zambrano,2024-02-28 06:14:17
12240,690679,13,42491107,117,Attempt missed. Óscar Zambrano (LDU Quito) right footed shot from outside the box is just a bit too high. Assisted by Jhojan Julio.,Óscar Zambrano Shot Off Target,1,1206,21',4816,0,0,2024-02-27 18:23:33,0.0,0.0,0.588,0.642,0.0,0.461,252405.0,Jhojan Julio,2024-02-28 06:14:17
12240,690679,14,42491149,95,"Corner, LDU Quito. Conceded by Thiago Santos.",Thiago Santos Corner Kick,1,1285,22',3445,0,0,2024-02-27 18:23:13,0.0,0.0,0.128,0.514,0.0,0.0,188143.0,Thiago Santos,2024-02-28 06:14:17
12240,690679,15,42491150,95,"Corner, LDU Quito. Conceded by Jhon Arias.",Jhon Arias Corner Kick,1,1307,22',3445,0,0,2024-02-27 18:23:33,0.0,0.0,0.07,0.326,0.0,0.0,239566.0,Jhon Arias,2024-02-28 06:14:17
12240,690679,16,42491152,117,"Attempt missed. Óscar Zambrano (LDU Quito) right footed shot from outside the box is close, but misses to the left. Assisted by Leonel Quiñónez following a corner.",Óscar Zambrano Shot Off Target,1,1320,22',4816,0,0,2024-02-27 18:23:33,0.0,0.0,0.496,0.342,0.0,0.435,328740.0,Óscar Zambrano,2024-02-28 06:14:17
12240,690679,16,42491152,117,"Attempt missed. Óscar Zambrano (LDU Quito) right footed shot from outside the box is close, but misses to the left. Assisted by Leonel Quiñónez following a corner.",Óscar Zambrano Shot Off Target,1,1320,22',4816,0,0,2024-02-27 18:23:33,0.0,0.0,0.496,0.342,0.0,0.435,269885.0,Leonel Quiñonez,2024-02-28 06:14:17
12240,690679,17,42491183,117,"Attempt missed. Lucas Piovi (LDU Quito) right footed shot from outside the box is close, but misses to the right. Assisted by José Quintero.",Ezequiel Piovi Shot Off Target,1,1593,27',4816,0,0,2024-02-27 18:23:33,0.0,0.0,0.598,0.464,0.0,0.58,240401.0,Ezequiel Piovi,2024-02-28 06:14:17
12240,690679,17,42491183,117,"Attempt missed. Lucas Piovi (LDU Quito) right footed shot from outside the box is close, but misses to the right. Assisted by José Quintero.",Ezequiel Piovi Shot Off Target,1,1593,27',4816,0,0,2024-02-27 18:23:33,0.0,0.0,0.598,0.464,0.0,0.58,215896.0,José Quintero,2024-02-28 06:14:17
12240,690679,18,42491199,135,Attempt blocked. Germán Cano (Fluminense) left footed shot from outside the box is blocked. Assisted by Jhon Arias.,Germán Cano Shot Blocked,1,1637,28',3445,0,0,2024-02-27 18:23:33,0.0,0.0,0.384,0.613,0.344,0.601,165749.0,Germán Cano,2024-02-28 06:14:17
12240,690679,18,42491199,135,Attempt blocked. Germán Cano (Fluminense) left footed shot from outside the box is blocked. Assisted by Jhon Arias.,Germán Cano Shot Blocked,1,1637,28',3445,0,0,2024-02-27 18:23:33,0.0,0.0,0.384,0.613,0.344,0.601,239566.0,Jhon Arias,2024-02-28 06:14:17
