seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12876,719565,1,43725903,70,Giovana  (Atlético Madrid) Goal at 13',Giovana  Goal,1,780,13',20093,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,305982.0,Giovana,2024-09-12 05:42:57
12876,719565,2,43725904,94,Cristina Postigo (Granada) Yellow Card at 47',Cristina Postigo Yellow Card,1,2700,45'+2',21140,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,328657.0,Cristina Postigo,2024-09-12 05:42:57
12876,719565,3,43725906,76,Leles (Granada) Substitution at 62',Leles Substitution,2,3720,62',21140,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,333519.0,Leles,2024-09-12 05:42:57
12876,719565,3,43725906,76,Leles (Granada) Substitution at 62',Leles Substitution,2,3720,62',21140,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,368307.0,Amaia Iribarren,2024-09-12 05:42:57
12876,719565,4,43725907,94,Ariadna Mingueza (Granada) Yellow Card at 64',Ariadna Mingueza Yellow Card,2,3840,64',21140,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,312952.0,Ariadna Mingueza,2024-09-12 05:42:57
12876,719565,5,43725908,76,Ana Vitória  (Atlético Madrid) Substitution at 71',Ana Vitória  Substitution,2,4260,71',20093,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,310885.0,Ana Vitória,2024-09-12 05:42:57
12876,719565,6,43725909,76,Tatiana Pinto (Atlético Madrid) Substitution at 71',Tatiana Pinto Substitution,2,4260,71',20093,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,259762.0,Tatiana Pinto,2024-09-12 05:42:57
12876,719565,5,43725908,76,Ana Vitória  (Atlético Madrid) Substitution at 71',Ana Vitória  Substitution,2,4260,71',20093,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,252363.0,Vilde Boe Risa,2024-09-12 05:42:57
12876,719565,6,43725909,76,Tatiana Pinto (Atlético Madrid) Substitution at 71',Tatiana Pinto Substitution,2,4260,71',20093,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,252358.0,Synne Jensen,2024-09-12 05:42:57
12876,719565,7,43725910,93,Isabel Álvarez (Granada) Red Card at 75',Isabel Álvarez Red Card,2,4500,75',21140,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,335770.0,Isabel Álvarez,2024-09-12 05:42:57
12876,719565,8,43725911,94,Laura Pérez (Granada) Yellow Card at 76',Laura Pérez Yellow Card,2,4560,76',21140,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,334527.0,Laura Pérez,2024-09-12 05:42:57
12876,719565,9,43725912,76,Alba Pérez (Granada) Substitution at 78',Alba Pérez Substitution,2,4680,78',21140,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,334507.0,Alba Pérez,2024-09-12 05:42:57
12876,719565,10,43725913,76,Lucía Ramos (Granada) Substitution at 78',Lucía Ramos Substitution,2,4680,78',21140,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,354932.0,Lucía Ramos,2024-09-12 05:42:57
