seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12473,716794,1,43716701,94,Liam Delap (England U21) Yellow Card at 1',Liam Delap Yellow Card,1,60,1',4150,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,307114,Liam Delap,2024-10-14 07:04:32
12473,716794,2,43716999,98,Morgan Rogers (England U21) Penalty - Scored at 25',Morgan Rogers Penalty - Scored,1,1500,25',4150,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,265653,Morgan Rogers,2024-10-14 07:04:32
12473,716794,3,43717122,70,Thierno Ballo (Austria U21) Goal at 35',Thierno Ballo Goal,1,2100,35',19350,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,296408,Thierno Ballo,2024-10-14 07:04:32
12473,716794,4,43717202,94,Florian Micheler (Austria U21) Yellow Card at 41',Florian Micheler Yellow Card,1,2460,41',19350,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,389264,Florian Micheler,2024-10-14 07:04:32
12473,716794,5,43717342,76,Charlie Cresswell (England U21) Substitution at 45',Charlie Cresswell Substitution,2,2700,45',4150,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,307713,Charlie Cresswell,2024-10-14 07:04:32
12473,716794,6,43717343,76,Paul-Friedrich Koller (Austria U21) Substitution at 45',Paul-Friedrich Koller Substituti,2,2700,45',19350,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,283951,Paul-Friedrich Koller,2024-10-14 07:04:32
12473,716794,7,43717344,76,Matthias Braunöder (Austria U21) Substitution at 45',Matthias Braunöder Substitution,2,2700,45',19350,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,305676,Matthias Braunöder,2024-10-14 07:04:32
12473,716794,5,43717342,76,Charlie Cresswell (England U21) Substitution at 45',Charlie Cresswell Substitution,2,2700,45',4150,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,281121,Taylor Harwood-Bellis,2024-10-14 07:04:32
12473,716794,6,43717343,76,Paul-Friedrich Koller (Austria U21) Substitution at 45',Paul-Friedrich Koller Substituti,2,2700,45',19350,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,308023,Pascal Estrada,2024-10-14 07:04:32
12473,716794,7,43717344,76,Matthias Braunöder (Austria U21) Substitution at 45',Matthias Braunöder Substitution,2,2700,45',19350,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,389264,Florian Micheler,2024-10-14 07:04:32
12473,716794,8,43717382,70,Morgan Rogers (England U21) Goal at 49',Morgan Rogers Goal,2,2940,49',4150,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,265653,Morgan Rogers,2024-10-14 07:04:32
12473,716794,9,43717479,76,Nikolas Sattlberger (Austria U21) Substitution at 54',Nikolas Sattlberger Substitution,2,3240,54',19350,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,345959,Nikolas Sattlberger,2024-10-14 07:04:32
