seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12488,699832,1,43512855,80,First Half begins.,,1,0,,0,0,0,2024-08-10 01:19:07,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-08-11 09:17:49
12488,699832,2,43512863,66,Foul by Adrien Truffert (France U23).,Adrien Truffert Foul,1,243,5',20947,0,0,2024-08-10 01:19:46,0.0,0.0,0.712,0.108,0.0,0.0,305684.0,Adrien Truffert,2024-08-11 09:17:49
12488,699832,2,43512863,66,Foul by Adrien Truffert (France U23).,Adrien Truffert Foul,1,243,5',20947,0,0,2024-08-10 01:19:46,0.0,0.0,0.712,0.108,0.0,0.0,,Aimar Oroz,2024-08-11 09:17:49
12488,699832,3,43512878,68,"Offside, Spain U23. Aimar Oroz is caught offside.",Álex Baena Offside,1,532,9',18220,0,0,2024-08-10 01:19:46,0.0,0.0,0.746,0.319,0.806,0.946,297373.0,Álex Baena,2024-08-11 09:17:49
12488,699832,4,43512887,70,"Goal! France U23 1, Spain U23 0. Enzo Millot (France U23) left footed shot from the right side of the box to the bottom left corner.",Enzo Millot Goal,1,657,11',20947,0,0,2024-08-10 01:19:46,0.0,0.0,0.184,0.755,0.0,0.471,297158.0,Enzo Millot,2024-08-11 09:17:49
12488,699832,5,43512902,70,"Goal! France U23 1, Spain U23 1. Fermín López (Spain U23) right footed shot from the centre of the box to the bottom left corner. Assisted by Álex Baena with a through ball.",Fermín López Goal,1,1031,18',18220,0,0,2024-08-10 01:19:46,0.0,0.0,0.25,0.538,0.0,0.474,354334.0,Fermín López,2024-08-11 09:17:49
12488,699832,5,43512902,70,"Goal! France U23 1, Spain U23 1. Fermín López (Spain U23) right footed shot from the centre of the box to the bottom left corner. Assisted by Álex Baena with a through ball.",Fermín López Goal,1,1031,18',18220,0,0,2024-08-10 01:19:46,0.0,0.0,0.25,0.538,0.0,0.474,297373.0,Álex Baena,2024-08-11 09:17:49
12488,699832,6,43512915,95,"Corner, France U23. Conceded by Pau Cubarsí.",Pau Cubarsí Corner Kick,1,1223,21',18220,0,0,2024-08-10 01:19:05,0.0,0.0,0.048,0.865,0.0,0.0,368992.0,Pau Cubarsí,2024-08-11 09:17:49
12488,699832,7,43512918,106,Attempt saved. Jean-Philippe Mateta (France U23) header from the centre of the box is saved in the centre of the goal. Assisted by Michael Olise with a cross.,Jean-Philippe Mateta Shot On Tar,1,1282,22',20947,0,0,2024-08-10 01:19:46,0.0,0.0,0.164,0.542,0.014,0.518,241187.0,Jean-Philippe Mateta,2024-08-11 09:17:49
12488,699832,7,43512918,106,Attempt saved. Jean-Philippe Mateta (France U23) header from the centre of the box is saved in the centre of the goal. Assisted by Michael Olise with a cross.,Jean-Philippe Mateta Shot On Tar,1,1282,22',20947,0,0,2024-08-10 01:19:46,0.0,0.0,0.164,0.542,0.014,0.518,286831.0,Michael Olise,2024-08-11 09:17:49
12488,699832,8,43512931,66,Manu Koné (France U23) wins a free kick in the defensive half.,Fermín López Foul,1,1402,24',18220,0,0,2024-08-10 01:19:46,0.0,0.0,0.742,0.822,0.0,0.0,354334.0,Fermín López,2024-08-11 09:17:49
12488,699832,8,43512931,66,Manu Koné (France U23) wins a free kick in the defensive half.,Fermín López Foul,1,1402,24',18220,0,0,2024-08-10 01:19:46,0.0,0.0,0.742,0.822,0.0,0.0,,Manu Koné,2024-08-11 09:17:49
12488,699832,9,43512937,106,Attempt saved. Abel Ruiz (Spain U23) right footed shot from the centre of the box is saved in the centre of the goal. Assisted by Juan Miranda with a cross.,Abel Ruiz Shot On Target,1,1469,25',18220,0,0,2024-08-10 01:19:05,0.0,0.0,0.098,0.442,0.018,0.484,261613.0,Abel Ruiz,2024-08-11 09:17:49
12488,699832,9,43512937,106,Attempt saved. Abel Ruiz (Spain U23) right footed shot from the centre of the box is saved in the centre of the goal. Assisted by Juan Miranda with a cross.,Abel Ruiz Shot On Target,1,1469,25',18220,0,0,2024-08-10 01:19:05,0.0,0.0,0.098,0.442,0.018,0.484,261616.0,Juan Miranda,2024-08-11 09:17:49
12488,699832,10,43512938,70,"Goal! France U23 1, Spain U23 2. Fermín López (Spain U23) left footed shot from very close range to the centre of the goal.",Fermín López Goal,1,1471,25',18220,0,0,2024-08-10 01:19:46,0.0,0.0,0.046,0.515,0.0,0.517,354334.0,Fermín López,2024-08-11 09:17:49
12488,699832,11,43512946,66,Juan Miranda (Spain U23) wins a free kick in the attacking half.,Loïc Badé Foul,1,1598,27',20947,0,0,2024-08-10 01:19:46,0.0,0.0,0.472,0.267,0.0,0.0,300410.0,Loïc Badé,2024-08-11 09:17:49
12488,699832,11,43512946,66,Juan Miranda (Spain U23) wins a free kick in the attacking half.,Loïc Badé Foul,1,1598,27',20947,0,0,2024-08-10 01:19:46,0.0,0.0,0.472,0.267,0.0,0.0,,Juan Miranda,2024-08-11 09:17:49
12488,699832,12,43512947,138,"Goal! France U23 1, Spain U23 3. Álex Baena (Spain U23) from a free kick with a right footed shot to the high centre of the goal.",Álex Baena Goal - Free-kick,1,1663,28',18220,0,0,2024-08-10 01:19:46,0.0,0.0,0.436,0.258,0.0,0.482,297373.0,Álex Baena,2024-08-11 09:17:49
