seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12653,707092,1,43994674,97,Jocelyn Travers (United States U17) Own Goal at 3',Jocelyn Travers Own Goal,1,180,3',21572,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,Jocelyn Travers,2024-10-21 05:14:27
12653,707092,2,43994760,70,Melanie Barcenas (United States U17) Goal at 22',Melanie Barcenas Goal,1,1320,22',21565,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,360902.0,Melanie Barcenas,2024-10-21 05:14:27
12653,707092,3,43994804,94,Irune Dorado (Spain U17) Yellow Card at 36',Irune Dorado Yellow Card,1,2160,36',21572,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,386682.0,Irune Dorado,2024-10-21 05:14:27
12653,707092,4,43994886,76,Maddie Padelski (United States U17) Substitution at 63',Maddie Padelski Substitution,2,3780,63',21565,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,388042.0,Maddie Padelski,2024-10-21 05:14:27
12653,707092,4,43994886,76,Maddie Padelski (United States U17) Substitution at 63',Maddie Padelski Substitution,2,3780,63',21565,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,360902.0,Melanie Barcenas,2024-10-21 05:14:27
12653,707092,5,43994887,76,Claudia De La Cuerda (Spain U17) Substitution at 65',Claudia De La Cuerda Substitutio,2,3900,65',21572,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,386735.0,Claudia De La Cuerda,2024-10-21 05:14:27
12653,707092,6,43994889,76,Noa Ortega (Spain U17) Substitution at 65',Noa Ortega Substitution,2,3900,65',21572,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,386637.0,Noa Ortega,2024-10-21 05:14:27
12653,707092,5,43994887,76,Claudia De La Cuerda (Spain U17) Substitution at 65',Claudia De La Cuerda Substitutio,2,3900,65',21572,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,371637.0,Nerea Carmona,2024-10-21 05:14:27
12653,707092,6,43994889,76,Noa Ortega (Spain U17) Substitution at 65',Noa Ortega Substitution,2,3900,65',21572,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,386635.0,Celia Segura,2024-10-21 05:14:27
12653,707092,7,43994891,70,Noa Ortega (Spain U17) Goal at 70',Noa Ortega Goal,2,4200,70',21572,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,386637.0,Noa Ortega,2024-10-21 05:14:27
12653,707092,8,43994892,76,Emma Moreno (Spain U17) Substitution at 72',Emma Moreno Substitution,2,4320,72',21572,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,386681.0,Emma Moreno,2024-10-21 05:14:27
12653,707092,9,43994893,76,Mary Long (United States U17) Substitution at 72',Mary Long Substitution,2,4320,72',21565,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,388041.0,Mary Long,2024-10-21 05:14:27
12653,707092,10,43994894,76,Micayla Johnson (United States U17) Substitution at 72',Micayla Johnson Substitution,2,4320,72',21565,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,388040.0,Micayla Johnson,2024-10-21 05:14:27
12653,707092,8,43994892,76,Emma Moreno (Spain U17) Substitution at 72',Emma Moreno Substitution,2,4320,72',21572,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,386634.0,Ainoa Gómez,2024-10-21 05:14:27
12653,707092,9,43994893,76,Mary Long (United States U17) Substitution at 72',Mary Long Substitution,2,4320,72',21565,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,382797.0,Kimmi Ascanio,2024-10-21 05:14:27
12653,707092,10,43994894,76,Micayla Johnson (United States U17) Substitution at 72',Micayla Johnson Substitution,2,4320,72',21565,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,386675.0,Leena Powell,2024-10-21 05:14:27
12653,707092,11,43994919,70,Alba Cerrato (Spain U17) Goal at 83',Alba Cerrato Goal,2,4980,83',21572,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,350313.0,Alba Cerrato,2024-10-21 05:14:27
12653,707092,12,43994922,76,Katie Scott (United States U17) Substitution at 84',Katie Scott Substitution,2,5040,84',21565,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,386623.0,Katie Scott,2024-10-21 05:14:27
12653,707092,12,43994922,76,Katie Scott (United States U17) Substitution at 84',Katie Scott Substitution,2,5040,84',21565,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,386617.0,Daya King,2024-10-21 05:14:27
12653,707092,13,43994923,76,Jaiden Rodriguez (United States U17) Substitution at 85',Jaiden Rodriguez Substitution,2,5100,85',21565,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,388038.0,Jaiden Rodriguez,2024-10-21 05:14:27
12653,707092,13,43994923,76,Jaiden Rodriguez (United States U17) Substitution at 85',Jaiden Rodriguez Substitution,2,5100,85',21565,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,386680.0,Y-Lan Nguyen,2024-10-21 05:14:27
12653,707092,14,43994924,76,Iris Santiago (Spain U17) Substitution at 86',Iris Santiago Substitution,2,5160,86',21572,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,393990.0,Iris Santiago,2024-10-21 05:14:27
12653,707092,15,43994925,76,Lorena Cubo (Spain U17) Substitution at 86',Lorena Cubo Substitution,2,5160,86',21572,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,386596.0,Lorena Cubo,2024-10-21 05:14:27
12653,707092,14,43994924,76,Iris Santiago (Spain U17) Substitution at 86',Iris Santiago Substitution,2,5160,86',21572,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,376534.0,Paula Comendador,2024-10-21 05:14:27
12653,707092,15,43994925,76,Lorena Cubo (Spain U17) Substitution at 86',Lorena Cubo Substitution,2,5160,86',21572,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,386682.0,Irune Dorado,2024-10-21 05:14:27
12653,707093,1,43995012,70,Ella Martínez (Colombia U17) Goal at 28',Ella Martínez Goal,1,1680,28',21573,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,386744.0,Ella Martínez,2024-10-20 11:07:01
12653,707093,2,43995052,98,Casey Phair (South Korea U17) Penalty - Scored at 36',Casey Phair Penalty - Scored,1,2160,36',22302,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,363460.0,Casey Phair,2024-10-20 11:07:01
12653,707093,3,43995106,76,Isabella Díaz (Colombia U17) Substitution at 45',Isabella Díaz Substitution,2,2700,45',21573,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,369220.0,Isabella Díaz,2024-10-20 11:07:01
12653,707093,4,43995107,76,Laura Acevedo (Colombia U17) Substitution at 45',Laura Acevedo Substitution,2,2700,45',21573,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,386748.0,Laura Acevedo,2024-10-20 11:07:01
12653,707093,3,43995106,76,Isabella Díaz (Colombia U17) Substitution at 45',Isabella Díaz Substitution,2,2700,45',21573,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,386631.0,Michel Cuéllar,2024-10-20 11:07:01
12653,707093,4,43995107,76,Laura Acevedo (Colombia U17) Substitution at 45',Laura Acevedo Substitution,2,2700,45',21573,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,386752.0,Nicoll Cárdenas,2024-10-20 11:07:01
12653,707093,5,43995162,94,Kim Yee-Un (South Korea U17) Yellow Card at 59',Kim Yee-Un Yellow Card,2,3540,59',22302,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,386818.0,Kim Yee-Un,2024-10-20 11:07:01
