seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12695,706784,1,43569446,94,Clément Vidal (AC Ajaccio) Yellow Card at 50',Clément Vidal Yellow Card,2,3000,50',2503,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,275654.0,Clément Vidal,2024-10-14 07:04:32
12695,706784,2,43569447,76,Christopher Ibayi (AC Ajaccio) Substitution at 60',Christopher Ibayi Substitution,2,3600,60',2503,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,215723.0,Christopher Ibayi,2024-10-14 07:04:32
12695,706784,3,43569448,76,Valentin Jacob (AC Ajaccio) Substitution at 60',Valentin Jacob Substitution,2,3600,60',2503,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,206891.0,Valentin Jacob,2024-10-14 07:04:32
12695,706784,2,43569447,76,Christopher Ibayi (AC Ajaccio) Substitution at 60',Christopher Ibayi Substitution,2,3600,60',2503,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,158896.0,Yoann Touzghar,2024-10-14 07:04:32
12695,706784,3,43569448,76,Valentin Jacob (AC Ajaccio) Substitution at 60',Valentin Jacob Substitution,2,3600,60',2503,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,357866.0,Ivane Chegra,2024-10-14 07:04:32
12695,706784,4,43569449,76,Moussa Soumano (AC Ajaccio) Substitution at 71',Moussa Soumano Substitution,2,4260,71',2503,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,357000.0,Moussa Soumano,2024-10-14 07:04:32
12695,706784,5,43569450,76,Thomas Mangani (AC Ajaccio) Substitution at 71',Thomas Mangani Substitution,2,4260,71',2503,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,85080.0,Thomas Mangani,2024-10-14 07:04:32
12695,706784,4,43569449,76,Moussa Soumano (AC Ajaccio) Substitution at 71',Moussa Soumano Substitution,2,4260,71',2503,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,362491.0,Ben Touré,2024-10-14 07:04:32
12695,706784,5,43569450,76,Thomas Mangani (AC Ajaccio) Substitution at 71',Thomas Mangani Substitution,2,4260,71',2503,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,359135.0,Mehdi Puch-Herrantz,2024-10-14 07:04:32
12695,706784,6,43569451,76,Mohamed Achi (Rodez Aveyron) Substitution at 73',Mohamed Achi Substitution,2,4380,73',7719,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,333762.0,Mohamed Achi,2024-10-14 07:04:32
