seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12756,724189,1,44640823,80,First Half begins.,,1,0,,0,0,0,2025-02-06 04:44:36,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-02-06 05:46:03
12756,724189,2,44640841,66,Manu Koné (Roma) wins a free kick in the defensive half.,Tammy Abraham Foul,1,68,2',103,0,0,2025-02-06 04:44:55,0.0,0.0,0.724,0.298,0.0,0.0,236209.0,Tammy Abraham,2025-02-06 05:46:03
12756,724189,2,44640841,66,Manu Koné (Roma) wins a free kick in the defensive half.,Tammy Abraham Foul,1,68,2',103,0,0,2025-02-06 04:44:55,0.0,0.0,0.724,0.298,0.0,0.0,,Manu Koné,2025-02-06 05:46:03
12756,724189,3,44640852,66,Paulo Dybala (Roma) wins a free kick in the defensive half.,Theo Hernández Foul,1,133,3',103,0,0,2025-02-06 04:44:55,0.0,0.0,0.59,0.227,0.0,0.0,233621.0,Theo Hernández,2025-02-06 05:46:03
12756,724189,3,44640852,66,Paulo Dybala (Roma) wins a free kick in the defensive half.,Theo Hernández Foul,1,133,3',103,0,0,2025-02-06 04:44:55,0.0,0.0,0.59,0.227,0.0,0.0,,Paulo Dybala,2025-02-06 05:46:03
12756,724189,4,44640965,117,Attempt blocked. Eldor Shomurodov (Roma) right footed shot from the centre of the box is blocked. Assisted by Niccolò Pisilli with a headed pass.,Eldor Shomurodov Shot Off Target,1,460,8',104,0,0,2025-02-06 04:44:31,0.0,0.0,0.0,0.0,0.0,0.0,216937.0,Eldor Shomurodov,2025-02-06 05:46:03
12756,724189,4,44640965,117,Attempt blocked. Eldor Shomurodov (Roma) right footed shot from the centre of the box is blocked. Assisted by Niccolò Pisilli with a headed pass.,Eldor Shomurodov Shot Off Target,1,460,8',104,0,0,2025-02-06 04:44:31,0.0,0.0,0.0,0.0,0.0,0.0,360235.0,Niccolò Pisilli,2025-02-06 05:46:03
12756,724189,5,44640947,95,"Corner, Roma. Conceded by Fikayo Tomori.",Fikayo Tomori Corner Kick,1,465,8',103,0,0,2025-02-06 04:44:31,0.0,0.0,0.156,0.543,0.0,0.0,236210.0,Fikayo Tomori,2025-02-06 05:46:03
12756,724189,6,44640950,106,Attempt saved. Paulo Dybala (Roma) header from the centre of the box is saved in the bottom right corner. Assisted by Alexis Saelemaekers with a cross.,Paulo Dybala Shot On Target,1,508,9',104,0,0,2025-02-06 04:44:55,0.0,0.0,0.166,0.485,0.014,0.495,164839.0,Paulo Dybala,2025-02-06 05:46:03
12756,724189,6,44640950,106,Attempt saved. Paulo Dybala (Roma) header from the centre of the box is saved in the bottom right corner. Assisted by Alexis Saelemaekers with a cross.,Paulo Dybala Shot On Target,1,508,9',104,0,0,2025-02-06 04:44:55,0.0,0.0,0.166,0.485,0.014,0.495,271132.0,Alexis Saelemaekers,2025-02-06 05:46:03
12756,724189,7,44640951,66,Foul by Manu Koné (Roma).,Manu Koné Foul,1,536,9',104,0,0,2025-02-06 04:44:55,0.0,0.0,0.58,0.578,0.0,0.0,285226.0,Manu Koné,2025-02-06 05:46:03
12756,724189,7,44640951,66,Foul by Manu Koné (Roma).,Manu Koné Foul,1,536,9',104,0,0,2025-02-06 04:44:55,0.0,0.0,0.58,0.578,0.0,0.0,,Christian Pulisic,2025-02-06 05:46:03
12756,724189,8,44641012,135,Attempt blocked. Youssouf Fofana (AC Milan) right footed shot from the right side of the box is blocked.,Youssouf Fofana Shot Blocked,1,631,11',103,0,0,2025-02-06 04:44:55,0.0,0.0,0.25,0.642,0.128,0.57,277307.0,Youssouf Fofana,2025-02-06 05:46:03
12756,724189,9,44641014,135,Attempt blocked. Christian Pulisic (AC Milan) right footed shot from outside the box is blocked. Assisted by Youssouf Fofana.,Christian Pulisic Shot Blocked,1,637,11',103,0,0,2025-02-06 04:44:55,0.0,0.0,0.432,0.47,0.394,0.471,225607.0,Christian Pulisic,2025-02-06 05:46:03
12756,724189,9,44641014,135,Attempt blocked. Christian Pulisic (AC Milan) right footed shot from outside the box is blocked. Assisted by Youssouf Fofana.,Christian Pulisic Shot Blocked,1,637,11',103,0,0,2025-02-06 04:44:55,0.0,0.0,0.432,0.47,0.394,0.471,277307.0,Youssouf Fofana,2025-02-06 05:46:03
12756,724189,10,44641053,68,"Offside, Roma. Niccolò Pisilli is caught offside.",Mats Hummels Offside,1,747,13',104,0,0,2025-02-06 04:44:55,0.0,0.0,0.74,0.325,0.636,0.436,84627.0,Mats Hummels,2025-02-06 05:46:03
12756,724189,11,44641172,135,Attempt blocked. Álex Jiménez (AC Milan) right footed shot from the centre of the box is blocked. Assisted by Kyle Walker with a headed pass.,Álex Jiménez Shot Blocked,1,830,14',103,0,0,2025-02-06 04:44:55,0.0,0.0,0.198,0.611,0.126,0.57,367861.0,Álex Jiménez,2025-02-06 05:46:03
12756,724189,11,44641172,135,Attempt blocked. Álex Jiménez (AC Milan) right footed shot from the centre of the box is blocked. Assisted by Kyle Walker with a headed pass.,Álex Jiménez Shot Blocked,1,830,14',103,0,0,2025-02-06 04:44:55,0.0,0.0,0.198,0.611,0.126,0.57,129358.0,Kyle Walker,2025-02-06 05:46:03
12756,724189,12,44641113,106,Attempt saved. Tijjani Reijnders (AC Milan) right footed shot from outside the box is saved in the bottom left corner. Assisted by Yunus Musah.,Tijjani Reijnders Shot On Target,1,916,16',103,0,0,2025-02-06 04:44:55,0.0,0.0,0.496,0.372,0.04,0.505,261328.0,Tijjani Reijnders,2025-02-06 05:46:03
12756,724189,12,44641113,106,Attempt saved. Tijjani Reijnders (AC Milan) right footed shot from outside the box is saved in the bottom left corner. Assisted by Yunus Musah.,Tijjani Reijnders Shot On Target,1,916,16',103,0,0,2025-02-06 04:44:55,0.0,0.0,0.496,0.372,0.04,0.505,307527.0,Yunus Musah,2025-02-06 05:46:03
