seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12647,721594,1,44091294,94,Ayoub Qasmi (Al Raed) Yellow Card at 12',Ayoub Qasmi Yellow Card,1,720,12',21834,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,285529.0,Ayoub Qasmi,2024-10-31 05:22:55
12647,721594,2,44091295,94,Zakaria Al Hawsawi (Al Raed) Yellow Card at 30',Zakaria Al Hawsawi Yellow Card,1,1800,30',21834,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,349151.0,Zakaria Al Hawsawi,2024-10-31 05:22:55
12647,721594,3,44091296,93,Osama Zaid Abdulaziz Al Bowardi (Al Najma) Red Card at 31',Osama Zaid Abdulaziz Al Bowardi ,1,1860,31',22023,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,372894.0,Osama Zaid Abdulaziz Al Bowardi,2024-10-31 05:22:55
12647,721594,4,44091297,94,Ziyad Al Qahtani (Al Najma) Yellow Card at 34',Ziyad Al Qahtani Yellow Card,1,2040,34',22023,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,373121.0,Ziyad Al Qahtani,2024-10-31 05:22:55
12647,721594,5,44091298,70,Saleh Al-Jamaan (Al Raed) Goal at 38',Saleh Al-Jamaan Goal,1,2280,38',21834,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,262499.0,Saleh Al-Jamaan,2024-10-31 05:22:55
12647,721594,6,44091300,94,Mubarak Abdul Rahman Al Rajeh (Al Raed) Yellow Card at 46',Mubarak Abdul Rahman Al Rajeh Ye,1,2700,45'+1',21834,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,357581.0,Mubarak Abdul Rahman Al Rajeh,2024-10-31 05:22:55
12647,721594,7,44091301,117,Tilica (Al Najma) Shot Off Target at 47',Tilica Shot Off Target,1,2700,45'+2',22023,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,226630.0,Tilica,2024-10-31 05:22:55
12647,721594,8,44091303,94,Mathias Normann (Al Raed) Yellow Card at 56',Mathias Normann Yellow Card,1,2700,45'+11',21834,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,234967.0,Mathias Normann,2024-10-31 05:22:55
12647,721594,9,44091308,94,Bilel Aouacheria (Al Najma) Yellow Card at 46',Bilel Aouacheria Yellow Card,2,2760,46',22023,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,264515.0,Bilel Aouacheria,2024-10-31 05:22:55
12647,721594,10,44091316,76,Riyadh Al Asmari (Al Najma) Substitution at 57',Riyadh Al Asmari Substitution,2,3420,57',22023,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,379863.0,Riyadh Al Asmari,2024-10-31 05:22:55
12647,721594,10,44091316,76,Riyadh Al Asmari (Al Najma) Substitution at 57',Riyadh Al Asmari Substitution,2,3420,57',22023,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,373114.0,Rayan Enad,2024-10-31 05:22:55
12647,721594,11,44091317,76,Abdullah Hazazi (Al Raed) Substitution at 61',Abdullah Hazazi Substitution,2,3660,61',21834,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,372887.0,Abdullah Hazazi,2024-10-31 05:22:55
12647,721594,12,44091318,76,Omar Ahmed Shami (Al Raed) Substitution at 61',Omar Ahmed Shami Substitution,2,3660,61',21834,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,382788.0,Omar Ahmed Shami,2024-10-31 05:22:55
12647,721594,11,44091317,76,Abdullah Hazazi (Al Raed) Substitution at 61',Abdullah Hazazi Substitution,2,3660,61',21834,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,285529.0,Ayoub Qasmi,2024-10-31 05:22:55
12647,721594,12,44091318,76,Omar Ahmed Shami (Al Raed) Substitution at 61',Omar Ahmed Shami Substitution,2,3660,61',21834,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,370553.0,Thamer Al Khaibri,2024-10-31 05:22:55
12647,721594,13,44091333,76,Raid Al-Ghamdi (Al Raed) Substitution at 74',Raid Al-Ghamdi Substitution,2,4440,74',21834,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,264060.0,Raid Al-Ghamdi,2024-10-31 05:22:55
