seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12940,723750,1,44511540,70,Tómané (SC Farense) Goal at 7',Tómané Goal,1,420,7',20740,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,151321,Tómané,2025-01-16 05:40:17
12940,723750,2,44512156,76,André Seruca (SC Farense) Substitution at 34',André Seruca Substitution,1,2040,34',20740,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,351548,André Seruca,2025-01-16 05:40:17
12940,723750,2,44512156,76,André Seruca (SC Farense) Substitution at 34',André Seruca Substitution,1,2040,34',20740,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,169992,Neto,2025-01-16 05:40:17
12940,723750,3,44512368,76,Zeki Amdouni (Benfica) Substitution at 40',Zeki Amdouni Substitution,1,2400,40',1929,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,320757,Zeki Amdouni,2025-01-16 05:40:17
12940,723750,3,44512368,76,Zeki Amdouni (Benfica) Substitution at 40',Zeki Amdouni Substitution,1,2400,40',1929,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,108223,Ángel Di María,2025-01-16 05:40:17
12940,723750,4,44512369,94,Raul (SC Farense) Yellow Card at 41',Raul Yellow Card,1,2460,41',20740,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,201704,Raul,2025-01-16 05:40:17
12940,723750,5,44512664,94,Tomás Ribeiro (SC Farense) Yellow Card at 49',Tomás Ribeiro Yellow Card,1,2700,45'+4',20740,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,295853,Tomás Ribeiro,2025-01-16 05:40:17
12940,723750,6,44513710,70,Andreas Schjelderup (Benfica) Goal at 56',Andreas Schjelderup Goal,2,3360,56',1929,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,313415,Andreas Schjelderup,2025-01-16 05:40:17
12940,723750,7,44513745,70,Arthur Cabral (Benfica) Goal at 58',Arthur Cabral Goal,2,3480,58',1929,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,224103,Arthur Cabral,2025-01-16 05:40:17
12940,723750,8,44513806,70,Alexander Bah (Benfica) Goal at 62',Alexander Bah Goal,2,3720,62',1929,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,265944,Alexander Bah,2025-01-16 05:40:17
