seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12860,718564,1,44491735,94,Sipho Chaine (Orlando Pirates) Yellow Card at 39',Sipho Chaine Yellow Card,1,2340,39',7085,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,265713.0,Sipho Chaine,2025-01-09 05:44:23
12860,718564,2,44491736,94,Nkosinathi Sibisi (Orlando Pirates) Yellow Card at 39',Nkosinathi Sibisi Yellow Card,1,2340,39',7085,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,266125.0,Nkosinathi Sibisi,2025-01-09 05:44:23
12860,718564,3,44491737,94,Idumba Fasika (Cape Town City) Yellow Card at 40',Idumba Fasika Yellow Card,1,2400,40',7100,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,312792.0,Idumba Fasika,2025-01-09 05:44:23
12860,718564,5,44491740,76,Jaeden Rhodes (Cape Town City) Substitution at 45',Jaeden Rhodes Substitution,2,2700,45',7100,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,335863.0,Jaeden Rhodes,2025-01-09 05:44:23
12860,718564,6,44491741,76,Thabo Nodada (Cape Town City) Substitution at 45',Thabo Nodada Substitution,2,2700,45',7100,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,225135.0,Thabo Nodada,2025-01-09 05:44:23
12860,718564,4,44491743,94,Tshegofatso Nyama (Cape Town City) Yellow Card at 48',Tshegofatso Nyama Yellow Card,1,2700,45'+3',7100,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,309031.0,Tshegofatso Nyama,2025-01-09 05:44:23
12860,718564,5,44491740,76,Jaeden Rhodes (Cape Town City) Substitution at 45',Jaeden Rhodes Substitution,2,2700,45',7100,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,263331.0,Haashim Domingo,2025-01-09 05:44:23
12860,718564,6,44491741,76,Thabo Nodada (Cape Town City) Substitution at 45',Thabo Nodada Substitution,2,2700,45',7100,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,129365.0,Kamohelo Mokotjo,2025-01-09 05:44:23
12860,718564,7,44491746,94,Patrick Maswanganyi (Orlando Pirates) Yellow Card at 57',Patrick Maswanganyi Yellow Card,2,3420,57',7085,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,347462.0,Patrick Maswanganyi,2025-01-09 05:44:23
12860,718564,8,44491755,76,James Monyane (Orlando Pirates) Substitution at 63',James Monyane Substitution,2,3780,63',7085,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,287484.0,James Monyane,2025-01-09 05:44:23
