seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12689,706053,1,43435653,70,Zé Turbo  (Nizhny Novgorod) Goal at 3',Zé Turbo  Goal,1,180,3',13150,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,233561.0,Zé Turbo,2024-07-30 07:58:33
12689,706053,2,43435660,70,Mirlind Daku (Rubin Kazan) Goal at 4',Mirlind Daku Goal,1,240,4',3851,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,293400.0,Mirlind Daku,2024-07-30 07:58:33
12689,706053,3,43435672,94,Mateo Stamatov (Nizhny Novgorod) Yellow Card at 14',Mateo Stamatov Yellow Card,1,840,14',13150,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,258952.0,Mateo Stamatov,2024-07-30 07:58:33
12689,706053,4,43435675,94,Viktor Aleksandrov (Nizhny Novgorod) Yellow Card at 20',Viktor Aleksandrov Yellow Card,1,1200,20',13150,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,322493.0,Viktor Aleksandrov,2024-07-30 07:58:33
12689,706053,5,43435706,94,Egor Teslenko (Rubin Kazan) Yellow Card at 30',Egor Teslenko Yellow Card,1,1800,30',3851,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,336429.0,Egor Teslenko,2024-07-30 07:58:33
12689,706053,6,43435720,70,Aleksandr Zotov (Rubin Kazan) Goal at 33',Aleksandr Zotov Goal,1,1980,33',3851,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,151797.0,Aleksandr Zotov,2024-07-30 07:58:33
12689,706053,7,43435750,70,Valentin Vada (Rubin Kazan) Goal at 42',Valentin Vada Goal,1,2520,42',3851,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,211667.0,Valentin Vada,2024-07-30 07:58:33
12689,706053,8,43435854,76,Maksim Shnaptsev (Nizhny Novgorod) Substitution at 45',Maksim Shnaptsev Substitution,2,2700,45',13150,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,365947.0,Maksim Shnaptsev,2024-07-30 07:58:33
12689,706053,9,43435855,76,Valeri Tsarukyan (Nizhny Novgorod) Substitution at 45',Valeri Tsarukyan Substitution,2,2700,45',13150,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,364704.0,Valeri Tsarukyan,2024-07-30 07:58:33
12689,706053,10,43435856,76,Luka Ticic (Nizhny Novgorod) Substitution at 45',Luka Ticic Substitution,2,2700,45',13150,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,326763.0,Luka Ticic,2024-07-30 07:58:33
12689,706053,8,43435854,76,Maksim Shnaptsev (Nizhny Novgorod) Substitution at 45',Maksim Shnaptsev Substitution,2,2700,45',13150,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,258952.0,Mateo Stamatov,2024-07-30 07:58:33
12689,706053,9,43435855,76,Valeri Tsarukyan (Nizhny Novgorod) Substitution at 45',Valeri Tsarukyan Substitution,2,2700,45',13150,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,303860.0,Vladislav Karapuzov,2024-07-30 07:58:33
12689,706053,10,43435856,76,Luka Ticic (Nizhny Novgorod) Substitution at 45',Luka Ticic Substitution,2,2700,45',13150,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,367464.0,Anton Mukhin,2024-07-30 07:58:33
12689,706053,11,43435865,94,Aleksandr Zotov (Rubin Kazan) Yellow Card at 54',Aleksandr Zotov Yellow Card,2,3240,54',3851,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,151797.0,Aleksandr Zotov,2024-07-30 07:58:33
12689,706053,12,43435881,76,Ognjen Ozegovic (Nizhny Novgorod) Substitution at 61',Ognjen Ozegovic Substitution,2,3660,61',13150,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,222587.0,Ognjen Ozegovic,2024-07-30 07:58:33
12689,706053,12,43435881,76,Ognjen Ozegovic (Nizhny Novgorod) Substitution at 61',Ognjen Ozegovic Substitution,2,3660,61',13150,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,233561.0,Zé Turbo,2024-07-30 07:58:33
12689,706053,13,43435883,94,Nikita Kakkoev (Nizhny Novgorod) Yellow Card at 64',Nikita Kakkoev Yellow Card,2,3840,64',13150,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,272366.0,Nikita Kakkoev,2024-07-30 07:58:33
12689,706053,14,43435885,76,Nikola Cumic (Rubin Kazan) Substitution at 65',Nikola Cumic Substitution,2,3900,65',3851,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,289690.0,Nikola Cumic,2024-07-30 07:58:33
12689,706053,14,43435885,76,Nikola Cumic (Rubin Kazan) Substitution at 65',Nikola Cumic Substitution,2,3900,65',3851,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,211667.0,Valentin Vada,2024-07-30 07:58:33
12689,706053,15,43435893,70,Valeri Tsarukyan (Nizhny Novgorod) Goal at 71',Valeri Tsarukyan Goal,2,4260,71',13150,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,364704.0,Valeri Tsarukyan,2024-07-30 07:58:33
12689,706053,16,43435896,76,Ruslan Bezrukov (Rubin Kazan) Substitution at 72',Ruslan Bezrukov Substitution,2,4320,72',3851,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,308953.0,Ruslan Bezrukov,2024-07-30 07:58:33
12689,706053,16,43435896,76,Ruslan Bezrukov (Rubin Kazan) Substitution at 72',Ruslan Bezrukov Substitution,2,4320,72',3851,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,302668.0,Dardan Shabanhaxhaj,2024-07-30 07:58:33
12689,706053,17,43435925,76,Nikita Ermakov (Nizhny Novgorod) Substitution at 82',Nikita Ermakov Substitution,2,4920,82',13150,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,345623.0,Nikita Ermakov,2024-07-30 07:58:33
12689,706053,17,43435925,76,Nikita Ermakov (Nizhny Novgorod) Substitution at 82',Nikita Ermakov Substitution,2,4920,82',13150,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,322493.0,Viktor Aleksandrov,2024-07-30 07:58:33
