seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12725,710120,1,43489178,94,James Hilton (Dumbarton) Yellow Card at 26',James Hilton Yellow Card,1,1560,26',415,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,250928.0,James Hilton,2024-08-04 09:28:16
12725,710120,2,43489217,70,Daniel Devine (Inverness Caledonian Thistle) Goal at 44',Daniel Devine Goal,1,2640,44',253,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,157563.0,Daniel Devine,2024-08-04 09:28:16
12725,710120,3,43489264,76,Carlo Pignatiello (Dumbarton) Substitution at 45',Carlo Pignatiello Substitution,2,2700,45',415,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,239317.0,Carlo Pignatiello,2024-08-04 09:28:16
12725,710120,3,43489264,76,Carlo Pignatiello (Dumbarton) Substitution at 45',Carlo Pignatiello Substitution,2,2700,45',415,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,123714.0,Tony Wallace,2024-08-04 09:28:16
12725,710120,4,43489342,94,Mouhamed Niang (Dumbarton) Yellow Card at 55',Mouhamed Niang Yellow Card,2,3300,55',415,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,289987.0,Mouhamed Niang,2024-08-04 09:28:16
12725,710120,5,43489355,94,Adam Brooks (Inverness Caledonian Thistle) Yellow Card at 57',Adam Brooks Yellow Card,2,3420,57',253,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,324214.0,Adam Brooks,2024-08-04 09:28:16
12725,710120,6,43489371,70,Carlo Pignatiello (Dumbarton) Goal at 59',Carlo Pignatiello Goal,2,3540,59',415,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,239317.0,Carlo Pignatiello,2024-08-04 09:28:16
12725,710120,7,43489433,76,Calum Macleod (Inverness Caledonian Thistle) Substitution at 67',Calum Macleod Substitution,2,4020,67',253,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,355495.0,Calum Macleod,2024-08-04 09:28:16
12725,710120,7,43489433,76,Calum Macleod (Inverness Caledonian Thistle) Substitution at 67',Calum Macleod Substitution,2,4020,67',253,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,291498.0,Adam Mackinnon,2024-08-04 09:28:16
12725,710120,8,43489507,76,Joel Mumbongo (Dumbarton) Substitution at 74',Joel Mumbongo Substitution,2,4440,74',415,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,259706.0,Joel Mumbongo,2024-08-04 09:28:16
12725,710120,8,43489507,76,Joel Mumbongo (Dumbarton) Substitution at 74',Joel Mumbongo Substitution,2,4440,74',415,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,207443.0,Kalvin Orsi,2024-08-04 09:28:16
12725,710120,9,43489554,93,Mouhamed Niang (Dumbarton) Red Card at 79',Mouhamed Niang Red Card,2,4740,79',415,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,289987.0,Mouhamed Niang,2024-08-04 09:28:16
12725,710120,10,43489596,76,Ryan Blair (Dumbarton) Substitution at 83',Ryan Blair Substitution,2,4980,83',415,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,190465.0,Ryan Blair,2024-08-04 09:28:16
12725,710120,11,43489598,76,Cameron Clark (Dumbarton) Substitution at 83',Cameron Clark Substitution,2,4980,83',415,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,270299.0,Cameron Clark,2024-08-04 09:28:16
12725,710120,10,43489596,76,Ryan Blair (Dumbarton) Substitution at 83',Ryan Blair Substitution,2,4980,83',415,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,250928.0,James Hilton,2024-08-04 09:28:16
12725,710120,11,43489598,76,Cameron Clark (Dumbarton) Substitution at 83',Cameron Clark Substitution,2,4980,83',415,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,272509.0,Michael Ruth,2024-08-04 09:28:16
12725,710120,12,43489599,76,Cameron Ferguson (Inverness Caledonian Thistle) Substitution at 84',Cameron Ferguson Substitution,2,5040,84',253,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,330611.0,Cameron Ferguson,2024-08-04 09:28:16
12725,710120,13,43489600,76,Robbie Thompson (Inverness Caledonian Thistle) Substitution at 84',Robbie Thompson Substitution,2,5040,84',253,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,176966.0,Robbie Thompson,2024-08-04 09:28:16
12725,710120,12,43489599,76,Cameron Ferguson (Inverness Caledonian Thistle) Substitution at 84',Cameron Ferguson Substitution,2,5040,84',253,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,350929.0,Keith Bray,2024-08-04 09:28:16
12725,710120,13,43489600,76,Robbie Thompson (Inverness Caledonian Thistle) Substitution at 84',Robbie Thompson Substitution,2,5040,84',253,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,324214.0,Adam Brooks,2024-08-04 09:28:16
12725,710120,14,43489629,94,Daniel Devine (Inverness Caledonian Thistle) Yellow Card at 85',Daniel Devine Yellow Card,2,5100,85',253,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,157563.0,Daniel Devine,2024-08-04 09:28:16
12725,710121,1,43489199,94,Craig Johnston (Kelty Hearts) Yellow Card at 35',Craig Johnston Yellow Card,1,2100,35',18018,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,223417.0,Craig Johnston,2024-08-04 09:28:16
12725,710121,2,43489336,94,Ali Shrive (Montrose) Yellow Card at 54',Ali Shrive Yellow Card,2,3240,54',414,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,364997.0,Ali Shrive,2024-08-04 09:28:16
