seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12657,705040,1,43932368,94,Randy Schneider (Winterthur) Yellow Card at 22',Randy Schneider Yellow Card,1,1320,22',20996,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,320854.0,Randy Schneider,2024-10-07 05:34:46
12657,705040,2,43933381,76,Tomás Verón Lupi (Grasshoppers) Substitution at 72',Tomás Verón Lupi Substitution,2,4320,72',492,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,278517.0,Tomás Verón Lupi,2024-10-07 05:34:46
12657,705040,3,43933382,76,Nishan Burkart (Winterthur) Substitution at 72',Nishan Burkart Substitution,2,4320,72',20996,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,312894.0,Nishan Burkart,2024-10-07 05:34:46
12657,705040,4,43933383,76,Adrian Durrer (Winterthur) Substitution at 72',Adrian Durrer Substitution,2,4320,72',20996,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,314373.0,Adrian Durrer,2024-10-07 05:34:46
12657,705040,2,43933381,76,Tomás Verón Lupi (Grasshoppers) Substitution at 72',Tomás Verón Lupi Substitution,2,4320,72',492,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,274296.0,Mathieu Choinière,2024-10-07 05:34:46
12657,705040,3,43933382,76,Nishan Burkart (Winterthur) Substitution at 72',Nishan Burkart Substitution,2,4320,72',20996,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,307245.0,Josias Lukembila,2024-10-07 05:34:46
12657,705040,4,43933383,76,Adrian Durrer (Winterthur) Substitution at 72',Adrian Durrer Substitution,2,4320,72',20996,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,320854.0,Randy Schneider,2024-10-07 05:34:46
12657,705040,5,43933545,76,Antoine Baroan (Winterthur) Substitution at 81',Antoine Baroan Substitution,2,4860,81',20996,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,278645.0,Antoine Baroan,2024-10-07 05:34:46
12657,705040,6,43933546,76,Adama Bojang (Grasshoppers) Substitution at 81',Adama Bojang Substitution,2,4860,81',492,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,362290.0,Adama Bojang,2024-10-07 05:34:46
12657,705040,7,43933547,76,Nikolas Muci (Grasshoppers) Substitution at 81',Nikolas Muci Substitution,2,4860,81',492,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,317872.0,Nikolas Muci,2024-10-07 05:34:46
