seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12288,691639,1,43382435,94,Axel Henriksson (GAIS) Yellow Card at 17',Axel Henriksson Yellow Card,1,1020,17',8222,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,315674.0,Axel Henriksson,2024-10-14 07:04:32
12288,691639,2,43382449,94,Deniz Gül (Hammarby) Yellow Card at 37',Deniz Gül Yellow Card,1,2220,37',2495,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,350513.0,Deniz Gül,2024-10-14 07:04:32
12288,691639,3,43382468,94,Pavle Vagic (Hammarby) Yellow Card at 42',Pavle Vagic Yellow Card,1,2520,42',2495,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,249160.0,Pavle Vagic,2024-10-14 07:04:32
12288,691639,4,43382469,94,William Milovanovic (GAIS) Yellow Card at 44',William Milovanovic Yellow Card,1,2640,44',8222,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,312852.0,William Milovanovic,2024-10-14 07:04:32
12288,691639,5,43382512,94,Joackim Åberg (GAIS) Yellow Card at 48',Joackim Åberg Yellow Card,2,2880,48',8222,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,378811.0,Joackim Åberg,2024-10-14 07:04:32
12288,691639,6,43382564,76,Jusef Erabi (Hammarby) Substitution at 65',Jusef Erabi Substitution,2,3900,65',2495,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,315675.0,Jusef Erabi,2024-10-14 07:04:32
12288,691639,6,43382564,76,Jusef Erabi (Hammarby) Substitution at 65',Jusef Erabi Substitution,2,3900,65',2495,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,359108.0,Bazoumana Touré,2024-10-14 07:04:32
12288,691639,7,43382565,76,Alex Ahl-Holmström (GAIS) Substitution at 66',Alex Ahl-Holmström Substitution,2,3960,66',8222,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,281267.0,Alex Ahl-Holmström,2024-10-14 07:04:32
12288,691639,7,43382565,76,Alex Ahl-Holmström (GAIS) Substitution at 66',Alex Ahl-Holmström Substitution,2,3960,66',8222,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,235766.0,Lucas Hedlund,2024-10-14 07:04:32
12288,691639,8,43382583,76,Amin Boudri (GAIS) Substitution at 74',Amin Boudri Substitution,2,4440,74',8222,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,347031.0,Amin Boudri,2024-10-14 07:04:32
