seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12946,721617,1,43954471,106,Attempt saved. Kadidiatou Diani (Lyon Féminines) right footed shot from the centre of the box is saved in the centre of the goal. Assisted by Melchie Dumornay.,Kadidiatou Diani Shot On Target,1,130,3',19256,0,0,2024-10-10 09:11:55,0.0,0.0,0.174,0.593,0.126,0.576,219121.0,Kadidiatou Diani,2024-10-11 05:33:13
12946,721617,1,43954471,106,Attempt saved. Kadidiatou Diani (Lyon Féminines) right footed shot from the centre of the box is saved in the centre of the goal. Assisted by Melchie Dumornay.,Kadidiatou Diani Shot On Target,1,130,3',19256,0,0,2024-10-10 09:11:55,0.0,0.0,0.174,0.593,0.126,0.576,340420.0,Melchie Dumornay,2024-10-11 05:33:13
12946,721617,2,43954484,66,Foul by Kadidiatou Diani (Lyon Féminines).,Kadidiatou Diani Foul,1,403,7',19256,0,0,2024-10-10 09:11:55,0.0,0.0,0.318,0.952,0.0,0.0,219121.0,Kadidiatou Diani,2024-10-11 05:33:13
12946,721617,2,43954484,66,Foul by Kadidiatou Diani (Lyon Féminines).,Kadidiatou Diani Foul,1,403,7',19256,0,0,2024-10-10 09:11:55,0.0,0.0,0.318,0.952,0.0,0.0,,Benan Altintas,2024-10-11 05:33:13
12946,721617,3,43954487,106,Attempt saved. Kadidiatou Diani (Lyon Féminines) right footed shot from the right side of the box is saved in the bottom left corner. Assisted by Lindsey Horan.,Kadidiatou Diani Shot On Target,1,559,10',19256,0,0,2024-10-10 09:11:55,0.0,0.0,0.23,0.686,0.036,0.529,219121.0,Kadidiatou Diani,2024-10-11 05:33:13
12946,721617,3,43954487,106,Attempt saved. Kadidiatou Diani (Lyon Féminines) right footed shot from the right side of the box is saved in the bottom left corner. Assisted by Lindsey Horan.,Kadidiatou Diani Shot On Target,1,559,10',19256,0,0,2024-10-10 09:11:55,0.0,0.0,0.23,0.686,0.036,0.529,228716.0,Lindsey Horan,2024-10-11 05:33:13
12946,721617,4,43954490,95,"Corner, Lyon Féminines. Conceded by Arzu Karabulut.",Kadidiatou Diani Corner Kick,1,659,11',19256,0,0,2024-10-10 09:11:55,0.0,0.0,0.092,0.642,0.0,0.0,219121.0,Kadidiatou Diani,2024-10-11 05:33:13
12946,721617,5,43954492,106,Attempt saved. Tabitha Chawinga (Lyon Féminines) left footed shot from the left side of the box is saved in the top centre of the goal.,Tabitha Chawinga Shot On Target,1,689,12',19256,0,0,2024-10-10 09:11:55,0.0,0.0,0.29,0.365,0.082,0.487,373811.0,Tabitha Chawinga,2024-10-11 05:33:13
12946,721617,6,43954504,135,Attempt blocked. Kadidiatou Diani (Lyon Féminines) right footed shot from the right side of the box is blocked. Assisted by Tabitha Chawinga.,Kadidiatou Diani Shot Blocked,1,750,13',19256,0,0,2024-10-10 09:11:55,0.0,0.0,0.138,0.65,0.002,0.462,219121.0,Kadidiatou Diani,2024-10-11 05:33:13
12946,721617,6,43954504,135,Attempt blocked. Kadidiatou Diani (Lyon Féminines) right footed shot from the right side of the box is blocked. Assisted by Tabitha Chawinga.,Kadidiatou Diani Shot Blocked,1,750,13',19256,0,0,2024-10-10 09:11:55,0.0,0.0,0.138,0.65,0.002,0.462,373811.0,Tabitha Chawinga,2024-10-11 05:33:13
