seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12476,715041,1,43640363,80,First Half begins.,,1,0,,0,0,0,2024-09-11 06:26:41,0.0,0.0,0.0,0.0,0.0,0.0,,,2024-10-14 07:04:32
12476,715041,2,43640392,66,Foul by Callum Chapman-Page (Indy Eleven).,Callum Chapman-Page Foul,1,5,1',17360,0,0,2024-09-11 06:26:41,0.0,0.0,0.738,0.47,0.0,0.0,273647.0,Callum Chapman-Page,2024-10-14 07:04:32
12476,715041,2,43640392,66,Foul by Callum Chapman-Page (Indy Eleven).,Callum Chapman-Page Foul,1,5,1',17360,0,0,2024-09-11 06:26:41,0.0,0.0,0.738,0.47,0.0,0.0,,Erik Thommy,2024-10-14 07:04:32
12476,715041,3,43640365,66,Johnny Russell (Sporting Kansas City) wins a free kick on the right wing.,Aeden Stanley Foul,1,51,1',17360,0,0,2024-09-11 06:26:41,0.0,0.0,0.83,0.923,0.0,0.0,254017.0,Aeden Stanley,2024-10-14 07:04:32
12476,715041,3,43640365,66,Johnny Russell (Sporting Kansas City) wins a free kick on the right wing.,Aeden Stanley Foul,1,51,1',17360,0,0,2024-09-11 06:26:41,0.0,0.0,0.83,0.923,0.0,0.0,,Johnny Russell,2024-10-14 07:04:32
12476,715041,4,43640369,95,"Corner, Sporting Kansas City. Conceded by Ben Ofeimu.",Benjamin Ofeimu Corner Kick,1,129,3',17360,0,0,2024-08-28 05:22:49,0.0,0.0,0.058,0.198,0.0,0.0,271860.0,Benjamin Ofeimu,2024-08-29 05:44:27
12476,715041,5,43640370,68,"Offside, Indy Eleven. Douglas Martínez is caught offside.",Cam Lindley Offside,1,188,4',17360,0,0,2024-09-11 06:26:41,0.0,0.0,0.834,0.617,0.456,0.72,246322.0,Cam Lindley,2024-10-14 07:04:32
12476,715041,6,43640376,66,Foul by Dany Rosero (Sporting Kansas City).,Dany Rosero Foul,1,428,8',186,0,0,2024-09-11 06:26:41,0.0,0.0,0.752,0.036,0.0,0.0,195675.0,Dany Rosero,2024-10-14 07:04:32
12476,715041,6,43640376,66,Foul by Dany Rosero (Sporting Kansas City).,Dany Rosero Foul,1,428,8',186,0,0,2024-09-11 06:26:41,0.0,0.0,0.752,0.036,0.0,0.0,,Augustine Williams,2024-10-14 07:04:32
12476,715041,7,43640384,136,Erik Thommy (Sporting Kansas City) hits the bar with a right footed shot from outside the box. Assisted by Alan Pulido.,Erik Thommy Shot Hit Woodwork,1,644,11',186,0,0,2024-09-11 06:26:41,0.0,0.0,0.614,0.369,0.0,0.525,199926.0,Erik Thommy,2024-10-14 07:04:32
